Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-07-12,13.03,13.78,12.62,13.0,2563200,0,0
2000-07-13,13.12,13.12,13.0,13.12,629400,0,0
2000-07-14,13.19,13.5,13.0,13.06,419900,0,0
2000-07-17,13.12,13.12,12.0,12.06,503400,0,0
2000-07-18,12.38,13.0,9.75,9.88,1726200,0,0
2000-07-19,10.47,10.5,8.62,9.12,1153500,0,0
2000-07-20,9.12,9.12,8.88,9.0,287100,0,0
2000-07-21,9.03,9.12,8.31,8.36,263900,0,0
2000-07-24,8.38,8.5,7.5,7.69,356700,0,0
2000-07-25,7.88,7.88,7.0,7.25,164700,0,0
2000-07-26,7.09,7.12,6.62,6.69,200700,0,0
2000-07-27,6.56,6.75,5.62,5.75,272200,0,0
2000-07-28,5.94,6.0,4.75,5.5,1127300,0,0
2000-07-31,5.5,7.25,5.44,6.38,618200,0,0
2000-08-01,6.75,7.12,6.62,6.69,630600,0,0
2000-08-02,6.84,7.0,6.38,6.5,200500,0,0
2000-08-03,6.5,6.55,6.0,6.12,240100,0,0
2000-08-04,6.84,6.88,6.12,6.5,231600,0,0
2000-08-07,6.38,6.75,6.25,6.38,108100,0,0
2000-08-08,6.28,6.5,6.25,6.25,211500,0,0
2000-08-09,6.5,6.5,5.62,5.69,81100,0,0
2000-08-10,5.75,6.31,5.72,6.16,174200,0,0
2000-08-11,6.03,6.12,5.81,5.88,56800,0,0
2000-08-14,5.91,6.0,5.38,5.75,223000,0,0
2000-08-15,5.75,5.75,5.0,5.12,241400,0,0
2000-08-16,5.38,5.5,5.25,5.38,86200,0,0
2000-08-17,5.41,5.88,5.25,5.88,85800,0,0
2000-08-18,5.88,6.56,5.62,6.25,145400,0,0
2000-08-21,6.47,6.5,6.38,6.38,217400,0,0
2000-08-22,6.44,6.88,6.38,6.38,134600,0,0
2000-08-23,6.53,6.69,6.25,6.38,140100,0,0
2000-08-24,6.62,6.88,6.38,6.62,576800,0,0
2000-08-25,6.84,7.0,6.38,6.38,145700,0,0
2000-08-28,6.69,6.75,6.38,6.44,39600,0,0
2000-08-29,6.52,6.62,6.38,6.41,86800,0,0
