Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-12-14,4.78,4.78,4.73,4.78,7717200,0.0,0.0
1993-12-15,4.78,4.78,4.73,4.78,1833700,0.0,0.0
1993-12-16,4.78,4.81,4.76,4.78,624500,0.0,0.0
1993-12-17,4.78,4.78,4.76,4.76,490500,0.0,0.0
1993-12-20,4.76,4.78,4.76,4.78,546000,0.0,0.0
1993-12-21,4.76,4.78,4.73,4.76,311300,0.0,0.0
1993-12-22,4.76,4.78,4.76,4.78,274800,0.0,0.0
1993-12-23,4.78,4.78,4.76,4.78,147200,0.0,0.0
1993-12-27,4.78,4.78,4.76,4.76,164200,0.0,0.0
1993-12-28,4.76,4.78,4.76,4.78,283500,0.0,0.0
1993-12-29,4.78,4.81,4.76,4.78,256500,0.0,0.0
1993-12-30,4.81,4.81,4.78,4.78,153800,0.0,0.0
1993-12-31,4.78,4.81,4.76,4.81,200800,0.0,0.0
1994-01-03,4.78,4.81,4.78,4.78,312000,0.0,0.0
1994-01-04,4.81,4.81,4.78,4.81,236300,0.0,0.0
1994-01-05,4.78,4.84,4.78,4.78,240100,0.0,0.0
1994-01-06,4.78,4.81,4.78,4.78,150500,0.0,0.0
1994-01-07,4.81,4.84,4.78,4.84,312600,0.0,0.0
1994-01-10,4.84,4.92,4.81,4.89,436100,0.0,0.0
1994-01-11,4.86,5.0,4.86,4.94,514500,0.0,0.0
1994-01-12,4.97,4.97,4.94,4.94,364100,0.0,0.0
1994-01-13,4.94,5.02,4.94,5.02,420400,0.0,0.0
1994-01-14,5.02,5.05,4.94,5.0,417000,0.0,0.0
1994-01-17,5.02,5.02,4.97,5.0,165600,0.0,0.0
1994-01-18,4.97,5.02,4.97,5.02,343400,0.0,0.0
1994-01-19,5.0,5.0,4.97,5.0,256300,0.0,0.0
1994-01-20,5.0,5.02,4.97,5.02,220300,0.0,0.0
1994-01-21,5.0,5.05,4.97,5.02,252600,0.0,0.0
1994-01-24,5.0,5.02,4.97,4.97,362800,0.0,0.0
1994-01-25,4.94,5.02,4.94,5.02,267200,0.0,0.0
1994-01-26,5.05,5.16,5.05,5.1,852800,0.0,0.0
1994-01-27,5.13,5.24,5.1,5.21,593200,0.0,0.0
1994-01-28,5.21,5.24,5.16,5.24,455000,0.0,0.0
1994-01-31,5.24,5.24,5.18,5.21,377600,0.0,0.0
1994-02-01,5.24,5.32,5.21,5.32,471900,0.0,0.0
1994-02-02,5.32,5.32,5.26,5.29,236300,0.0,0.0
1994-02-03,5.32,5.37,5.26,5.29,1556900,0.0,0.0
1994-02-04,5.29,5.29,5.13,5.18,623500,0.0,0.0
1994-02-07,5.18,5.24,5.13,5.21,437300,0.0,0.0
1994-02-08,5.24,5.32,5.24,5.32,820500,0.0,0.0
1994-02-09,5.29,5.32,5.24,5.26,510000,0.0,0.0
1994-02-10,5.26,5.29,5.16,5.24,1031200,0.0,0.0
1994-02-11,5.26,5.4,5.26,5.37,284800,0.0,0.0
1994-02-14,5.37,5.53,5.37,5.45,1028200,0.0,0.0
1994-02-15,5.48,5.5,5.32,5.4,1523900,0.0,0.0
1994-02-16,5.4,5.45,5.37,5.45,333800,0.0,0.0
1994-02-17,5.42,5.5,5.42,5.5,340100,0.0,0.0
1994-02-18,5.48,5.5,5.4,5.5,334800,0.0,0.0
1994-02-22,5.48,5.56,5.48,5.53,277800,0.0,0.0
1994-02-23,5.56,5.61,5.5,5.61,407200,0.0,0.0
1994-02-24,5.61,5.66,5.56,5.66,326100,0.0,0.0
1994-02-25,5.64,5.66,5.58,5.64,278900,0.0,0.0
1994-02-28,5.64,5.64,5.48,5.48,276100,0.0,0.0
1994-03-01,5.42,5.58,5.42,5.56,600800,0.0,0.0
1994-03-02,5.48,5.58,5.42,5.58,315900,0.0,0.0
1994-03-03,5.61,5.61,5.48,5.53,367400,0.0,0.0
1994-03-04,5.53,5.61,5.48,5.53,326400,0.0,0.0
1994-03-07,5.53,5.64,5.53,5.64,288900,0.0,0.0
1994-03-08,5.64,5.64,5.61,5.61,241500,0.0,0.0
1994-03-09,5.61,5.71,5.58,5.64,270600,0.0,0.0
1994-03-10,5.66,5.74,5.64,5.64,349300,0.0,0.0
1994-03-11,5.66,5.79,5.64,5.74,317500,0.0,0.0
1994-03-14,5.74,5.79,5.71,5.77,226900,0.0,0.0
1994-03-15,5.77,5.85,5.69,5.79,266100,0.0,0.0
1994-03-16,5.85,5.93,5.79,5.85,243100,0.0,0.0
1994-03-17,5.85,5.87,5.69,5.69,282300,0.0,0.0
1994-03-18,5.69,5.87,5.69,5.87,281900,0.0,0.0
1994-03-21,5.87,5.93,5.82,5.85,138700,0.0,0.0
1994-03-22,5.96,5.96,5.82,5.96,213600,0.475,0.0
1994-03-23,5.96,6.07,5.96,6.07,440500,0.0,0.0
1994-03-24,6.07,6.07,5.93,6.01,181300,0.0,0.0
