Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-06-27,14.2,17.0,14.12,15.95,6587634,0,0
2007-06-28,15.73,16.25,15.25,15.3,1033266,0,0
2007-06-29,15.07,15.11,14.0,14.55,960028,0,0
2007-07-02,15.2,15.2,14.22,14.44,527845,0,0
2007-07-03,14.35,14.42,14.05,14.18,446402,0,0
2007-07-05,14.25,15.45,14.25,15.4,972630,0,0
2007-07-06,15.5,15.9,14.9,15.1,444700,0,0
2007-07-09,15.05,15.3,14.6,15.07,491114,0,0
2007-07-10,15.1,15.25,14.9,15.11,188358,0,0
2007-07-11,15.2,15.7,15.2,15.54,150360,0,0
2007-07-12,15.5,16.2,15.25,16.2,292139,0,0
2007-07-13,16.5,16.65,16.0,16.25,218557,0,0
2007-07-16,16.16,16.27,15.01,15.19,306244,0,0
2007-07-17,15.34,15.6,14.95,15.45,328744,0,0
2007-07-18,15.15,15.37,14.95,15.18,461485,0,0
2007-07-19,15.55,15.55,14.99,15.27,292319,0,0
2007-07-20,15.44,15.68,15.14,15.5,492873,0,0
2007-07-23,15.21,15.5,15.0,15.0,248535,0,0
2007-07-24,15.01,16.28,14.39,15.0,253314,0,0
2007-07-25,14.47,15.1,14.39,14.5,126680,0,0
2007-07-26,14.47,14.55,13.96,14.0,213078,0,0
2007-07-27,14.04,14.58,13.42,13.65,114918,0,0
2007-07-30,14.04,14.64,13.8,14.26,60367,0,0
2007-07-31,14.27,14.5,14.02,14.2,128533,0,0
2007-08-01,14.18,14.39,13.8,14.11,92459,0,0
2007-08-02,14.25,14.25,13.61,13.65,183562,0,0
2007-08-03,13.94,13.94,10.05,10.16,1185810,0,0
2007-08-06,11.39,11.39,10.52,11.31,575333,0,0
2007-08-07,11.05,12.33,11.05,11.76,469663,0,0
2007-08-08,11.96,12.47,11.71,12.15,394367,0,0
2007-08-09,12.45,12.5,11.75,11.8,832941,0,0
2007-08-10,10.63,11.01,10.25,10.59,589162,0,0
2007-08-13,10.84,10.97,10.45,10.45,452918,0,0
2007-08-14,10.62,10.75,10.15,10.64,129610,0,0
2007-08-15,10.74,10.74,10.21,10.22,59570,0,0
2007-08-16,10.21,10.3,9.49,10.12,241350,0,0
2007-08-17,10.13,10.45,9.64,9.74,163079,0,0
2007-08-20,9.8,9.98,9.3,9.98,37856,0,0
2007-08-21,10.04,10.19,9.61,9.99,61764,0,0
2007-08-22,10.23,10.47,10.01,10.47,48746,0,0
2007-08-23,10.38,10.75,10.13,10.75,175567,0,0
2007-08-24,10.8,11.15,10.41,11.15,74128,0,0
2007-08-27,11.25,12.2,11.22,11.92,191570,0,0
2007-08-28,11.43,12.47,11.36,12.0,221089,0,0
2007-08-29,12.12,12.44,11.81,12.4,187975,0,0
2007-08-30,12.43,12.83,12.08,12.45,216561,0,0
2007-08-31,12.7,12.9,12.49,12.89,52005,0,0
2007-09-04,12.89,12.96,12.45,12.75,92546,0,0
2007-09-05,12.59,12.59,11.88,11.88,144675,0,0
2007-09-06,12.0,12.0,11.5,11.6,73855,0,0
2007-09-07,11.53,11.53,10.95,10.95,138914,0,0
2007-09-10,10.93,11.61,10.73,11.49,80708,0,0
2007-09-11,11.39,11.7,11.0,11.2,99024,0,0
2007-09-12,11.06,11.44,11.02,11.14,110856,0,0
2007-09-13,11.22,11.4,11.13,11.25,36247,0,0
2007-09-14,11.02,11.05,10.38,10.5,434496,0,0
2007-09-17,10.68,10.76,10.31,10.76,145926,0,0
2007-09-18,10.95,11.15,10.51,11.04,128334,0,0
2007-09-19,11.12,13.1,11.06,12.73,364617,0,0
2007-09-20,12.84,13.45,12.5,12.66,142602,0,0
2007-09-21,12.78,13.18,12.62,12.97,46875,0,0
2007-09-24,13.2,13.85,13.02,13.52,146532,0,0
2007-09-25,13.52,15.23,13.34,15.01,270626,0,0
2007-09-26,14.94,15.74,14.15,14.94,194108,0,0
2007-09-27,14.94,15.86,14.9,15.21,189708,0,0
2007-09-28,15.13,15.2,14.2,14.2,75430,0,0
2007-10-01,14.49,14.54,13.59,13.85,94763,0,0
2007-10-02,13.96,14.75,13.81,14.4,88576,0,0
2007-10-03,14.31,15.1,13.9,13.98,188144,0,0
2007-10-04,13.99,14.42,13.5,13.83,128396,0,0
2007-10-05,13.81,13.98,13.32,13.41,121992,0,0
2007-10-08,13.23,14.4,13.23,14.4,274518,0,0
2007-10-09,14.29,15.25,14.24,14.51,199987,0,0
2007-10-10,14.7,15.09,14.08,14.44,383543,0,0
2007-10-11,14.66,15.68,13.78,14.35,364645,0,0
2007-10-12,14.53,14.8,13.85,14.6,125663,0,0
2007-10-15,14.47,15.13,14.15,14.17,139500,0,0
2007-10-16,14.29,14.72,13.5,13.69,242853,0,0
2007-10-17,13.76,14.12,13.51,13.8,136452,0,0
2007-10-18,13.81,14.46,13.81,13.87,160129,0,0
2007-10-19,13.95,14.17,12.64,12.77,145356,0,0
2007-10-22,12.61,12.9,12.5,12.72,137777,0,0
2007-10-23,13.01,13.29,12.59,12.8,152827,0,0
2007-10-24,12.68,12.68,11.81,11.94,464752,0,0
2007-10-25,12.12,12.43,11.77,12.1,307079,0,0
2007-10-26,12.4,12.84,12.2,12.5,83132,0,0
2007-10-29,12.73,13.8,12.5,12.59,445396,0,0
2007-10-30,12.5,12.89,12.2,12.25,84885,0,0
2007-10-31,12.45,13.2,12.25,12.92,158417,0,0
2007-11-01,14.69,15.95,14.3,15.22,970106,0,0
2007-11-02,15.21,17.0,15.21,16.15,603922,0,0
2007-11-05,15.97,16.29,14.8,15.43,342901,0,0
2007-11-06,15.43,15.77,14.85,15.31,270614,0,0
2007-11-07,15.02,15.23,14.8,14.82,155093,0,0
2007-11-08,14.78,15.09,14.25,14.38,347662,0,0
2007-11-09,14.17,14.66,13.97,14.24,124033,0,0
2007-11-12,14.0,14.14,13.39,13.94,354439,0,0
2007-11-13,14.18,14.38,13.57,14.0,282736,0,0
2007-11-14,14.01,14.28,13.72,14.02,195232,0,0
2007-11-15,13.85,14.75,13.47,13.73,240258,0,0
2007-11-16,14.12,14.12,13.77,14.1,245881,0,0
2007-11-19,14.25,14.51,13.64,13.87,273083,0,0
2007-11-20,14.05,14.09,13.75,13.91,149992,0,0
2007-11-21,13.76,13.76,12.3,12.73,133908,0,0
2007-11-23,12.0,12.0,10.5,10.74,553502,0,0
2007-11-26,10.76,10.86,10.5,10.51,322957,0,0
2007-11-27,11.01,11.02,9.52,9.72,598388,0,0
2007-11-28,9.45,10.86,9.38,10.6,449194,0,0
2007-11-29,10.46,10.5,9.91,10.1,212708,0,0
2007-11-30,10.25,10.25,9.93,9.95,205350,0,0
2007-12-03,10.06,10.8,10.0,10.47,234095,0,0
2007-12-04,10.5,10.59,10.24,10.37,59229,0,0
2007-12-05,10.23,10.51,9.94,10.0,268306,0,0
2007-12-06,9.87,10.42,9.82,10.17,524704,0,0
2007-12-07,10.29,10.77,10.29,10.61,324825,0,0
2007-12-10,10.69,10.83,10.45,10.5,207718,0,0
2007-12-11,10.1,10.64,10.02,10.6,320661,0,0
2007-12-12,10.5,11.2,10.5,11.13,228079,0,0
2007-12-13,11.28,11.29,10.25,10.31,220077,0,0
2007-12-14,10.2,10.89,10.15,10.76,277039,0,0
2007-12-17,10.91,11.19,10.8,11.13,187164,0,0
2007-12-18,11.13,12.15,11.11,11.74,180876,0,0
2007-12-19,11.57,12.52,11.52,12.52,148110,0,0
2007-12-20,12.35,12.43,12.01,12.1,135530,0,0
2007-12-21,13.0,13.78,12.51,13.28,576570,0,0
2007-12-24,12.82,13.05,11.8,12.17,658782,0,0
2007-12-26,12.11,12.5,11.28,11.87,278817,0,0
2007-12-27,11.98,12.75,11.5,12.47,472377,0,0
2007-12-28,12.91,13.0,12.02,12.76,260538,0,0
2007-12-31,13.0,13.0,12.08,12.26,167115,0,0
2008-01-02,12.38,12.46,11.9,12.0,191418,0,0
2008-01-03,12.38,12.55,11.9,12.4,273144,0,0
2008-01-04,12.22,12.22,11.49,12.02,175635,0,0
2008-01-07,11.76,12.03,11.4,11.4,164936,0,0
2008-01-08,11.4,12.04,10.92,10.94,346128,0,0
2008-01-09,11.2,11.48,10.72,11.06,320581,0,0
2008-01-10,10.16,11.58,10.16,11.17,211311,0,0
2008-01-11,11.12,11.25,10.47,10.6,274132,0,0
2008-01-14,10.63,10.96,10.04,10.2,219611,0,0
2008-01-15,10.1,10.1,9.3,9.3,412086,0,0
2008-01-16,9.25,9.6,8.8,9.5,538968,0,0
2008-01-17,9.74,9.74,9.19,9.28,354269,0,0
2008-01-18,9.35,9.43,8.95,8.98,308904,0,0
2008-01-22,8.53,9.0,8.0,8.58,176604,0,0
2008-01-23,8.2,8.92,7.46,8.06,324419,0,0
2008-01-24,7.91,8.5,7.75,8.22,226048,0,0
2008-01-25,8.5,8.95,8.25,8.76,313300,0,0
2008-01-28,8.8,9.18,8.54,9.09,106049,0,0
2008-01-29,8.98,9.21,8.84,9.07,59825,0,0
