Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-06-29,12.51,12.79,12.37,12.65,6307500,0.0,0
1998-06-30,12.59,12.59,12.29,12.32,1537600,0.0,0
1998-07-01,12.29,12.4,12.01,12.34,593100,0.0,0
1998-07-02,12.29,12.29,12.07,12.26,563600,0.0,0
1998-07-06,12.26,12.26,12.01,12.04,616800,0.0,0
1998-07-07,12.04,12.07,11.93,11.98,623500,0.0,0
1998-07-08,11.98,12.07,11.96,12.07,392300,0.0,0
1998-07-09,12.01,12.04,11.85,11.96,293100,0.0,0
1998-07-10,11.96,11.96,11.65,11.96,384300,0.0,0
1998-07-13,11.85,11.93,11.65,11.9,385500,0.0,0
1998-07-14,11.87,12.01,11.74,11.96,668400,0.0,0
1998-07-15,11.9,11.93,11.76,11.93,232800,0.0,0
1998-07-16,11.87,11.9,11.74,11.79,403600,0.0,0
1998-07-17,11.79,11.79,11.65,11.74,543500,0.0,0
1998-07-20,11.65,11.68,11.51,11.65,542000,0.0,0
1998-07-21,11.6,11.65,11.46,11.51,218800,0.0,0
1998-07-22,11.54,11.54,11.4,11.54,506500,0.0,0
1998-07-23,11.54,11.68,11.54,11.65,446200,0.0,0
1998-07-24,11.57,11.6,11.51,11.57,515800,0.0,0
1998-07-27,11.51,11.62,11.43,11.6,384800,0.0,0
1998-07-28,11.54,11.6,11.24,11.4,816900,0.0,0
1998-07-29,11.32,11.4,11.1,11.29,522200,0.0,0
1998-07-30,11.24,11.49,11.21,11.4,467900,0.0,0
1998-07-31,11.4,11.4,11.07,11.15,386800,0.0,0
1998-08-03,11.07,11.13,10.88,11.02,649200,0.0,0
1998-08-04,10.93,10.93,10.52,10.66,617600,0.0,0
1998-08-05,10.74,11.13,10.68,11.13,501300,0.0,0
1998-08-06,11.13,11.13,10.85,10.96,568500,0.0,0
1998-08-07,10.9,10.99,10.74,10.82,351500,0.0,0
1998-08-10,10.85,11.07,10.85,10.96,749400,0.0,0
1998-08-11,10.85,10.88,10.63,10.71,358400,0.0,0
1998-08-12,10.71,11.13,10.68,11.13,399000,0.0,0
1998-08-13,11.02,11.1,10.93,11.04,206500,0.0,0
1998-08-14,10.93,11.02,10.85,10.96,195700,0.0,0
1998-08-17,11.07,11.21,10.99,11.18,520500,0.0,0
1998-08-18,11.15,11.18,10.96,11.07,450900,0.0,0
1998-08-19,11.04,11.04,10.9,11.02,302700,0.0,0
1998-08-20,11.07,11.13,11.02,11.1,631900,0.0,0
1998-08-21,11.02,11.18,10.99,11.18,459000,0.0,0
1998-08-24,11.24,11.35,11.21,11.24,377900,0.0,0
1998-08-25,11.26,11.4,11.24,11.4,585800,0.0,0
1998-08-26,11.35,11.38,11.29,11.35,346000,0.0,0
1998-08-27,11.35,11.46,11.32,11.32,723600,0.0,0
1998-08-28,11.35,11.35,11.26,11.35,346100,0.0,0
1998-08-31,11.32,11.32,11.02,11.26,1312100,0.0,0
1998-09-01,11.15,11.21,10.88,11.21,446000,0.0,0
1998-09-02,11.1,11.13,10.9,11.1,1301000,0.0,0
1998-09-03,10.99,11.1,10.88,11.07,267200,0.0,0
1998-09-04,11.13,11.18,10.99,11.13,359300,0.0,0
1998-09-08,11.1,11.21,10.96,11.21,198700,0.0,0
1998-09-09,11.21,11.21,11.07,11.18,216700,0.0,0
1998-09-10,11.13,11.24,11.07,11.21,327200,0.0,0
1998-09-11,11.13,11.26,11.04,11.24,232300,0.0,0
1998-09-14,11.29,11.4,11.24,11.4,290300,0.0,0
1998-09-15,11.32,11.71,11.32,11.65,324900,0.0,0
1998-09-16,11.62,11.71,11.54,11.71,1183500,0.0,0
1998-09-17,11.6,11.71,11.57,11.66,1643800,0.39,0
1998-09-18,11.63,11.85,11.6,11.83,341900,0.0,0
1998-09-21,11.83,11.88,11.71,11.83,278200,0.0,0
1998-09-22,11.85,11.91,11.71,11.71,408700,0.0,0
1998-09-23,11.8,12.0,11.74,12.0,371500,0.0,0
1998-09-24,12.0,12.0,11.71,11.8,724100,0.0,0
1998-09-25,11.69,11.88,11.69,11.85,184900,0.0,0
1998-09-28,11.77,11.91,11.71,11.91,414100,0.0,0
1998-09-29,11.88,12.08,11.88,12.02,264200,0.0,0
1998-09-30,11.91,11.91,11.66,11.71,370300,0.0,0
1998-10-01,11.74,12.02,11.71,12.0,425100,0.0,0
1998-10-02,12.02,12.53,12.02,12.5,635000,0.0,0
1998-10-05,12.5,12.92,12.44,12.89,565700,0.0,0
1998-10-06,12.89,13.03,12.73,12.95,691700,0.0,0
1998-10-07,12.98,13.17,12.95,13.12,538800,0.0,0
1998-10-08,13.01,13.01,12.81,12.98,441000,0.0,0
1998-10-09,12.98,12.98,12.42,12.59,239400,0.0,0
1998-10-12,12.47,12.47,11.63,11.77,319500,0.0,0
1998-10-13,11.88,12.19,11.85,12.19,1144600,0.0,0
1998-10-14,12.42,12.59,12.3,12.44,595200,0.0,0
1998-10-15,12.39,12.44,12.08,12.19,751700,0.0,0
1998-10-16,12.14,12.14,11.8,12.02,626600,0.0,0
1998-10-19,12.02,12.02,11.8,11.91,269300,0.0,0
1998-10-20,11.85,11.91,11.32,11.38,594500,0.0,0
