Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-02-07,17.5,18.1,14.64,14.85,6370400,0,0
2007-02-08,14.81,16.4,14.71,16.13,1487728,0,0
2007-02-09,16.1,16.35,15.89,16.0,638510,0,0
2007-02-12,16.0,16.47,15.75,16.3,596347,0,0
2007-02-13,16.3,16.75,16.0,16.35,456175,0,0
2007-02-14,16.5,16.74,16.3,16.74,107961,0,0
2007-02-15,16.75,17.15,16.47,16.79,239703,0,0
2007-02-16,17.0,17.0,16.6,16.65,110302,0,0
2007-02-20,16.56,16.85,16.01,16.21,273949,0,0
2007-02-21,16.21,16.34,16.05,16.08,156611,0,0
2007-02-22,16.06,16.41,16.03,16.11,73472,0,0
2007-02-23,16.11,16.16,16.04,16.05,93707,0,0
2007-02-26,16.01,16.2,16.0,16.02,75017,0,0
2007-02-27,15.77,15.82,14.0,14.31,667808,0,0
2007-02-28,14.51,14.88,14.1,14.16,77443,0,0
2007-03-01,14.23,14.24,13.56,13.7,67216,0,0
2007-03-02,13.92,13.92,12.25,12.65,501672,0,0
2007-03-05,12.47,13.0,11.66,12.33,92852,0,0
2007-03-06,12.85,12.85,12.47,12.59,36271,0,0
2007-03-07,12.5,12.5,11.65,11.65,60120,0,0
2007-03-08,11.71,11.95,10.58,10.9,981432,0,0
2007-03-09,10.68,11.18,10.33,10.99,439210,0,0
2007-03-12,11.0,11.55,10.78,11.4,254276,0,0
2007-03-13,11.5,11.84,11.0,11.14,80648,0,0
2007-03-14,11.13,11.25,10.64,11.24,137728,0,0
2007-03-15,11.2,11.35,10.94,10.96,93408,0,0
2007-03-16,11.0,11.02,10.6,10.92,32553,0,0
2007-03-19,11.05,11.53,10.82,11.31,320989,0,0
2007-03-20,11.34,12.4,11.3,12.4,292659,0,0
2007-03-21,12.32,12.5,11.92,12.28,178351,0,0
2007-03-22,12.5,12.5,12.0,12.04,79157,0,0
2007-03-23,12.12,12.21,11.52,11.85,80653,0,0
2007-03-26,11.94,12.28,11.61,11.83,13990,0,0
2007-03-27,11.8,11.99,11.54,11.9,18742,0,0
2007-03-28,11.65,11.65,11.25,11.48,28050,0,0
2007-03-29,11.5,11.5,11.01,11.05,81718,0,0
2007-03-30,11.28,11.28,10.88,11.02,95342,0,0
2007-04-02,11.3,11.55,11.07,11.07,118830,0,0
2007-04-03,11.0,11.07,10.14,10.22,351118,0,0
2007-04-04,10.6,10.73,10.32,10.5,109220,0,0
2007-04-05,10.5,10.55,10.35,10.5,96282,0,0
2007-04-09,10.5,10.78,10.28,10.41,145163,0,0
2007-04-10,10.29,10.59,10.13,10.4,204848,0,0
2007-04-11,10.45,10.69,10.39,10.69,46944,0,0
2007-04-12,10.76,11.22,10.47,10.98,184259,0,0
2007-04-13,11.05,11.1,10.98,11.01,26043,0,0
2007-04-16,11.0,11.04,10.72,11.0,144451,0,0
2007-04-17,11.04,11.04,10.6,10.69,29414,0,0
2007-04-18,10.6,10.65,10.22,10.22,60719,0,0
2007-04-19,10.41,10.41,10.05,10.06,72586,0,0
2007-04-20,10.15,10.49,10.05,10.2,45342,0,0
2007-04-23,10.2,10.31,10.06,10.1,632227,0,0
2007-04-24,10.07,10.14,9.2,9.56,201195,0,0
2007-04-25,9.23,9.57,9.06,9.22,202978,0,0
2007-04-26,9.2,9.49,9.2,9.38,123838,0,0
2007-04-27,9.62,9.89,9.45,9.85,138651,0,0
2007-04-30,9.98,10.29,9.84,10.11,130629,0,0
2007-05-01,10.1,10.63,9.88,10.13,126581,0,0
2007-05-02,9.8,10.6,9.51,10.44,500520,0,0
2007-05-03,10.4,10.4,10.0,10.35,98420,0,0
2007-05-04,9.9,10.26,9.9,10.2,74520,0,0
2007-05-07,10.4,10.4,9.92,10.01,22367,0,0
2007-05-08,10.15,10.15,9.76,9.94,46402,0,0
2007-05-09,10.2,10.2,10.0,10.14,46564,0,0
2007-05-10,10.01,10.45,9.96,10.41,187747,0,0
2007-05-11,10.34,10.49,10.17,10.2,85291,0,0
2007-05-14,10.44,10.49,10.2,10.37,172741,0,0
2007-05-15,10.28,10.34,10.17,10.21,64276,0,0
2007-05-16,10.18,10.32,10.11,10.24,118085,0,0
2007-05-17,10.2,10.21,9.82,9.92,79793,0,0
2007-05-18,9.86,10.08,9.8,9.8,141567,0,0
2007-05-21,9.8,9.98,9.75,9.82,69000,0,0
2007-05-22,9.8,9.8,9.51,9.6,56680,0,0
2007-05-23,9.6,9.66,9.5,9.55,30075,0,0
2007-05-24,9.5,9.53,9.2,9.25,55674,0,0
2007-05-25,9.25,9.66,9.05,9.2,89542,0,0
2007-05-29,9.21,9.35,9.1,9.17,75190,0,0
2007-05-30,9.15,9.43,9.1,9.43,104565,0,0
2007-05-31,9.5,11.9,9.45,11.14,754289,0,0
2007-06-01,11.61,11.8,11.29,11.6,386866,0,0
2007-06-04,11.69,11.69,10.67,11.22,107283,0,0
2007-06-05,11.26,11.26,10.65,10.66,25226,0,0
2007-06-06,10.77,10.8,10.3,10.38,21586,0,0
2007-06-07,10.4,10.95,10.33,10.36,81514,0,0
2007-06-08,10.46,10.5,10.28,10.32,21552,0,0
2007-06-11,10.2,10.28,9.89,10.2,59588,0,0
2007-06-12,10.2,10.27,10.08,10.18,16704,0,0
2007-06-13,10.34,10.41,9.81,9.97,51306,0,0
2007-06-14,9.91,9.99,9.9,9.95,16510,0,0
2007-06-15,10.12,10.45,9.86,10.35,57145,0,0
2007-06-18,10.59,11.0,10.06,10.08,34406,0,0
2007-06-19,10.2,10.76,10.2,10.76,39771,0,0
2007-06-20,10.65,10.95,10.1,10.2,61457,0,0
2007-06-21,10.09,10.26,9.97,10.14,27594,0,0
2007-06-22,10.12,10.12,9.75,9.95,56082,0,0
2007-06-25,9.9,10.18,9.75,9.75,25362,0,0
2007-06-26,9.84,9.84,9.5,9.8,22185,0,0
2007-06-27,9.96,9.96,9.7,9.72,16298,0,0
2007-06-28,9.72,9.81,9.51,9.72,97086,0,0
2007-06-29,9.72,9.78,9.57,9.64,21000,0,0
2007-07-02,9.68,9.73,9.38,9.57,50709,0,0
2007-07-03,9.5,9.8,9.35,9.54,43761,0,0
2007-07-05,9.5,9.73,9.32,9.43,35088,0,0
2007-07-06,9.54,9.68,9.44,9.57,64500,0,0
2007-07-09,9.57,9.57,9.4,9.41,62429,0,0
2007-07-10,9.46,9.58,9.18,9.34,22782,0,0
2007-07-11,9.31,9.45,9.2,9.2,26160,0,0
2007-07-12,9.23,9.23,8.66,8.82,148717,0,0
2007-07-13,8.68,8.92,8.18,8.81,261495,0,0
2007-07-16,8.89,9.13,8.88,9.04,56617,0,0
2007-07-17,9.07,9.07,9.0,9.02,19405,0,0
2007-07-18,9.0,9.37,8.74,9.1,34252,0,0
2007-07-19,9.19,9.4,9.0,9.3,61974,0,0
2007-07-20,9.46,9.46,9.13,9.32,22247,0,0
2007-07-23,9.32,9.44,9.01,9.01,23521,0,0
2007-07-24,8.92,9.12,8.92,8.97,31895,0,0
2007-07-25,9.03,9.03,8.71,8.81,33021,0,0
2007-07-26,8.85,8.88,8.7,8.88,66982,0,0
2007-07-27,9.13,9.23,8.58,8.94,44290,0,0
2007-07-30,9.04,9.15,8.94,8.97,12522,0,0
2007-07-31,9.0,9.5,8.7,8.97,91405,0,0
2007-08-01,9.01,9.05,8.7,9.02,15693,0,0
2007-08-02,8.79,9.2,8.79,9.16,20284,0,0
2007-08-03,9.11,9.29,9.07,9.29,54522,0,0
2007-08-06,9.25,9.54,9.09,9.5,9935,0,0
2007-08-07,9.51,9.6,9.4,9.6,19317,0,0
2007-08-08,9.6,10.38,9.51,10.22,70438,0,0
2007-08-09,10.71,11.4,10.69,10.86,180947,0,0
2007-08-10,10.91,10.94,10.08,10.56,40548,0,0
2007-08-13,10.55,10.64,9.39,9.49,63408,0,0
2007-08-14,9.55,9.55,9.37,9.5,24935,0,0
2007-08-15,9.6,9.96,9.58,9.66,42896,0,0
2007-08-16,9.51,9.75,9.05,9.22,51291,0,0
2007-08-17,9.57,9.75,9.23,9.41,71748,0,0
2007-08-20,9.6,9.89,9.49,9.89,24141,0,0
2007-08-21,9.97,10.0,9.68,9.82,23993,0,0
2007-08-22,9.75,9.87,9.62,9.69,13941,0,0
2007-08-23,9.5,9.65,9.5,9.52,23720,0,0
2007-08-24,9.55,9.6,9.5,9.56,13515,0,0
2007-08-27,9.59,9.85,9.44,9.67,19423,0,0
2007-08-28,9.74,9.74,9.5,9.5,9654,0,0
2007-08-29,9.5,9.8,9.5,9.62,8300,0,0
2007-08-30,9.7,9.79,9.62,9.72,10681,0,0
2007-08-31,9.7,9.98,9.69,9.9,14962,0,0
2007-09-04,9.95,10.38,9.81,10.24,23034,0,0
2007-09-05,10.28,10.48,10.05,10.4,34678,0,0
2007-09-06,10.46,10.55,9.6,10.02,20790,0,0
2007-09-07,10.11,10.35,9.98,10.31,12985,0,0
2007-09-10,10.38,11.0,10.21,10.87,49215,0,0
2007-09-11,11.01,11.45,10.21,10.76,75589,0,0
2007-09-12,10.56,11.44,10.28,11.0,38768,0,0
