Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-06-01,1.38,1.58,1.38,1.58,3012000,0.0,0.0
1992-06-02,1.58,1.62,1.53,1.6,1220800,0.0,0.0
1992-06-03,1.62,1.86,1.58,1.86,1423200,0.0,0.0
1992-06-04,1.96,1.96,1.81,1.86,883200,0.0,0.0
1992-06-05,1.86,1.86,1.62,1.77,413600,0.0,0.0
1992-06-08,1.77,1.77,1.67,1.77,307200,0.0,0.0
1992-06-09,1.77,1.77,1.48,1.53,175200,0.0,0.0
1992-06-10,1.53,1.67,1.53,1.67,70400,0.0,0.0
1992-06-11,1.67,1.67,1.58,1.67,120800,0.0,0.0
1992-06-12,1.72,1.77,1.67,1.77,151600,0.0,0.0
1992-06-15,1.77,1.81,1.72,1.81,238800,0.0,0.0
1992-06-16,1.81,1.81,1.69,1.77,165200,0.0,0.0
1992-06-17,1.62,1.72,1.48,1.53,322800,0.0,0.0
1992-06-18,1.58,1.62,1.48,1.5,112000,0.0,0.0
1992-06-19,1.58,1.62,1.58,1.62,26800,0.0,0.0
1992-06-22,1.62,1.62,1.48,1.53,94800,0.0,0.0
1992-06-23,1.62,1.62,1.58,1.62,63200,0.0,0.0
1992-06-24,1.62,1.62,1.53,1.53,549600,0.0,0.0
1992-06-25,1.67,1.67,1.58,1.62,110800,0.0,0.0
1992-06-26,1.67,1.67,1.58,1.67,20000,0.0,0.0
1992-06-29,1.67,1.77,1.62,1.77,59600,0.0,0.0
1992-06-30,1.77,1.77,1.69,1.77,26800,0.0,0.0
1992-07-01,1.77,1.86,1.72,1.77,644800,0.0,0.0
1992-07-02,1.86,1.86,1.5,1.58,1184400,0.0,0.0
1992-07-06,1.62,1.62,1.53,1.62,66400,0.0,0.0
1992-07-07,1.62,1.62,1.48,1.48,70000,0.0,0.0
1992-07-08,1.53,1.53,1.43,1.53,523200,0.0,0.0
1992-07-09,1.58,1.58,1.53,1.58,15600,0.0,0.0
1992-07-10,1.58,1.67,1.58,1.67,27200,0.0,0.0
1992-07-13,1.67,1.67,1.62,1.67,42000,0.0,0.0
1992-07-14,1.62,1.67,1.58,1.67,122000,0.0,0.0
1992-07-15,1.67,1.81,1.62,1.67,91200,0.0,0.0
1992-07-16,1.81,1.81,1.67,1.67,23600,0.0,0.0
1992-07-17,1.67,1.81,1.67,1.77,44000,0.0,0.0
1992-07-20,1.72,1.77,1.67,1.77,47200,0.0,0.0
1992-07-21,1.81,1.91,1.72,1.86,382800,0.0,0.0
1992-07-22,1.86,1.86,1.72,1.72,113200,0.0,0.0
1992-07-23,1.67,1.77,1.67,1.69,56400,0.0,0.0
1992-07-24,1.72,1.72,1.62,1.72,82000,0.0,0.0
1992-07-27,1.72,1.77,1.67,1.67,38800,0.0,0.0
1992-07-28,1.72,1.86,1.72,1.86,144000,0.0,0.0
1992-07-29,1.86,1.96,1.77,1.91,251200,0.0,0.0
1992-07-30,1.96,2.0,1.81,1.96,152000,0.0,0.0
1992-07-31,2.0,2.0,1.91,1.96,216800,0.0,0.0
1992-08-03,1.96,2.0,1.91,2.0,206400,0.0,0.0
