Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-08-08,0.15,0.15,0.14,0.14,31200,0,0
1996-08-09,0.14,0.14,0.14,0.14,0,0,0
1996-08-12,0.16,0.16,0.16,0.16,9900,0,0
1996-08-13,0.17,0.18,0.17,0.18,23100,0,0
1996-08-14,0.18,0.18,0.18,0.18,0,0,0
1996-08-15,0.18,0.18,0.18,0.18,0,0,0
1996-08-16,0.18,0.18,0.18,0.18,0,0,0
1996-08-19,0.17,0.17,0.17,0.17,9900,0,0
1996-08-20,0.19,0.19,0.19,0.19,2100,0,0
1996-08-21,0.19,0.19,0.19,0.19,0,0,0
1996-08-22,0.19,0.19,0.19,0.19,0,0,0
1996-08-23,0.19,0.19,0.19,0.19,5100,0,0
1996-08-26,0.19,0.19,0.19,0.19,0,0,0
1996-08-27,0.19,0.19,0.19,0.19,0,0,0
1996-08-28,0.19,0.19,0.19,0.19,0,0,0
1996-08-29,0.15,0.15,0.15,0.15,5100,0,0
1996-08-30,0.15,0.15,0.15,0.15,0,0,0
1996-09-03,0.15,0.15,0.15,0.15,0,0,0
1996-09-04,0.2,0.21,0.2,0.21,12000,0,0
1996-09-05,0.22,0.22,0.22,0.22,9900,0,0
1996-09-06,0.23,0.25,0.23,0.25,33900,0,0
1996-09-09,0.24,0.24,0.2,0.2,181500,0,0
1996-09-10,0.2,0.21,0.2,0.2,27000,0,0
1996-09-11,0.2,0.2,0.2,0.2,0,0,0
1996-09-12,0.2,0.2,0.2,0.2,0,0,0
1996-09-13,0.19,0.19,0.18,0.18,20100,0,0
1996-09-16,0.17,0.17,0.17,0.17,9600,0,0
1996-09-17,0.17,0.17,0.17,0.17,0,0,0
1996-09-18,0.19,0.19,0.19,0.19,11100,0,0
1996-09-19,0.17,0.17,0.16,0.16,35100,0,0
1996-09-20,0.16,0.16,0.16,0.16,0,0,0
1996-09-23,0.16,0.16,0.16,0.16,0,0,0
1996-09-24,0.16,0.16,0.16,0.16,0,0,0
1996-09-25,0.16,0.16,0.16,0.16,9900,0,0
1996-09-26,0.16,0.16,0.16,0.16,3900,0,0
1996-09-27,0.16,0.16,0.16,0.16,0,0,0
1996-09-30,0.15,0.15,0.15,0.15,30000,0,0
1996-10-01,0.15,0.15,0.15,0.15,44100,0,0
1996-10-02,0.16,0.16,0.16,0.16,2400,0,0
1996-10-03,0.14,0.14,0.14,0.14,600,0,0
1996-10-04,0.16,0.19,0.16,0.19,9900,0,0
1996-10-07,0.19,0.19,0.19,0.19,0,0,0
1996-10-08,0.15,0.15,0.15,0.15,900,0,0
1996-10-09,0.19,0.19,0.19,0.19,900,0,0
1996-10-10,0.19,0.19,0.19,0.19,0,0,0
1996-10-11,0.16,0.16,0.16,0.16,2100,0,0
1996-10-15,0.16,0.16,0.16,0.16,0,0,0
1996-10-16,0.15,0.17,0.15,0.17,17100,0,0
1996-10-17,0.17,0.17,0.15,0.15,23400,0,0
1996-10-18,0.15,0.15,0.15,0.15,0,0,0
1996-10-21,0.16,0.16,0.16,0.16,900,0,0
1996-10-22,0.16,0.16,0.16,0.16,0,0,0
1996-10-23,0.15,0.15,0.15,0.15,9000,0,0
1996-10-24,0.15,0.15,0.15,0.15,0,0,0
1996-10-25,0.15,0.15,0.15,0.15,0,0,0
1996-10-28,0.15,0.15,0.15,0.15,3000,0,0
1996-10-29,0.15,0.15,0.15,0.15,68400,0,0
1996-10-30,0.15,0.15,0.15,0.15,30900,0,0
1996-10-31,0.16,0.16,0.16,0.16,2400,0,0
1996-11-01,0.15,0.17,0.15,0.17,46500,0,0
1996-11-04,0.17,0.17,0.17,0.17,0,0,0
1996-11-05,0.17,0.17,0.17,0.17,0,0,0
1996-11-06,0.17,0.17,0.17,0.17,0,0,0
1996-11-07,0.16,0.16,0.16,0.16,9900,0,0
1996-11-08,0.16,0.16,0.16,0.16,0,0,0
1996-11-11,0.16,0.16,0.16,0.16,0,0,0
1996-11-12,0.18,0.18,0.18,0.18,15000,0,0
1996-11-13,0.18,0.18,0.18,0.18,0,0,0
1996-11-14,0.18,0.18,0.18,0.18,0,0,0
1996-11-15,0.18,0.18,0.18,0.18,0,0,0
1996-11-18,0.17,0.17,0.17,0.17,8100,0,0
1996-11-19,0.17,0.17,0.17,0.17,0,0,0
1996-11-20,0.17,0.17,0.17,0.17,0,0,0
1996-11-21,0.16,0.16,0.16,0.16,24900,0,0
1996-11-22,0.16,0.16,0.16,0.16,0,0,0
1996-11-25,0.16,0.16,0.16,0.16,900,0,0
1996-11-26,0.16,0.16,0.16,0.16,0,0,0
1996-11-27,0.16,0.16,0.16,0.16,0,0,0
1996-11-29,0.16,0.16,0.16,0.16,0,0,0
1996-12-02,0.16,0.16,0.16,0.16,0,0,0
1996-12-03,0.16,0.16,0.16,0.16,0,0,0
1996-12-04,0.16,0.16,0.16,0.16,300,0,0
1996-12-05,0.15,0.15,0.15,0.15,2100,0,0
1996-12-06,0.15,0.15,0.15,0.15,0,0,0
1996-12-09,0.15,0.15,0.15,0.15,0,0,0
1996-12-10,0.15,0.15,0.15,0.15,0,0,0
1996-12-11,0.15,0.15,0.15,0.15,0,0,0
1996-12-12,0.15,0.15,0.15,0.15,0,0,0
1996-12-13,0.15,0.15,0.15,0.15,0,0,0
1996-12-16,0.15,0.15,0.15,0.15,0,0,0
1996-12-17,0.15,0.15,0.15,0.15,0,0,0
1996-12-18,0.19,0.19,0.19,0.19,23100,0,0
1996-12-19,0.19,0.19,0.19,0.19,0,0,0
1996-12-20,0.16,0.16,0.16,0.16,12000,0,0
1996-12-23,0.16,0.16,0.16,0.16,0,0,0
