Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.02,0.02,0.02,358400,0.0,0.0
1980-03-18,0.0,0.02,0.02,0.02,345600,0.0,0.0
1980-03-19,0.0,0.02,0.02,0.02,128000,0.0,0.0
1980-03-20,0.0,0.02,0.02,0.02,268800,0.0,0.0
1980-03-21,0.0,0.02,0.02,0.02,1625600,0.0,0.0
1980-03-24,0.0,0.02,0.02,0.02,409600,0.0,0.0
1980-03-25,0.0,0.02,0.02,0.02,115200,0.0,0.0
1980-03-26,0.0,0.02,0.02,0.02,396800,0.0,0.0
1980-03-27,0.0,0.02,0.02,0.02,793600,0.0,0.0
1980-03-28,0.0,0.02,0.02,0.02,524800,0.0,0.0
1980-03-31,0.0,0.02,0.02,0.02,601600,0.0,0.0
1980-04-01,0.0,0.02,0.02,0.02,819200,0.0,0.0
1980-04-02,0.0,0.02,0.02,0.02,76800,0.0,0.0
1980-04-03,0.0,0.02,0.02,0.02,268800,0.0,0.0
1980-04-07,0.0,0.02,0.02,0.02,473600,0.0,0.0
1980-04-08,0.0,0.02,0.02,0.02,281600,0.0,0.0
1980-04-09,0.0,0.02,0.02,0.02,883200,0.0,0.0
1980-04-10,0.0,0.02,0.02,0.02,1446400,0.0,0.0
1980-04-11,0.0,0.02,0.02,0.02,371200,0.0,0.0
1980-04-14,0.0,0.02,0.02,0.02,704000,0.0,0.0
1980-04-15,0.0,0.02,0.02,0.02,281600,0.0,0.0
1980-04-16,0.0,0.02,0.02,0.02,806400,0.0,0.0
1980-04-17,0.0,0.02,0.02,0.02,358400,0.0,0.0
1980-04-18,0.0,0.02,0.02,0.02,320000,0.0,0.0
1980-04-21,0.0,0.02,0.02,0.02,448000,0.0,0.0
1980-04-22,0.0,0.02,0.02,0.02,384000,0.0,0.0
1980-04-23,0.0,0.02,0.02,0.02,563200,0.0,0.0
1980-04-24,0.0,0.02,0.02,0.02,729600,0.0,0.0
1980-04-25,0.0,0.02,0.02,0.02,537600,0.0,0.0
1980-04-28,0.0,0.02,0.02,0.02,422400,0.0,0.0
1980-04-29,0.0,0.02,0.02,0.02,1920000,0.0,0.0
1980-04-30,0.0,0.02,0.02,0.02,2240000,0.0,0.0
1980-05-01,0.0,0.02,0.02,0.02,166400,0.0,0.0
1980-05-02,0.0,0.02,0.02,0.02,243200,0.0,0.0
1980-05-05,0.0,0.02,0.02,0.02,1049600,0.0,0.0
1980-05-06,0.0,0.02,0.02,0.02,1305600,0.0,0.0
1980-05-07,0.0,0.02,0.02,0.02,729600,0.0,0.0
1980-05-08,0.0,0.02,0.02,0.02,1971200,0.0,0.0
1980-05-09,0.0,0.02,0.02,0.02,819200,0.0,0.0
1980-05-12,0.0,0.02,0.02,0.02,819200,0.0,0.0
1980-05-13,0.0,0.02,0.02,0.02,2188800,0.0,0.0
1980-05-14,0.0,0.02,0.02,0.02,384000,0.0,0.0
1980-05-15,0.0,0.02,0.02,0.02,2048000,0.0,0.0
1980-05-16,0.0,0.02,0.02,0.02,921600,0.0,0.0
1980-05-19,0.0,0.02,0.02,0.02,179200,0.0,0.0
1980-05-20,0.0,0.02,0.02,0.02,1024000,0.0,0.0
1980-05-21,0.0,0.02,0.02,0.02,806400,0.0,0.0
1980-05-22,0.0,0.02,0.02,0.02,819200,0.0,0.0
1980-05-23,0.0,0.03,0.02,0.02,1049600,0.0,0.0
1980-05-27,0.0,0.02,0.02,0.02,550400,0.0,0.0
1980-05-28,0.0,0.02,0.02,0.02,704000,0.0,0.0
1980-05-29,0.0,0.02,0.02,0.02,1254400,0.0,0.0
1980-05-30,0.0,0.02,0.02,0.02,1484800,0.0,0.0
1980-06-02,0.0,0.02,0.02,0.02,512000,0.0,0.0
1980-06-03,0.0,0.02,0.02,0.02,204800,0.0,0.0
1980-06-04,0.0,0.02,0.02,0.02,1011200,0.0,0.0
1980-06-05,0.0,0.03,0.02,0.02,1344000,0.0,0.0
1980-06-06,0.0,0.03,0.03,0.03,729600,0.0,0.0
1980-06-09,0.0,0.03,0.03,0.03,1139200,0.0,0.0
1980-06-10,0.0,0.03,0.03,0.03,1996800,0.0,0.0
1980-06-11,0.0,0.03,0.03,0.03,627200,0.0,0.0
1980-06-12,0.0,0.03,0.03,0.03,768000,0.0,0.0
1980-06-13,0.0,0.03,0.03,0.03,1203200,0.0,0.0
1980-06-16,0.0,0.03,0.02,0.02,2009600,0.0,0.0
1980-06-17,0.0,0.03,0.02,0.02,76800,0.0,0.0
1980-06-18,0.0,0.03,0.03,0.03,460800,0.0,0.0
1980-06-19,0.0,0.03,0.03,0.03,332800,0.0,0.0
1980-06-20,0.0,0.03,0.03,0.03,256000,0.0,0.0
1980-06-23,0.0,0.03,0.03,0.03,793600,0.0,0.0
1980-06-24,0.0,0.03,0.03,0.03,857600,0.0,0.0
1980-06-25,0.0,0.03,0.03,0.03,896000,0.0,0.0
1980-06-26,0.0,0.03,0.03,0.03,1049600,0.0,0.0
1980-06-27,0.0,0.03,0.03,0.03,2854400,0.0,0.0
1980-06-30,0.0,0.03,0.03,0.03,1011200,0.0,0.0
1980-07-01,0.0,0.03,0.03,0.03,1420800,0.0,0.0
1980-07-02,0.0,0.03,0.03,0.03,640000,0.0,0.0
1980-07-03,0.0,0.03,0.03,0.03,409600,0.0,0.0
1980-07-07,0.0,0.03,0.03,0.03,448000,0.0,0.0
1980-07-08,0.0,0.03,0.03,0.03,409600,0.0,0.0
1980-07-09,0.0,0.03,0.03,0.03,1152000,0.0,0.0
1980-07-10,0.0,0.03,0.03,0.03,742400,0.0,0.0
1980-07-11,0.0,0.03,0.03,0.03,204800,0.0,0.0
1980-07-14,0.0,0.03,0.03,0.03,870400,0.0,0.0
1980-07-15,0.0,0.03,0.03,0.03,1267200,0.0,0.0
1980-07-16,0.0,0.03,0.03,0.03,256000,0.0,0.0
1980-07-17,0.0,0.03,0.03,0.03,576000,0.0,0.0
1980-07-18,0.0,0.03,0.03,0.03,1049600,0.0,0.0
1980-07-21,0.0,0.03,0.03,0.03,742400,0.0,0.0
1980-07-22,0.0,0.03,0.03,0.03,857600,0.0,0.0
1980-07-23,0.0,0.03,0.03,0.03,1548800,0.0,0.0
1980-07-24,0.0,0.03,0.03,0.03,870400,0.0,0.0
1980-07-25,0.0,0.03,0.03,0.03,742400,0.0,0.0
1980-07-28,0.0,0.03,0.03,0.03,371200,0.0,0.0
1980-07-29,0.0,0.03,0.03,0.03,985600,0.0,0.0
1980-07-30,0.0,0.03,0.03,0.03,1536000,0.0,0.0
1980-07-31,0.0,0.03,0.03,0.03,1894400,0.0,0.0
1980-08-01,0.0,0.03,0.03,0.03,652800,0.0,0.0
1980-08-04,0.0,0.03,0.03,0.03,217600,0.0,0.0
1980-08-05,0.0,0.03,0.03,0.03,166400,0.0,0.0
1980-08-06,0.0,0.03,0.03,0.03,1075200,0.0,0.0
1980-08-07,0.0,0.03,0.03,0.03,396800,0.0,0.0
1980-08-08,0.0,0.03,0.03,0.03,332800,0.0,0.0
1980-08-11,0.0,0.03,0.03,0.03,332800,0.0,0.0
1980-08-12,0.0,0.03,0.03,0.03,281600,0.0,0.0
1980-08-13,0.0,0.03,0.03,0.03,332800,0.0,0.0
1980-08-14,0.0,0.03,0.03,0.03,1664000,0.0,0.0
1980-08-15,0.0,0.03,0.03,0.03,499200,0.0,0.0
1980-08-18,0.0,0.03,0.03,0.03,793600,0.0,0.0
1980-08-19,0.0,0.03,0.03,0.03,499200,0.0,0.0
1980-08-20,0.0,0.03,0.03,0.03,780800,0.0,0.0
1980-08-21,0.0,0.03,0.03,0.03,192000,0.0,0.0
1980-08-22,0.0,0.03,0.03,0.03,563200,0.0,0.0
1980-08-25,0.0,0.03,0.03,0.03,153600,0.0,0.0
1980-08-26,0.0,0.03,0.03,0.03,921600,0.0,0.0
1980-08-27,0.0,0.03,0.03,0.03,1113600,0.0,0.0
1980-08-28,0.0,0.03,0.03,0.03,1075200,0.0,0.0
1980-08-29,0.0,0.03,0.03,0.03,25600,0.0,0.0
1980-09-02,0.0,0.03,0.03,0.03,614400,0.0,0.0
1980-09-03,0.0,0.03,0.03,0.03,268800,0.0,0.0
1980-09-04,0.0,0.03,0.03,0.03,192000,0.0,0.0
1980-09-05,0.0,0.03,0.03,0.03,908800,0.0,0.0
1980-09-08,0.0,0.03,0.03,0.03,627200,0.0,0.0
1980-09-09,0.0,0.03,0.03,0.03,473600,0.0,0.0
1980-09-10,0.0,0.03,0.03,0.03,1126400,0.0,0.0
1980-09-11,0.0,0.03,0.03,0.03,179200,0.0,0.0
1980-09-12,0.0,0.03,0.03,0.03,217600,0.0,0.0
1980-09-15,0.0,0.03,0.03,0.03,345600,0.0,0.0
1980-09-16,0.0,0.03,0.03,0.03,1228800,0.0,0.0
1980-09-17,0.0,0.03,0.03,0.03,1958400,0.0,0.0
1980-09-18,0.0,0.03,0.03,0.03,1433600,0.0,0.0
1980-09-19,0.0,0.03,0.03,0.03,1139200,0.0,0.0
1980-09-22,0.0,0.03,0.03,0.03,128000,0.0,0.0
1980-09-23,0.0,0.03,0.03,0.03,102400,0.0,0.0
1980-09-24,0.0,0.03,0.03,0.03,563200,0.0,0.0
1980-09-25,0.0,0.03,0.03,0.03,870400,0.0,0.0
1980-09-26,0.0,0.03,0.03,0.03,1011200,0.0,0.0
1980-09-29,0.0,0.03,0.03,0.03,2406400,0.0,0.0
1980-09-30,0.0,0.03,0.03,0.03,601600,0.0,0.0
1980-10-01,0.0,0.03,0.03,0.03,512000,0.0,0.0
1980-10-02,0.0,0.03,0.03,0.03,128000,0.0,0.0
1980-10-03,0.0,0.03,0.03,0.03,780800,0.0,0.0
1980-10-06,0.0,0.03,0.03,0.03,307200,0.0,0.0
1980-10-07,0.0,0.03,0.03,0.03,153600,0.0,0.0
1980-10-08,0.0,0.03,0.03,0.03,1574400,0.0,0.0
1980-10-09,0.0,0.03,0.03,0.03,934400,0.0,0.0
1980-10-10,0.0,0.03,0.03,0.03,780800,0.0,0.0
1980-10-13,0.0,0.03,0.03,0.03,230400,0.0,0.0
1980-10-14,0.0,0.03,0.03,0.03,268800,0.0,0.0
1980-10-15,0.0,0.03,0.03,0.03,819200,0.0,0.0
1980-10-16,0.0,0.04,0.04,0.04,4057600,0.0,0.0
1980-10-17,0.0,0.04,0.04,0.04,396800,0.0,0.0
1980-10-20,0.0,0.04,0.03,0.03,268800,0.0,0.0
1980-10-21,0.0,0.04,0.04,0.04,115200,0.0,0.0
1980-10-22,0.0,0.04,0.04,0.04,307200,0.0,0.0
1980-10-23,0.0,0.03,0.03,0.03,2048000,0.0,0.0
1980-10-24,0.0,0.03,0.03,0.03,153600,0.0,0.0
1980-10-27,0.0,0.03,0.03,0.03,601600,0.0,0.0
1980-10-28,0.0,0.03,0.03,0.03,460800,0.0,0.0
1980-10-29,0.0,0.03,0.03,0.03,806400,0.0,0.0
1980-10-30,0.0,0.03,0.03,0.03,576000,0.0,0.0
1980-10-31,0.0,0.03,0.03,0.03,832000,0.0,0.0
1980-11-03,0.0,0.03,0.03,0.03,179200,0.0,0.0
1980-11-05,0.03,0.03,0.03,0.03,0,0.0,0.0
1980-11-06,0.0,0.03,0.03,0.03,563200,0.0,0.0
1980-11-07,0.0,0.03,0.03,0.03,320000,0.0,0.0
1980-11-10,0.0,0.03,0.03,0.03,358400,0.0,0.0
1980-11-11,0.0,0.03,0.03,0.03,1100800,0.0,0.0
1980-11-12,0.0,0.03,0.03,0.03,179200,0.0,0.0
1980-11-13,0.0,0.03,0.03,0.03,2432000,0.0,0.0
1980-11-14,0.0,0.03,0.03,0.03,947200,0.0,0.0
