Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-12-11,6.32,6.59,6.18,6.32,36719700,0.0,0
2002-12-12,6.32,6.36,6.05,6.14,9195600,0.0,0
2002-12-13,6.1,6.32,6.01,6.27,7739400,0.0,0
2002-12-16,6.22,6.38,6.11,6.38,3836400,0.0,0
2002-12-17,6.37,6.47,6.29,6.32,2729900,0.0,0
2002-12-18,6.27,6.28,6.11,6.15,2152800,0.0,0
2002-12-19,6.12,6.15,5.88,5.91,6450800,0.0,0
2002-12-20,5.96,6.01,5.8,5.94,2930900,0.0,0
2002-12-23,5.88,5.88,5.6,5.71,3455900,0.0,0
2002-12-24,5.71,5.74,5.49,5.62,3302500,0.0,0
2002-12-26,5.52,5.6,5.49,5.51,2019200,0.0,0
2002-12-27,5.49,5.56,5.41,5.56,1639400,0.0,0
2002-12-30,5.61,5.79,5.49,5.75,2742800,0.0,0
2002-12-31,5.66,6.02,5.66,5.89,3730800,0.0,0
2003-01-02,5.9,5.91,5.63,5.77,3473000,0.0,0
2003-01-03,5.77,5.9,5.67,5.9,1716600,0.0,0
2003-01-06,5.99,6.35,5.96,6.28,4041400,0.0,0
2003-01-07,6.32,6.73,6.26,6.73,6823500,0.0,0
2003-01-08,6.62,6.72,6.56,6.7,4623100,0.0,0
2003-01-09,6.75,7.11,6.73,6.92,9553400,0.0,0
2003-01-10,6.32,6.56,5.88,6.1,7554700,0.0,0
2003-01-13,6.12,6.19,5.57,5.62,2834700,0.0,0
2003-01-14,5.62,5.68,5.49,5.63,1629200,0.0,0
2003-01-15,5.69,5.97,5.6,5.91,2588100,0.0,0
2003-01-16,6.03,6.1,5.92,6.05,1443400,0.0,0
2003-01-17,6.03,6.04,5.71,5.93,2000000,0.0,0
2003-01-21,5.99,6.03,5.61,5.62,1165700,0.0,0
2003-01-22,5.68,5.68,5.11,5.23,3488500,0.0,0
2003-01-23,5.35,5.57,5.28,5.49,2498200,0.0,0
2003-01-24,5.59,5.73,5.38,5.46,2772100,0.0,0
2003-01-27,5.38,5.44,5.12,5.13,1150600,0.0,0
2003-01-28,5.18,5.33,5.16,5.16,1267000,0.0,0
2003-01-29,5.17,5.45,5.16,5.34,1174400,0.0,0
2003-01-30,5.38,5.43,5.16,5.16,720700,0.0,0
2003-01-31,5.11,5.13,4.94,5.04,1402500,0.0,0
2003-02-03,5.07,5.19,5.03,5.04,1002400,0.0,0
2003-02-04,5.04,5.04,4.92,4.97,1087700,0.0,0
2003-02-05,5.01,5.06,4.93,4.97,1233500,0.0,0
2003-02-06,5.0,5.13,4.96,4.97,923500,0.0,0
2003-02-07,5.02,5.04,4.92,4.94,1069500,0.0,0
2003-02-10,4.81,4.81,4.27,4.78,10046400,0.0,0
2003-02-11,4.78,4.9,4.52,4.9,2238900,0.0,0
2003-02-12,4.93,4.93,4.51,4.6,1726000,0.03,0
2003-02-13,4.6,4.66,4.41,4.44,2111000,0.0,0
2003-02-14,4.44,4.63,4.44,4.63,881000,0.0,0
2003-02-18,4.63,4.82,4.62,4.82,2049100,0.0,0
2003-02-19,4.85,4.96,4.82,4.95,1506300,0.0,0
2003-02-20,4.9,5.04,4.89,4.96,760000,0.0,0
2003-02-21,4.98,5.16,4.98,5.07,1519300,0.0,0
2003-02-24,5.1,5.18,4.89,4.96,1055600,0.0,0
2003-02-25,4.96,5.37,4.94,5.33,3049400,0.0,0
2003-02-26,5.32,5.37,5.19,5.25,782300,0.0,0
2003-02-27,5.19,5.34,5.14,5.21,387000,0.0,0
2003-02-28,5.23,5.23,5.06,5.11,808500,0.0,0
2003-03-03,5.1,5.25,5.08,5.12,575800,0.0,0
2003-03-04,5.14,5.17,5.07,5.11,517600,0.0,0
2003-03-05,5.09,5.19,5.04,5.12,1017700,0.0,0
2003-03-06,5.06,5.37,5.06,5.28,1481100,0.0,0
2003-03-07,5.22,5.42,5.17,5.34,898800,0.0,0
2003-03-10,5.21,5.38,5.21,5.38,1837100,0.0,0
2003-03-11,5.34,5.37,5.21,5.26,1960400,0.0,0
2003-03-12,5.15,5.18,4.93,4.98,4556400,0.0,0
2003-03-13,4.98,5.04,4.89,4.99,4223600,0.0,0
2003-03-14,4.97,5.01,4.82,4.94,2401400,0.0,0
2003-03-17,4.94,5.2,4.88,5.15,994400,0.0,0
2003-03-18,5.15,5.27,5.15,5.26,782500,0.0,0
2003-03-19,5.21,5.24,5.06,5.15,874000,0.0,0
2003-03-20,5.1,5.21,5.07,5.2,1609600,0.0,0
2003-03-21,5.23,5.5,5.18,5.4,2559900,0.0,0
2003-03-24,5.21,5.38,5.2,5.26,1945600,0.0,0
2003-03-25,5.23,5.63,5.21,5.51,4664700,0.0,0
2003-03-26,5.43,5.61,5.37,5.57,2908700,0.0,0
2003-03-27,5.48,6.0,5.48,6.0,4410700,0.0,0
2003-03-28,5.89,5.95,5.7,5.7,2628000,0.0,0
2003-03-31,5.51,5.75,5.5,5.69,1127600,0.0,0
2003-04-01,5.74,5.88,5.69,5.82,1558200,0.0,0
2003-04-02,5.92,6.03,5.82,5.92,4117900,0.0,0
2003-04-03,5.97,5.98,5.74,5.91,1517100,0.0,0
2003-04-04,5.85,5.86,5.59,5.66,4553400,0.0,0
2003-04-07,5.68,5.77,5.62,5.68,3600200,0.0,0
2003-04-08,5.7,5.87,5.65,5.8,2169200,0.0,0
2003-04-09,5.85,5.95,5.79,5.91,1889300,0.0,0
2003-04-10,5.91,6.01,5.82,5.97,1988500,0.0,0
2003-04-11,5.98,6.03,5.96,6.03,1500200,0.0,0
2003-04-14,6.01,6.09,5.87,6.09,991300,0.0,0
2003-04-15,6.06,6.31,6.01,6.31,2470200,0.0,0
2003-04-16,6.39,6.81,6.39,6.56,8202400,0.0,0
2003-04-17,6.54,6.75,6.5,6.75,2437600,0.0,0
2003-04-21,6.67,6.78,6.61,6.76,1866600,0.0,0
2003-04-22,6.72,6.86,6.61,6.81,1270200,0.0,0
2003-04-23,6.81,6.81,6.31,6.47,2737800,0.0,0
2003-04-24,6.42,6.46,6.31,6.34,1244800,0.0,0
2003-04-25,6.34,6.34,6.12,6.26,1543400,0.0,0
2003-04-28,6.24,6.45,6.23,6.33,1635800,0.0,0
2003-04-29,6.39,6.68,6.39,6.63,1513300,0.0,0
2003-04-30,6.56,6.66,6.38,6.66,3005000,0.0,0
2003-05-01,6.63,6.78,6.58,6.75,1312200,0.0,0
2003-05-02,6.71,6.79,6.53,6.77,1900900,0.0,0
2003-05-05,6.74,6.93,6.72,6.91,2176000,0.0,0
2003-05-06,6.75,6.91,6.75,6.89,758600,0.0,0
2003-05-07,6.86,7.07,6.85,7.01,990300,0.03,0
2003-05-08,6.96,7.04,6.9,7.03,815300,0.0,0
2003-05-09,7.04,7.05,6.88,6.95,1157400,0.0,0
2003-05-12,6.9,7.43,6.77,7.38,3123000,0.0,0
2003-05-13,7.35,7.85,7.32,7.69,4718700,0.0,0
2003-05-14,7.72,7.73,7.38,7.54,1354100,0.0,0
2003-05-15,7.54,7.59,7.27,7.4,797300,0.0,0
2003-05-16,7.36,7.48,7.09,7.48,1493800,0.0,0
2003-05-19,7.43,7.5,7.35,7.37,1102300,0.0,0
2003-05-20,7.35,7.37,7.11,7.24,2152900,0.0,0
2003-05-21,7.18,7.5,7.18,7.34,930600,0.0,0
2003-05-22,7.28,7.45,7.26,7.42,1116600,0.0,0
2003-05-23,7.42,7.53,7.35,7.36,1287900,0.0,0
2003-05-27,7.41,7.75,7.36,7.71,2212300,0.0,0
2003-05-28,7.65,8.29,7.61,8.2,3516100,0.0,0
2003-05-29,8.45,8.78,8.35,8.37,5121900,0.0,0
2003-05-30,8.12,8.54,8.06,8.37,2465500,0.0,0
2003-06-02,8.56,8.7,8.55,8.58,1695100,0.0,0
2003-06-03,8.29,8.4,8.06,8.21,2191600,0.0,0
2003-06-04,8.26,8.36,8.06,8.27,2222300,0.0,0
2003-06-05,8.27,8.86,8.15,8.82,2316300,0.0,0
2003-06-06,8.82,9.13,8.45,8.51,3287000,0.0,0
2003-06-09,8.01,8.5,8.01,8.48,4232800,0.0,0
2003-06-10,8.5,8.62,8.2,8.3,4167600,0.0,0
2003-06-11,8.24,8.51,8.21,8.42,2929900,0.0,0
2003-06-12,8.38,8.62,8.29,8.62,2549600,0.0,0
2003-06-13,8.64,8.84,8.51,8.82,2168700,0.0,0
2003-06-16,8.84,9.45,8.72,9.39,3809400,0.0,0
