Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1975-11-17,0.0,2.4,2.4,2.4,53200,0.0,0.0
1975-11-18,0.0,2.46,2.46,2.46,106800,0.0,0.0
1975-11-19,0.0,2.35,2.35,2.35,170400,0.0,0.0
1975-11-20,0.0,2.32,2.32,2.32,61200,0.0,0.0
1975-11-21,0.0,2.32,2.32,2.32,64000,0.0,0.0
1975-11-24,0.0,2.31,2.31,2.31,88400,0.0,0.0
1975-11-25,0.0,2.3,2.3,2.3,75200,0.0,0.0
1975-11-26,0.0,2.32,2.32,2.32,89200,0.0,0.0
1975-11-28,0.0,2.34,2.34,2.34,95600,0.0,0.0
1975-12-01,0.0,2.27,2.27,2.27,102400,0.0,0.0
1975-12-02,0.0,2.16,2.16,2.16,78400,0.0,0.0
1975-12-03,0.0,2.06,2.06,2.06,86400,0.0,0.0
1975-12-04,0.0,2.06,2.06,2.06,48800,0.0,0.0
1975-12-05,0.0,2.04,2.04,2.04,62800,0.0,0.0
1975-12-08,0.0,2.04,2.04,2.04,87600,0.0,0.0
1975-12-09,0.0,2.04,2.04,2.04,158800,0.0,0.0
1975-12-10,0.0,2.05,2.05,2.05,99600,0.0,0.0
1975-12-11,0.0,2.06,2.06,2.06,62400,0.0,0.0
1975-12-12,0.0,2.16,2.16,2.16,116400,0.0,0.0
1975-12-15,0.0,2.16,2.16,2.16,170800,0.0,0.0
1975-12-16,0.0,2.19,2.19,2.19,110400,0.0,0.0
1975-12-17,0.0,2.21,2.21,2.21,92800,0.0,0.0
1975-12-18,0.0,2.22,2.22,2.22,81200,0.0,0.0
1975-12-19,0.0,2.2,2.2,2.2,130800,0.0,0.0
1975-12-22,0.0,2.2,2.2,2.2,67200,0.0,0.0
1975-12-23,0.0,2.21,2.21,2.21,59600,0.0,0.0
1975-12-24,0.0,2.15,2.15,2.15,135200,0.0,0.0
1975-12-26,0.0,2.16,2.16,2.16,46800,0.0,0.0
1975-12-29,0.0,2.13,2.13,2.13,52800,0.0,0.0
1975-12-30,0.0,2.12,2.12,2.12,54000,0.0,0.0
1975-12-31,0.0,2.12,2.12,2.12,34800,0.0,0.0
1976-01-02,0.0,2.16,2.16,2.16,71600,0.0,0.0
1976-01-05,0.0,2.19,2.19,2.19,104400,0.0,0.0
1976-01-06,0.0,2.28,2.28,2.28,132800,0.0,0.0
1976-01-07,0.0,2.23,2.23,2.23,120000,0.0,0.0
1976-01-08,0.0,2.23,2.23,2.23,85200,0.0,0.0
1976-01-09,0.0,2.23,2.23,2.23,59600,0.0,0.0
1976-01-12,0.0,2.23,2.23,2.23,48800,0.0,0.0
1976-01-13,0.0,2.21,2.21,2.21,112400,0.0,0.0
1976-01-14,0.0,2.23,2.23,2.23,90000,0.0,0.0
1976-01-15,0.0,2.2,2.2,2.2,174000,0.0,0.0
1976-01-16,0.0,2.2,2.2,2.2,14400,0.0,0.0
1976-01-19,0.0,2.21,2.21,2.21,56000,0.0,0.0
1976-01-20,0.0,2.22,2.22,2.22,59200,0.0,0.0
1976-01-21,0.0,2.2,2.2,2.2,62000,0.0,0.0
1976-01-22,0.0,2.18,2.18,2.18,52800,0.0,0.0
1976-01-23,0.0,2.16,2.16,2.16,42800,0.0,0.0
1976-01-26,0.0,2.07,2.07,2.07,84400,0.0,0.0
1976-01-27,0.0,2.06,2.06,2.06,272000,0.0,0.0
1976-01-28,0.0,2.11,2.11,2.11,212000,0.0,0.0
1976-01-29,0.0,2.28,2.25,2.25,158400,0.0,0.0
1976-01-30,0.0,2.23,2.2,2.2,304400,0.0,0.0
1976-02-02,0.0,2.27,2.23,2.23,73600,0.0,0.0
1976-02-03,0.0,2.28,2.24,2.24,66800,0.0,0.0
1976-02-04,0.0,2.3,2.27,2.27,184000,0.0,0.0
1976-02-05,0.0,2.28,2.25,2.25,64800,0.0,0.0
1976-02-06,0.0,2.24,2.21,2.21,72000,0.0,0.0
1976-02-09,0.0,2.27,2.23,2.23,42800,0.0,0.0
1976-02-10,0.0,2.24,2.21,2.21,91200,0.0,0.0
1976-02-11,0.0,2.25,2.22,2.22,28800,0.0,0.0
1976-02-12,0.0,2.27,2.23,2.23,131200,0.0,0.0
1976-02-13,0.0,2.27,2.23,2.23,20400,0.0,0.0
1976-02-17,0.0,2.25,2.22,2.22,36000,0.0,0.0
1976-02-18,0.0,2.24,2.21,2.21,79600,0.0,0.0
1976-02-19,0.0,2.19,2.16,2.16,159600,0.0,0.0
