Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.58,1.42,1.42,10800,0.0,0.0
1980-03-18,0.0,1.58,1.42,1.42,8100,0.0,0.0
1980-03-19,0.0,1.58,1.42,1.42,3000,0.0,0.0
1980-03-20,0.0,1.58,1.42,1.42,9900,0.0,0.0
1980-03-21,0.0,1.5,1.35,1.35,9900,0.0,0.0
1980-03-24,0.0,1.46,1.31,1.31,24300,0.0,0.0
1980-03-25,0.0,1.46,1.31,1.31,21000,0.0,0.0
1980-03-26,0.0,1.46,1.31,1.31,900,0.0,0.0
1980-03-27,0.0,1.38,1.23,1.23,22800,0.0,0.0
1980-03-28,0.0,1.42,1.27,1.27,6600,0.0,0.0
1980-03-31,0.0,1.42,1.27,1.27,7200,0.0,0.0
1980-04-01,0.0,1.42,1.27,1.27,1800,0.0,0.0
1980-04-02,0.0,1.42,1.27,1.27,5700,0.0,0.0
1980-04-03,0.0,1.42,1.27,1.27,6300,0.0,0.0
1980-04-07,0.0,1.38,1.23,1.23,5700,0.0,0.0
1980-04-08,0.0,1.35,1.19,1.19,18300,0.0,0.0
1980-04-09,0.0,1.35,1.19,1.19,14400,0.0,0.0
1980-04-10,0.0,1.42,1.27,1.27,13500,0.0,0.0
1980-04-11,0.0,1.5,1.35,1.35,16500,0.0,0.0
1980-04-14,0.0,1.42,1.27,1.27,10200,0.0,0.0
1980-04-15,0.0,1.35,1.19,1.19,4800,0.0,0.0
1980-04-16,0.0,1.35,1.19,1.19,6300,0.0,0.0
1980-04-17,1.19,1.19,1.19,1.19,0,0.0,0.0
1980-04-18,0.0,1.35,1.19,1.19,1200,0.0,0.0
1980-04-21,0.0,1.31,1.15,1.15,14400,0.0,0.0
1980-04-22,0.0,1.38,1.23,1.23,13500,0.0,0.0
1980-04-23,0.0,1.5,1.35,1.35,21900,0.0,0.0
1980-04-24,0.0,1.46,1.31,1.31,20100,0.0,0.0
1980-04-25,0.0,1.42,1.27,1.27,5400,0.0,0.0
1980-04-28,0.0,1.42,1.27,1.27,4500,0.0,0.0
1980-04-29,0.0,1.42,1.27,1.27,12900,0.0,0.0
1980-04-30,0.0,1.42,1.27,1.27,9900,0.0,0.0
1980-05-01,0.0,1.42,1.27,1.27,20700,0.0,0.0
1980-05-02,0.0,1.42,1.27,1.27,6600,0.0,0.0
1980-05-05,0.0,1.38,1.23,1.23,23700,0.0,0.0
1980-05-06,0.0,1.42,1.27,1.27,47700,0.0,0.0
1980-05-07,0.0,1.46,1.31,1.31,32400,0.0,0.0
1980-05-08,0.0,1.46,1.31,1.31,52500,0.0,0.0
1980-05-09,0.0,1.42,1.27,1.27,32700,0.0,0.0
1980-05-12,0.0,1.42,1.27,1.27,19800,0.0,0.0
1980-05-13,0.0,1.46,1.31,1.31,36000,0.0,0.0
1980-05-14,0.0,1.58,1.42,1.42,17100,0.0,0.0
1980-05-15,0.0,1.62,1.46,1.46,10800,0.0,0.0
1980-05-16,0.0,1.74,1.58,1.58,36900,0.0,0.0
1980-05-19,0.0,1.7,1.54,1.54,1200,0.0,0.0
1980-05-20,0.0,1.66,1.5,1.5,4800,0.0,0.0
1980-05-21,0.0,1.66,1.5,1.5,9000,0.0,0.0
1980-05-22,0.0,1.66,1.5,1.5,4500,0.0,0.0
1980-05-23,0.0,1.66,1.5,1.5,4500,0.0,0.0
1980-05-27,0.0,1.7,1.54,1.54,900,0.0,0.0
1980-05-28,0.0,1.7,1.54,1.54,3600,0.0,0.0
1980-05-29,0.0,1.74,1.58,1.58,16200,0.0,0.0
1980-05-30,0.0,1.86,1.7,1.7,17100,0.0,0.0
1980-06-02,0.0,1.78,1.62,1.62,1800,0.0,0.0
1980-06-03,0.0,1.78,1.62,1.62,4800,0.0,0.0
1980-06-04,0.0,1.74,1.58,1.58,1800,0.0,0.0
1980-06-05,0.0,1.74,1.58,1.58,8100,0.0,0.0
1980-06-06,0.0,1.74,1.58,1.58,2100,0.0,0.0
1980-06-09,0.0,1.7,1.54,1.54,12000,0.0,0.0
1980-06-10,0.0,1.66,1.5,1.5,1800,0.0,0.0
1980-06-11,1.5,1.5,1.5,1.5,0,0.0,0.0
1980-06-12,0.0,1.66,1.5,1.5,3600,0.0,0.0
1980-06-13,0.0,1.66,1.5,1.5,9900,0.0,0.0
1980-06-16,0.0,1.66,1.5,1.5,1200,0.0,0.0
1980-06-17,0.0,1.66,1.5,1.5,5700,0.0,0.0
1980-06-18,0.0,1.66,1.5,1.5,5400,0.0,0.0
1980-06-19,0.0,1.66,1.5,1.5,5400,0.0,0.0
1980-06-20,0.0,1.78,1.62,1.62,64200,0.0,0.0
1980-06-23,0.0,1.78,1.62,1.62,21600,0.0,0.0
1980-06-24,0.0,1.78,1.62,1.62,15300,0.0,0.0
1980-06-25,0.0,1.78,1.62,1.62,24600,0.0,0.0
1980-06-26,0.0,1.78,1.62,1.62,6600,0.0,0.0
1980-06-27,0.0,1.74,1.58,1.58,3600,0.0,0.0
1980-06-30,0.0,1.74,1.58,1.58,5700,0.0,0.0
1980-07-01,0.0,1.74,1.58,1.58,12600,0.0,0.0
1980-07-02,0.0,1.74,1.58,1.58,1200,0.0,0.0
1980-07-03,0.0,1.82,1.66,1.66,40800,0.0,0.0
1980-07-07,0.0,1.9,1.82,1.82,39600,0.0,0.0
1980-07-08,0.0,1.94,1.86,1.86,64800,0.0,0.0
1980-07-09,0.0,1.9,1.86,1.86,107400,0.0,0.0
1980-07-10,0.0,1.9,1.86,1.86,4800,0.0,0.0
1980-07-11,0.0,1.94,1.86,1.86,104400,0.0,0.0
1980-07-14,0.0,1.94,1.9,1.9,13500,0.0,0.0
1980-07-15,0.0,1.94,1.9,1.9,20100,0.0,0.0
1980-07-16,0.0,1.94,1.9,1.9,17400,0.0,0.0
1980-07-17,0.0,2.06,2.02,2.02,73800,0.0,0.0
1980-07-18,0.0,2.06,2.02,2.02,38100,0.0,0.0
1980-07-21,0.0,2.14,2.06,2.06,42600,0.0,0.0
1980-07-22,0.0,2.1,2.06,2.06,17400,0.0,0.0
1980-07-23,0.0,2.1,2.02,2.02,13500,0.0,0.0
1980-07-24,0.0,2.1,2.06,2.06,34200,0.0,0.0
1980-07-25,0.0,2.18,2.14,2.14,57900,0.0,0.0
1980-07-28,0.0,2.18,2.1,2.1,28200,0.0,0.0
1980-07-29,0.0,2.18,2.14,2.14,39900,0.0,0.0
1980-07-30,0.0,2.18,2.14,2.14,15600,0.0,0.0
1980-07-31,0.0,2.14,2.06,2.06,28800,0.0,0.0
1980-08-01,0.0,2.1,2.06,2.06,33300,0.0,0.0
1980-08-04,0.0,2.1,2.02,2.02,46200,0.0,0.0
1980-08-05,0.0,2.02,1.98,1.98,21900,0.0,0.0
1980-08-06,0.0,2.06,1.98,1.98,10800,0.0,0.0
1980-08-07,0.0,2.02,1.98,1.98,18900,0.0,0.0
1980-08-08,0.0,2.1,2.06,2.06,27900,0.0,0.0
1980-08-11,0.0,2.14,2.06,2.06,5700,0.0,0.0
1980-08-12,0.0,2.14,2.06,2.06,21600,0.0,0.0
1980-08-13,0.0,2.14,2.06,2.06,16500,0.0,0.0
1980-08-14,0.0,2.18,2.14,2.14,28800,0.0,0.0
1980-08-15,0.0,2.22,2.14,2.14,7200,0.0,0.0
1980-08-18,0.0,2.18,2.14,2.14,25500,0.0,0.0
1980-08-19,0.0,2.14,2.1,2.1,104400,0.0,0.0
1980-08-20,0.0,2.26,2.18,2.18,37800,0.0,0.0
1980-08-21,0.0,2.37,2.33,2.33,95400,0.0,0.0
1980-08-22,0.0,2.49,2.45,2.45,80100,0.0,0.0
1980-08-25,0.0,2.49,2.45,2.45,72000,0.0,0.0
1980-08-26,0.0,2.53,2.45,2.45,98400,0.0,0.0
1980-08-27,0.0,2.53,2.49,2.49,60600,0.0,0.0
1980-08-28,0.0,2.57,2.49,2.49,84900,0.0,0.0
1980-08-29,0.0,2.57,2.49,2.49,43500,0.0,0.0
1980-09-02,0.0,2.57,2.53,2.53,12900,0.0,0.0
1980-09-03,0.0,2.61,2.57,2.57,48000,0.0,0.0
1980-09-04,0.0,2.57,2.49,2.49,47100,0.0,0.0
1980-09-05,0.0,2.57,2.53,2.53,16200,0.0,0.0
1980-09-08,0.0,2.57,2.53,2.53,25500,0.0,0.0
1980-09-09,0.0,2.57,2.53,2.53,92700,0.0,0.0
1980-09-10,0.0,2.57,2.53,2.53,65700,0.0,0.0
1980-09-11,0.0,2.57,2.53,2.53,11700,0.0,0.0
1980-09-12,0.0,2.57,2.53,2.53,16200,0.0,0.0
1980-09-15,0.0,2.49,2.45,2.45,27300,0.0,0.0
1980-09-16,0.0,2.53,2.49,2.49,54000,0.0,0.0
1980-09-17,0.0,2.53,2.49,2.49,6300,0.0,0.0
1980-09-18,0.0,2.53,2.49,2.49,11700,0.0,0.0
1980-09-19,0.0,2.53,2.49,2.49,11100,0.0,0.0
1980-09-22,0.0,2.53,2.49,2.49,36300,0.0,0.0
1980-09-23,0.0,2.65,2.61,2.61,117900,0.0,0.0
1980-09-24,0.0,2.69,2.65,2.65,56700,0.0,0.0
1980-09-25,0.0,2.73,2.65,2.65,20100,0.0,0.0
1980-09-26,0.0,2.65,2.61,2.61,110100,0.0,0.0
1980-09-29,0.0,2.61,2.57,2.57,39000,0.0,0.0
1980-09-30,0.0,2.61,2.57,2.57,4800,0.0,0.0
1980-10-01,0.0,2.61,2.57,2.57,3000,0.0,0.0
1980-10-02,0.0,2.61,2.57,2.57,11100,0.0,0.0
1980-10-03,0.0,2.61,2.57,2.57,9000,0.0,0.0
1980-10-06,0.0,2.57,2.53,2.53,21000,0.0,0.0
1980-10-07,0.0,2.57,2.53,2.53,18900,0.0,0.0
1980-10-08,0.0,2.61,2.53,2.53,9300,0.0,0.0
1980-10-09,0.0,2.57,2.53,2.53,11700,0.0,0.0
1980-10-10,0.0,2.61,2.53,2.53,6300,0.0,0.0
1980-10-13,0.0,2.57,2.53,2.53,19800,0.0,0.0
1980-10-14,0.0,2.61,2.53,2.53,17100,0.0,0.0
1980-10-15,0.0,2.57,2.53,2.53,47700,0.0,0.0
1980-10-16,0.0,2.53,2.49,2.49,57000,0.0,0.0
1980-10-17,0.0,2.53,2.45,2.45,4800,0.0,0.0
1980-10-20,0.0,2.53,2.45,2.45,65700,0.0,0.0
1980-10-21,0.0,2.53,2.45,2.45,24600,0.0,0.0
1980-10-22,2.45,2.45,2.45,2.45,0,0.0,0.0
1980-10-23,0.0,2.53,2.49,2.49,18000,0.0,0.0
1980-10-24,0.0,2.57,2.49,2.49,1800,0.0,0.0
1980-10-27,0.0,2.57,2.49,2.49,900,0.0,0.0
1980-10-28,0.0,2.57,2.49,2.49,8100,0.0,0.0
1980-10-29,0.0,2.57,2.53,2.53,2100,0.0,0.0
1980-10-30,0.0,2.53,2.49,2.49,44400,0.0,0.0
1980-10-31,0.0,2.49,2.41,2.41,15300,0.0,0.0
1980-11-03,0.0,2.47,2.41,2.41,4500,0.0,0.0
1980-11-05,0.0,2.45,2.37,2.37,23400,0.0,0.0
1980-11-06,0.0,2.45,2.37,2.37,1800,0.0,0.0
1980-11-07,0.0,2.41,2.33,2.33,9000,0.0,0.0
1980-11-10,0.0,2.41,2.33,2.33,2700,0.0,0.0
1980-11-11,0.0,2.45,2.41,2.41,21000,0.0,0.0
1980-11-12,0.0,2.49,2.45,2.45,48000,0.0,0.0
1980-11-13,0.0,2.49,2.41,2.41,7200,0.0,0.0
1980-11-14,0.0,2.49,2.45,2.45,99300,0.0,0.0
1980-11-17,0.0,2.53,2.45,2.45,42300,0.0,0.0
1980-11-18,0.0,2.49,2.45,2.45,12900,0.0,0.0
1980-11-19,0.0,2.45,2.41,2.41,42600,0.0,0.0
1980-11-20,0.0,2.45,2.41,2.41,28200,0.0,0.0
1980-11-21,0.0,2.49,2.41,2.41,132300,0.0,0.0
