Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-11-06,2.03,2.06,1.98,2.02,17902800,0.0,0.0
1986-11-07,2.02,2.02,1.97,2.01,6288000,0.0,0.0
1986-11-10,1.99,1.99,1.94,1.95,3060000,0.0,0.0
1986-11-11,1.95,1.98,1.95,1.98,1130000,0.0,0.0
1986-11-12,1.98,2.0,1.96,1.98,2082800,0.0,0.0
1986-11-13,1.97,1.97,1.96,1.96,891200,0.0,0.0
1986-11-14,1.96,1.98,1.95,1.98,952000,0.0,0.0
1986-11-17,1.96,1.97,1.94,1.94,1055200,0.0,0.0
1986-11-18,1.94,1.95,1.9,1.91,2426400,0.0,0.0
1986-11-19,1.91,1.91,1.87,1.88,2026000,0.0,0.0
1986-11-20,1.9,1.92,1.88,1.91,3253600,0.0,0.0
1986-11-21,1.93,1.93,1.92,1.93,639600,0.0,0.0
1986-11-24,1.93,1.93,1.92,1.92,660000,0.0,0.0
1986-11-25,1.92,1.93,1.89,1.93,1080000,0.0,0.0
1986-11-26,1.93,1.94,1.89,1.93,963200,0.0,0.0
1986-11-28,1.93,1.93,1.92,1.93,521600,0.0,0.0
1986-12-01,1.93,1.94,1.93,1.94,662000,0.0,0.0
1986-12-02,1.94,1.98,1.94,1.98,1161200,0.0,0.0
1986-12-03,1.98,2.03,1.98,2.01,1210400,0.0,0.0
1986-12-04,2.01,2.01,1.98,1.99,1446400,0.0,0.0
1986-12-05,1.98,1.99,1.97,1.97,737600,0.0,0.0
1986-12-08,1.96,1.97,1.94,1.94,703600,0.0,0.0
1986-12-09,1.94,1.95,1.94,1.94,444800,0.0,0.0
1986-12-10,1.94,1.95,1.93,1.93,902400,0.0,0.0
1986-12-11,1.94,1.95,1.9,1.93,550400,0.0,0.0
1986-12-12,1.93,1.94,1.92,1.94,356800,0.0,0.0
1986-12-15,1.93,1.94,1.92,1.93,521200,0.0,0.0
1986-12-16,1.93,1.93,1.91,1.92,835600,0.0,0.0
1986-12-17,1.92,1.92,1.91,1.91,803600,0.0,0.0
1986-12-18,1.91,1.92,1.88,1.9,1108000,0.0,0.0
1986-12-19,1.87,1.91,1.87,1.91,556000,0.0,0.0
1986-12-22,1.89,1.89,1.87,1.89,1456000,0.0,0.0
1986-12-23,1.88,1.89,1.87,1.89,574000,0.0,0.0
1986-12-24,1.93,1.93,1.87,1.88,322400,0.0,0.0
1986-12-26,1.87,1.89,1.87,1.89,486000,0.0,0.0
1986-12-29,1.88,1.88,1.86,1.88,693200,0.0,0.0
1986-12-30,1.88,1.89,1.85,1.89,910000,0.0,0.0
1986-12-31,1.87,1.93,1.87,1.93,841600,0.0,0.0
1987-01-02,1.93,1.96,1.91,1.96,264800,0.0,0.0
1987-01-05,1.96,2.01,1.96,2.0,668400,0.0,0.0
1987-01-06,1.98,2.01,1.97,2.01,554400,0.0,0.0
1987-01-07,2.0,2.06,2.0,2.06,748400,0.0,0.0
1987-01-08,2.05,2.18,2.04,2.18,596800,0.0,0.0
1987-01-09,2.17,2.23,2.13,2.2,759600,0.0,0.0
1987-01-12,2.18,2.24,2.18,2.2,1196800,0.0,0.0
1987-01-13,2.18,2.19,2.11,2.13,504800,0.0,0.0
1987-01-14,2.15,2.19,2.14,2.16,611600,0.0,0.0
1987-01-15,2.15,2.19,2.15,2.16,463200,0.0,0.0
1987-01-16,2.17,2.2,2.14,2.2,412800,0.0,0.0
1987-01-19,2.18,2.2,2.16,2.18,161600,0.0,0.0
1987-01-20,2.25,2.26,2.23,2.25,642000,0.2,0.0
1987-01-21,2.24,2.26,2.23,2.23,505200,0.0,0.0
1987-01-22,2.23,2.23,2.18,2.2,618000,0.0,0.0
1987-01-23,2.21,2.26,2.2,2.26,573200,0.0,0.0
1987-01-26,2.22,2.22,2.18,2.18,594800,0.0,0.0
1987-01-27,2.16,2.22,2.15,2.21,488400,0.0,0.0
1987-01-28,2.2,2.23,2.2,2.2,462000,0.0,0.0
