Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-15,0.19,0.19,0.19,0.19,0,0,0
2019-04-16,0.19,0.19,0.19,0.19,0,0,0
2019-04-17,0.19,0.19,0.19,0.19,0,0,0
2019-04-18,0.19,0.19,0.19,0.19,0,0,0
2019-04-22,0.19,0.19,0.19,0.19,0,0,0
2019-04-23,0.19,0.19,0.19,0.19,0,0,0
2019-04-24,0.19,0.19,0.19,0.19,0,0,0
2019-04-25,0.19,0.19,0.19,0.19,0,0,0
2019-04-26,0.19,0.19,0.19,0.19,0,0,0
2019-04-29,0.19,0.19,0.19,0.19,0,0,0
2019-04-30,0.19,0.19,0.19,0.19,0,0,0
2019-05-01,0.19,0.19,0.19,0.19,0,0,0
2019-05-02,0.19,0.19,0.19,0.19,0,0,0
2019-05-03,0.19,0.19,0.19,0.19,0,0,0
2019-05-06,0.19,0.19,0.19,0.19,0,0,0
2019-05-07,0.19,0.19,0.19,0.19,0,0,0
2019-05-08,0.19,0.19,0.19,0.19,0,0,0
2019-05-09,0.19,0.19,0.19,0.19,0,0,0
2019-05-10,0.19,0.19,0.19,0.19,0,0,0
2019-05-13,0.19,0.19,0.19,0.19,0,0,0
2019-05-14,0.19,0.19,0.19,0.19,0,0,0
2019-05-15,0.19,0.19,0.19,0.19,0,0,0
2019-05-16,0.19,0.19,0.19,0.19,0,0,0
2019-05-17,0.19,0.19,0.19,0.19,0,0,0
2019-05-20,0.19,0.19,0.19,0.19,0,0,0
2019-05-21,0.19,0.19,0.19,0.19,0,0,0
2019-05-22,0.19,0.19,0.19,0.19,0,0,0
2019-05-23,0.19,0.19,0.19,0.19,0,0,0
2019-05-24,0.19,0.19,0.19,0.19,0,0,0
2019-05-28,0.19,0.19,0.19,0.19,0,0,0
2019-05-29,0.19,0.19,0.19,0.19,0,0,0
2019-05-30,0.19,0.19,0.19,0.19,0,0,0
2019-05-31,0.19,0.19,0.19,0.19,0,0,0
2019-06-03,0.19,0.19,0.19,0.19,0,0,0
2019-06-04,0.19,0.19,0.19,0.19,0,0,0
2019-06-05,0.19,0.19,0.19,0.19,0,0,0
2019-06-06,0.19,0.19,0.19,0.19,0,0,0
2019-06-07,0.19,0.19,0.19,0.19,0,0,0
