Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-10-07,26.72,28.67,26.14,26.94,63739500,0.0,0
2009-10-08,27.05,27.16,26.23,26.32,6906700,0.0,0
2009-10-09,26.55,27.21,26.11,26.13,3361300,0.0,0
2009-10-12,27.01,27.61,25.83,25.98,7177000,0.0,0
2009-10-13,26.39,26.98,26.26,26.91,3296000,0.0,0
2009-10-14,26.97,27.95,26.72,27.7,3222400,0.0,0
2009-10-15,27.99,28.5,27.46,28.02,3181300,0.0,0
2009-10-16,28.16,28.3,27.26,28.27,3974100,0.0,0
2009-10-19,28.22,28.59,27.22,27.22,1892100,0.0,0
2009-10-20,27.22,27.81,27.07,27.77,3387000,0.0,0
2009-10-21,27.71,28.06,27.57,27.71,1079000,0.0,0
2009-10-22,27.47,28.18,27.04,27.6,1172500,0.0,0
2009-10-23,27.71,28.1,27.22,28.08,2385700,0.0,0
2009-10-26,27.54,28.3,27.47,28.16,834400,0.0,0
2009-10-27,28.24,28.95,27.64,28.26,1578700,0.0,0
2009-10-28,27.92,28.25,27.27,27.4,1153500,0.0,0
2009-10-29,27.59,27.71,27.46,27.6,563500,0.0,0
2009-10-30,27.71,27.78,27.02,27.15,819600,0.0,0
2009-11-02,27.1,27.36,26.32,27.09,978000,0.0,0
2009-11-03,27.15,27.21,26.57,27.08,696500,0.0,0
2009-11-04,27.05,27.2,26.67,26.68,461200,0.0,0
2009-11-05,26.74,27.31,26.69,27.02,470400,0.0,0
2009-11-06,26.87,27.06,26.67,26.82,310800,0.0,0
2009-11-09,26.97,27.4,26.77,27.29,615600,0.0,0
2009-11-10,26.97,27.97,26.97,27.38,287300,0.0,0
2009-11-11,27.64,28.82,27.34,28.68,1174600,0.0,0
2009-11-12,28.48,29.69,28.14,28.6,1211600,0.0,0
2009-11-13,28.48,28.78,28.21,28.6,414900,0.0,0
2009-11-16,28.45,28.71,27.96,28.55,1424300,0.0,0
2009-11-17,28.25,28.66,27.12,27.56,2496000,0.0,0
2009-11-18,28.1,28.7,27.87,28.2,730900,0.0,0
2009-11-19,28.51,28.59,27.65,28.24,1223600,0.0,0
2009-11-20,28.2,28.34,28.13,28.25,875700,0.0,0
2009-11-23,28.38,28.38,27.38,28.11,447600,0.0,0
2009-11-24,27.89,27.89,27.36,27.49,685400,0.0,0
2009-11-25,27.43,27.52,26.89,27.02,892800,0.0,0
2009-11-27,26.68,26.9,26.38,26.71,264600,0.0,0
2009-11-30,27.06,27.12,26.45,26.63,888700,0.0,0
2009-12-01,26.63,27.76,26.63,27.49,617200,0.0,0
2009-12-02,27.47,27.52,27.07,27.22,820900,0.0,0
2009-12-03,27.52,27.65,27.21,27.43,491800,0.0,0
2009-12-04,27.56,28.15,27.56,28.14,535500,0.0,0
2009-12-07,27.91,28.68,27.65,28.44,361500,0.0,0
2009-12-08,28.12,28.62,27.61,28.31,398200,0.0,0
2009-12-09,28.04,28.4,27.89,28.35,449600,0.0,0
2009-12-10,28.27,28.4,27.84,28.11,435200,0.0,0
2009-12-11,27.73,28.51,27.71,28.36,590700,0.0,0
2009-12-14,28.26,28.74,28.26,28.69,502300,0.0,0
2009-12-15,28.63,29.16,28.47,29.0,891900,0.0,0
2009-12-16,28.97,30.65,28.85,30.08,1572400,0.0,0
2009-12-17,29.94,30.32,29.69,30.08,929200,0.0,0
2009-12-18,30.07,30.68,29.42,30.24,8298500,0.0,0
2009-12-21,30.46,30.46,29.58,30.18,885900,0.0,0
2009-12-22,30.03,30.53,29.79,30.26,420900,0.0,0
2009-12-23,30.36,30.62,29.9,30.36,845700,0.0,0
2009-12-24,30.47,30.86,30.36,30.48,170800,0.0,0
2009-12-28,30.57,30.8,30.3,30.64,250100,0.0,0
2009-12-29,30.6,30.82,30.38,30.68,283400,0.0,0
2009-12-30,30.59,30.68,30.13,30.68,175200,0.0,0
2009-12-31,30.54,30.68,29.9,29.97,154600,0.0,0
2010-01-04,30.09,30.18,29.36,29.54,390000,0.0,0
2010-01-05,29.54,29.76,29.18,29.74,430000,0.0,0
2010-01-06,29.69,30.55,29.69,30.12,848900,0.0,0
2010-01-07,30.05,30.36,29.49,30.08,426600,0.0,0
2010-01-08,29.9,29.96,29.67,29.69,253200,0.0,0
2010-01-11,29.72,29.8,29.44,29.62,676500,0.0,0
2010-01-12,29.68,30.07,29.53,29.85,742000,0.0,0
2010-01-13,29.79,29.98,29.79,29.84,394400,0.0,0
2010-01-14,29.78,29.79,29.58,29.6,301100,0.0,0
2010-01-15,29.46,29.61,28.36,28.65,766000,0.0,0
2010-01-19,28.54,28.54,27.52,27.66,1531700,0.0,0
2010-01-20,27.52,27.81,27.4,27.7,957600,0.0,0
2010-01-21,27.7,28.11,27.62,27.75,681800,0.0,0
2010-01-22,27.91,28.08,27.64,27.72,595600,0.0,0
2010-01-25,27.69,27.95,27.62,27.66,256500,0.0,0
2010-01-26,27.54,28.45,27.54,28.06,302600,0.0,0
2010-01-27,27.94,28.94,27.72,28.6,475200,0.0,0
2010-01-28,28.45,28.73,28.27,28.47,495200,0.0,0
2010-01-29,28.53,28.6,27.71,27.83,389800,0.0,0
2010-02-01,27.92,28.17,27.91,28.12,400800,0.0,0
2010-02-02,28.1,28.29,27.61,27.67,536200,0.0,0
2010-02-03,27.67,27.84,27.61,27.7,309300,0.0,0
2010-02-04,27.64,27.65,27.42,27.46,617700,0.0,0
2010-02-05,27.46,27.53,26.37,27.41,645500,0.0,0
2010-02-08,27.44,27.62,27.1,27.34,632500,0.0,0
2010-02-09,27.29,27.81,27.29,27.55,1451000,0.0,0
2010-02-10,27.67,27.8,27.22,27.55,496600,0.0,0
2010-02-11,27.41,27.89,27.41,27.73,346900,0.0,0
2010-02-12,27.42,28.1,27.24,28.02,875600,0.0,0
2010-02-16,27.81,28.12,27.66,27.96,213500,0.0,0
2010-02-17,27.78,28.01,27.56,27.65,456100,0.0,0
2010-02-18,27.48,27.81,27.37,27.71,613800,0.0,0
2010-02-19,27.54,27.94,27.54,27.72,152500,0.0,0
2010-02-22,27.71,28.13,27.6,27.95,290500,0.0,0
2010-02-23,28.13,28.13,27.53,27.72,390400,0.0,0
2010-02-24,27.7,27.71,27.59,27.67,263000,0.0,0
2010-02-25,27.54,27.77,27.54,27.69,328900,0.0,0
2010-02-26,27.79,28.01,27.67,28.01,632800,0.0,0
2010-03-01,28.17,28.44,27.93,28.11,321800,0.0,0
2010-03-02,28.11,28.35,27.5,27.73,468000,0.0,0
2010-03-03,27.65,27.84,27.09,27.34,663200,0.0,0
2010-03-04,27.28,27.65,26.77,26.96,294700,0.0,0
2010-03-05,26.99,27.29,26.98,27.1,716400,0.0,0
2010-03-08,26.96,29.05,26.89,28.73,680100,0.0,0
2010-03-09,28.47,28.62,27.68,28.16,706800,0.0,0
2010-03-10,28.06,28.49,28.06,28.23,413000,0.0,0
2010-03-11,28.29,28.3,27.71,27.9,479100,0.0,0
2010-03-12,28.14,28.41,27.71,27.91,537800,0.0,0
2010-03-15,27.78,27.9,27.6,27.81,463300,0.0,0
2010-03-16,27.77,27.86,27.69,27.76,623800,0.0,0
2010-03-17,27.86,27.86,27.71,27.72,415200,0.0,0
2010-03-18,27.72,28.2,27.71,28.08,232800,0.0,0
2010-03-19,28.0,28.23,27.49,28.0,462000,0.0,0
2010-03-22,27.93,28.47,27.85,27.91,253800,0.0,0
2010-03-23,27.76,28.13,27.52,27.71,341500,0.0,0
2010-03-24,27.71,27.97,27.53,27.73,628600,0.0,0
2010-03-25,27.78,28.15,27.63,27.71,230300,0.0,0
2010-03-26,27.73,27.84,27.68,27.78,314300,0.0,0
2010-03-29,27.77,27.94,27.46,27.71,317000,0.0,0
2010-03-30,27.82,27.93,27.55,27.62,732900,0.0,0
2010-03-31,27.64,28.07,27.64,27.91,480200,0.0,0
2010-04-01,27.96,28.13,27.58,27.7,537000,0.0,0
2010-04-05,27.39,27.77,27.24,27.6,406400,0.0,0
2010-04-06,27.43,27.9,27.3,27.87,543700,0.0,0
2010-04-07,27.73,27.89,27.23,27.52,548500,0.0,0
2010-04-08,27.37,27.64,27.23,27.36,318300,0.0,0
2010-04-09,27.52,27.8,27.35,27.69,411400,0.0,0
2010-04-12,27.59,28.0,27.48,27.75,181300,0.0,0
2010-04-13,27.71,28.05,27.7,27.78,938700,0.0,0
2010-04-14,27.73,28.34,27.73,28.26,1019800,0.0,0
2010-04-15,28.1,28.22,27.84,27.9,438900,0.0,0
2010-04-16,27.77,27.91,27.71,27.73,356700,0.0,0
2010-04-19,27.73,28.19,27.61,27.95,295500,0.0,0
2010-04-20,28.04,28.43,27.9,28.0,177100,0.0,0
2010-04-21,28.07,28.3,27.71,27.87,406100,0.0,0
2010-04-22,27.72,28.07,27.71,27.91,225800,0.0,0
2010-04-23,27.79,28.1,27.77,28.02,211700,0.0,0
2010-04-26,27.92,28.34,27.92,28.26,344800,0.0,0
2010-04-27,28.23,28.3,28.0,28.21,221200,0.0,0
2010-04-28,28.04,28.04,27.46,27.51,518600,0.0,0
2010-04-29,27.57,27.78,27.4,27.74,532000,0.0,0
2010-04-30,27.63,28.43,27.63,27.73,269600,0.0,0
2010-05-03,27.61,27.95,27.5,27.86,530400,0.0,0
2010-05-04,27.73,28.17,27.65,28.06,471600,0.0,0
2010-05-05,27.79,28.26,27.71,28.01,423100,0.0,0
2010-05-06,27.91,28.16,27.49,27.7,604500,0.0,0
2010-05-07,27.49,27.94,27.18,27.43,1907800,0.0,0
2010-05-10,28.18,28.19,27.36,27.54,889100,0.0,0
2010-05-11,27.38,28.21,27.27,28.17,584200,0.0,0
2010-05-12,28.55,30.01,28.03,29.61,2098900,0.0,0
2010-05-13,29.35,31.15,29.24,29.99,1505400,0.0,0
2010-05-14,29.87,30.62,29.79,30.51,1102700,0.0,0
2010-05-17,30.46,31.42,30.21,30.43,1406200,0.0,0
2010-05-18,30.48,30.83,29.8,29.99,1480700,0.0,0
2010-05-19,29.73,30.17,29.29,29.68,735000,0.0,0
2010-05-20,29.16,29.97,28.67,28.94,572200,0.0,0
2010-05-21,28.58,28.96,28.17,28.71,1018600,0.0,0
2010-05-24,28.51,29.42,28.51,28.93,964300,0.0,0
2010-05-25,28.32,29.42,28.13,29.42,1114400,0.0,0
2010-05-26,29.74,29.9,28.71,28.95,4949700,0.0,0
2010-05-27,29.14,29.62,29.02,29.45,736200,0.0,0
2010-05-28,29.27,30.08,29.27,29.94,515900,0.0,0
2010-06-01,30.02,30.16,29.3,29.39,673000,0.0,0
2010-06-02,29.26,29.95,28.95,29.95,757500,0.0,0
2010-06-03,29.79,30.48,29.74,30.39,667300,0.0,0
2010-06-04,29.97,30.18,29.6,29.71,896100,0.0,0
2010-06-07,29.76,30.26,29.25,29.27,692100,0.0,0
2010-06-08,29.18,29.42,29.02,29.27,935700,0.0,0
2010-06-09,29.5,29.68,28.55,28.65,791200,0.0,0
2010-06-10,28.91,29.23,28.52,29.16,640900,0.0,0
2010-06-11,28.9,29.3,28.9,29.24,234800,0.0,0
2010-06-14,29.34,30.2,29.25,30.08,424700,0.0,0
2010-06-15,30.18,30.34,29.35,30.21,688400,0.0,0
2010-06-16,30.03,30.15,29.81,29.91,390900,0.0,0
2010-06-17,30.09,30.28,29.88,30.04,279900,0.0,0
2010-06-18,30.08,30.18,29.89,30.08,332800,0.0,0
2010-06-21,30.18,30.28,29.58,29.66,223700,0.0,0
2010-06-22,29.83,30.46,29.83,30.34,797600,0.0,0
2010-06-23,30.18,30.25,29.7,30.06,468900,0.0,0
2010-06-24,30.01,30.16,29.79,29.81,211500,0.0,0
2010-06-25,29.8,30.61,29.8,30.61,1496400,0.0,0
2010-06-28,30.49,30.79,30.24,30.5,634400,0.0,0
2010-06-29,30.08,30.44,29.33,29.39,295400,0.0,0
2010-06-30,29.28,30.2,29.19,29.59,503400,0.0,0
2010-07-01,29.64,30.03,29.29,29.89,664000,0.0,0
2010-07-02,30.14,30.4,29.62,29.82,386100,0.0,0
2010-07-06,30.04,30.04,29.45,29.74,471900,0.0,0
2010-07-07,29.74,29.74,29.05,29.27,344400,0.0,0
2010-07-08,29.27,29.39,29.1,29.11,393900,0.0,0
2010-07-09,29.06,29.47,28.81,29.07,335200,0.0,0
2010-07-12,28.92,29.49,28.85,28.89,358900,0.0,0
2010-07-13,29.11,29.11,28.51,28.91,860900,0.0,0
2010-07-14,28.95,29.08,28.67,29.01,500900,0.0,0
2010-07-15,28.93,29.15,28.64,28.7,427700,0.0,0
2010-07-16,28.6,28.95,28.45,28.55,483600,0.0,0
2010-07-19,28.5,28.75,28.34,28.45,402400,0.0,0
2010-07-20,28.22,28.56,28.13,28.5,396300,0.0,0
2010-07-21,28.55,28.97,28.12,28.23,749400,0.0,0
2010-07-22,28.37,28.58,28.33,28.49,170900,0.0,0
2010-07-23,28.58,29.29,28.56,29.14,359400,0.0,0
2010-07-26,29.19,29.84,28.83,29.67,325700,0.0,0
2010-07-27,29.69,29.78,29.19,29.29,187700,0.0,0
2010-07-28,29.12,29.37,28.69,28.82,270300,0.0,0
2010-07-29,28.9,29.29,28.64,28.84,150100,0.0,0
2010-07-30,28.63,29.52,28.45,29.38,277800,0.0,0
2010-08-02,29.7,29.76,28.97,29.09,374000,0.0,0
2010-08-03,29.11,29.27,28.46,28.52,291200,0.0,0
2010-08-04,28.55,29.22,28.55,29.12,126200,0.0,0
2010-08-05,28.45,28.66,27.51,28.3,829900,0.0,0
2010-08-06,28.1,28.7,27.51,28.2,1452300,0.0,0
2010-08-09,28.2,28.38,28.13,28.17,331500,0.0,0
2010-08-10,27.93,28.24,27.74,28.13,320700,0.0,0
2010-08-11,27.81,29.99,27.73,28.08,675100,0.0,0
2010-08-12,27.73,28.69,27.71,28.05,375100,0.0,0
2010-08-13,27.88,28.08,27.87,28.02,265600,0.0,0
2010-08-16,27.85,28.36,27.71,27.91,517800,0.0,0
2010-08-17,27.96,28.2,27.71,28.11,312200,0.0,0
2010-08-18,27.98,28.18,27.71,27.9,276500,0.0,0
2010-08-19,27.89,28.11,27.68,28.03,290500,0.0,0
2010-08-20,27.89,28.2,27.78,28.17,296600,0.0,0
2010-08-23,28.17,28.2,27.52,27.67,204200,0.0,0
2010-08-24,27.71,28.04,27.71,27.71,230100,0.0,0
2010-08-25,27.58,27.93,27.41,27.48,365000,0.0,0
2010-08-26,27.41,27.63,27.12,27.31,251700,0.0,0
2010-08-27,27.31,28.0,27.14,27.63,329200,0.0,0
2010-08-30,27.38,27.93,27.38,27.46,227700,0.0,0
2010-08-31,27.41,27.78,27.14,27.53,579200,0.0,0
2010-09-01,27.54,27.96,27.53,27.85,738300,0.0,0
2010-09-02,27.75,28.19,27.71,28.08,400800,0.0,0
2010-09-03,28.14,28.14,27.84,27.86,318900,0.0,0
2010-09-07,27.76,28.09,27.52,27.57,320800,0.0,0
2010-09-08,27.55,27.73,27.24,27.27,249300,0.0,0
2010-09-09,27.39,27.7,27.39,27.51,306900,0.0,0
2010-09-10,27.41,28.14,27.37,27.56,324500,0.0,0
2010-09-13,27.51,27.9,27.44,27.71,326300,0.0,0
2010-09-14,27.57,27.82,27.47,27.54,229400,0.0,0
2010-09-15,27.4,28.45,27.12,28.13,708600,0.0,0
2010-09-16,28.02,28.02,27.51,27.55,518700,0.0,0
2010-09-17,28.14,28.14,27.58,27.71,747900,0.0,0
2010-09-20,27.71,27.96,27.69,27.9,254800,0.0,0
2010-09-21,27.81,27.82,27.66,27.72,190500,0.0,0
2010-09-22,27.76,28.3,27.71,28.17,244000,0.0,0
2010-09-23,27.65,28.16,27.22,28.02,492600,0.0,0
2010-09-24,28.14,28.45,27.69,28.1,798400,0.0,0
2010-09-27,27.71,28.16,27.17,27.25,817200,0.0,0
2010-09-28,27.27,27.4,26.76,26.97,9182900,0.0,0
2010-09-29,26.97,27.64,26.95,27.58,1551000,0.0,0
2010-09-30,27.55,27.89,27.34,27.72,1256500,0.0,0
2010-10-01,27.45,28.44,26.85,28.03,1222000,0.0,0
2010-10-04,28.01,28.13,27.7,27.79,947300,0.0,0
2010-10-05,27.75,27.96,27.31,27.41,1961400,0.0,0
2010-10-06,27.38,27.72,27.25,27.63,359400,0.0,0
2010-10-07,27.7,27.7,27.29,27.35,422700,0.0,0
2010-10-08,27.44,27.76,27.22,27.71,518900,0.0,0
2010-10-11,27.63,27.96,27.48,27.91,439000,0.0,0
2010-10-12,28.26,28.39,27.82,28.33,785500,0.0,0
2010-10-13,28.44,28.45,27.97,28.11,824600,0.0,0
2010-10-14,27.97,28.37,27.82,28.32,1269900,0.0,0
2010-10-15,28.37,28.68,28.13,28.58,551000,0.0,0
2010-10-18,28.7,29.27,28.65,29.22,676100,0.0,0
2010-10-19,29.0,29.43,28.4,29.18,1110100,0.0,0
2010-10-20,29.19,29.42,29.19,29.36,567500,0.0,0
2010-10-21,29.37,29.47,28.67,29.02,1037000,0.0,0
2010-10-22,28.94,29.57,28.68,29.5,447300,0.0,0
2010-10-25,29.62,29.66,29.34,29.46,360300,0.0,0
2010-10-26,29.65,29.69,29.5,29.69,531500,0.0,0
2010-10-27,29.56,29.69,29.37,29.58,672700,0.0,0
2010-10-28,29.59,29.61,29.12,29.28,457600,0.0,0
2010-10-29,29.15,29.58,28.52,29.5,568000,0.0,0
2010-11-01,29.49,29.49,29.01,29.39,607900,0.0,0
2010-11-02,29.36,29.36,28.98,29.04,604300,0.0,0
2010-11-03,28.91,29.21,28.84,29.09,465100,0.0,0
2010-11-04,29.56,30.36,29.46,30.19,2804500,0.0,0
2010-11-05,30.31,30.48,29.89,29.96,852200,0.0,0
2010-11-08,29.85,30.16,29.76,29.79,1408100,0.0,0
2010-11-09,29.91,30.05,29.63,29.68,786000,0.0,0
2010-11-10,29.61,30.21,29.61,30.21,734200,0.0,0
2010-11-11,29.98,30.08,29.67,29.78,322300,0.0,0
2010-11-12,29.82,30.03,29.66,29.67,271400,0.0,0
2010-11-15,29.63,30.23,29.54,29.8,242000,0.0,0
2010-11-16,29.84,30.09,29.7,30.08,582600,0.0,0
2010-11-17,30.05,30.28,29.98,30.23,438700,0.0,0
2010-11-18,30.36,30.72,30.33,30.68,528100,0.0,0
2010-11-19,30.68,30.78,30.25,30.41,1999200,0.0,0
2010-11-22,30.32,30.63,30.1,30.57,1020100,0.0,0
2010-11-23,30.38,30.48,30.13,30.13,320100,0.0,0
2010-11-24,30.28,30.42,30.16,30.27,416900,0.0,0
2010-11-26,30.08,30.24,29.59,30.14,158200,0.0,0
2010-11-29,29.99,29.99,29.66,29.77,1118200,0.0,0
2010-11-30,29.49,30.07,29.49,29.96,1028600,0.0,0
2010-12-01,30.13,30.72,30.0,30.57,596600,0.0,0
2010-12-02,30.51,30.78,30.51,30.65,424200,0.0,0
2010-12-03,30.72,31.63,30.63,31.24,1048300,0.0,0
2010-12-06,31.18,31.69,30.76,31.59,648000,0.0,0
2010-12-07,31.87,32.56,30.89,32.17,689400,0.0,0
2010-12-08,32.35,33.21,32.14,32.95,942600,0.0,0
2010-12-09,33.15,33.15,32.97,33.06,867500,0.0,0
2010-12-10,33.07,33.07,31.94,32.66,748600,0.0,0
2010-12-13,32.85,32.91,32.52,32.63,308800,0.0,0
2010-12-14,32.53,32.94,32.5,32.85,707500,0.0,0
2010-12-15,32.9,32.98,32.79,32.85,758500,0.0,0
2010-12-16,31.82,33.18,31.82,33.16,871200,0.0,0
2010-12-17,33.01,33.86,32.97,33.58,864100,0.0,0
2010-12-20,33.58,34.22,33.38,34.05,464200,0.0,0
2010-12-21,34.04,34.3,33.93,34.08,747100,0.0,0
2010-12-22,33.94,34.14,33.92,34.09,304100,0.0,0
2010-12-23,33.98,34.14,33.7,33.85,499300,0.0,0
2010-12-27,33.77,34.28,33.58,34.24,224800,0.0,0
2010-12-28,34.13,34.22,33.87,33.95,204900,0.0,0
2010-12-29,33.88,34.1,33.79,34.0,253500,0.0,0
2010-12-30,34.02,34.5,33.89,34.03,333200,0.0,0
2010-12-31,33.9,34.08,33.65,33.73,395600,0.0,0
2011-01-03,33.78,34.99,33.78,34.11,926000,0.0,0
2011-01-04,34.08,34.39,33.7,33.91,509100,0.0,0
2011-01-05,33.67,34.06,33.65,33.96,469200,0.0,0
2011-01-06,34.14,34.14,33.89,33.98,436000,0.0,0
2011-01-07,34.06,34.12,33.85,33.89,275500,0.0,0
2011-01-10,33.85,34.03,33.69,33.93,349200,0.0,0
2011-01-11,33.96,34.01,33.46,33.59,479200,0.0,0
2011-01-12,33.65,33.85,33.46,33.75,816900,0.0,0
2011-01-13,33.69,33.69,33.45,33.65,326400,0.0,0
2011-01-14,33.56,33.8,33.33,33.38,819000,0.0,0
2011-01-18,33.28,33.59,33.13,33.24,512100,0.0,0
2011-01-19,33.28,33.45,33.02,33.23,759000,0.0,0
2011-01-20,33.06,33.19,32.89,33.06,483200,0.0,0
2011-01-21,33.15,33.3,32.77,33.01,434700,0.0,0
2011-01-24,32.96,33.63,32.96,33.49,450100,0.0,0
2011-01-25,33.35,33.81,33.3,33.78,739800,0.0,0
2011-01-26,33.88,33.95,33.64,33.71,570800,0.0,0
2011-01-27,33.64,33.94,33.54,33.87,586600,0.0,0
2011-01-28,33.83,33.89,33.29,33.4,495200,0.0,0
2011-01-31,33.35,33.72,33.17,33.48,329300,0.0,0
2011-02-01,33.7,34.06,33.55,33.83,899300,0.0,0
2011-02-02,33.72,33.92,33.5,33.53,279000,0.0,0
2011-02-03,33.53,33.66,33.45,33.5,411200,0.0,0
2011-02-04,33.45,33.66,33.39,33.41,274400,0.0,0
2011-02-07,33.54,33.7,33.34,33.55,657000,0.0,0
2011-02-08,33.5,33.65,33.39,33.42,299100,0.0,0
2011-02-09,33.35,33.64,33.34,33.55,295200,0.0,0
2011-02-10,33.52,33.59,33.35,33.41,635300,0.0,0
2011-02-11,33.56,33.69,33.21,33.51,756500,0.0,0
2011-02-14,33.45,33.55,33.23,33.5,361200,0.0,0
2011-02-15,33.4,33.6,33.37,33.38,298100,0.0,0
2011-02-16,33.45,33.55,33.32,33.4,470200,0.0,0
2011-02-17,33.37,33.47,32.96,33.08,1374000,0.0,0
2011-02-18,32.94,33.5,32.94,33.43,406100,0.0,0
2011-02-22,33.11,33.39,32.83,32.85,679700,0.0,0
2011-02-23,32.82,32.88,32.11,32.23,474500,0.0,0
2011-02-24,32.14,32.3,31.97,32.1,711100,0.0,0
2011-02-25,32.21,32.41,32.02,32.15,1195800,0.0,0
2011-02-28,32.29,32.32,31.88,32.01,2232300,0.0,0
2011-03-01,31.78,32.34,30.57,30.7,6824300,0.0,0
2011-03-02,30.57,31.1,30.44,30.99,2371000,0.0,0
2011-03-03,31.23,31.46,30.79,30.98,1253300,0.0,0
2011-03-04,30.97,31.27,30.72,30.85,954200,0.0,0
2011-03-07,30.79,31.67,30.79,31.62,1710800,0.0,0
2011-03-08,31.6,32.07,31.39,31.97,830300,0.0,0
2011-03-09,31.84,32.35,31.77,32.07,719700,0.0,0
2011-03-10,31.84,32.06,31.61,31.68,879300,0.0,0
2011-03-11,31.59,31.95,31.33,31.87,490500,0.0,0
2011-03-14,31.61,31.68,31.17,31.43,399000,0.0,0
2011-03-15,30.81,31.46,30.8,31.4,761000,0.0,0
2011-03-16,31.28,31.52,30.88,30.91,714500,0.0,0
2011-03-17,31.36,31.43,30.64,30.65,861500,0.0,0
2011-03-18,31.03,31.41,30.86,31.29,795100,0.0,0
2011-03-21,31.44,31.82,31.27,31.58,431700,0.0,0
2011-03-22,31.48,31.54,31.26,31.38,632000,0.0,0
2011-03-23,31.28,31.63,31.07,31.62,704800,0.0,0
2011-03-24,31.62,32.52,31.58,32.15,1027700,0.0,0
2011-03-25,32.05,32.37,31.95,32.06,620200,0.0,0
2011-03-28,32.06,32.08,31.84,31.89,347500,0.0,0
2011-03-29,31.95,32.37,31.7,32.37,543000,0.0,0
2011-03-30,32.41,32.52,32.27,32.43,428900,0.0,0
2011-03-31,32.35,32.43,32.13,32.42,649400,0.0,0
2011-04-01,32.28,32.95,32.22,32.95,877400,0.0,0
2011-04-04,32.88,33.0,32.66,32.79,420900,0.0,0
2011-04-05,32.81,33.16,32.76,33.11,345200,0.0,0
2011-04-06,33.26,33.35,33.08,33.1,450500,0.0,0
2011-04-07,33.0,33.09,32.54,32.66,421200,0.0,0
2011-04-08,32.68,32.77,32.08,32.27,307700,0.0,0
2011-04-11,32.2,32.26,31.91,32.2,673000,0.0,0
2011-04-12,32.12,32.28,32.02,32.28,435000,0.0,0
2011-04-13,32.56,33.04,32.31,32.8,958900,0.0,0
2011-04-14,32.56,33.07,32.28,32.99,437000,0.0,0
2011-04-15,33.15,33.19,32.63,32.74,361100,0.0,0
2011-04-18,32.56,32.78,32.19,32.66,452800,0.0,0
2011-04-19,32.88,33.16,32.51,32.64,842800,0.0,0
2011-04-20,32.8,32.85,32.55,32.63,526800,0.0,0
2011-04-21,32.68,32.75,32.46,32.68,719600,0.0,0
2011-04-25,32.77,32.88,32.64,32.82,496800,0.0,0
2011-04-26,33.06,33.16,32.89,33.1,934400,0.0,0
2011-04-27,33.29,33.29,32.66,32.75,1043600,0.0,0
