Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-05-05,6.91,7.04,6.89,7.0,907000,0.0,0.0
1997-05-06,7.02,7.06,6.98,7.02,536600,0.0,0.0
1997-05-07,6.53,6.65,6.42,6.51,747300,0.0,0.0
1997-05-08,6.45,6.57,6.04,6.16,2761400,0.0,0.0
1997-05-09,6.12,6.28,6.12,6.16,880900,0.0,0.0
1997-05-12,6.16,6.28,6.12,6.16,501600,0.0,0.0
1997-05-13,6.12,6.2,6.12,6.12,420600,0.0,0.0
1997-05-14,6.2,6.28,6.2,6.24,391900,0.0,0.0
1997-05-15,6.24,6.4,6.24,6.4,580000,0.0,0.0
1997-05-16,6.36,6.45,6.32,6.32,189800,0.0,0.0
1997-05-19,6.32,6.4,6.32,6.4,728400,0.0,0.0
1997-05-20,6.36,6.49,6.36,6.49,201000,0.0,0.0
1997-05-21,6.49,6.53,6.45,6.53,322000,0.0,0.0
1997-05-22,6.57,6.57,6.47,6.53,625400,0.0,0.0
1997-05-23,6.55,6.65,6.53,6.57,216400,0.0,0.0
1997-05-27,6.61,6.65,6.57,6.61,212000,0.0,0.0
1997-05-28,6.61,6.65,6.61,6.63,183500,0.0,0.0
1997-05-29,6.61,6.65,6.57,6.61,192100,0.0,0.0
1997-05-30,6.49,6.65,6.45,6.65,188900,0.0,0.0
1997-06-02,6.69,6.85,6.65,6.85,260700,0.0,0.0
1997-06-03,6.85,6.98,6.81,6.93,590000,0.0,0.0
1997-06-04,6.93,6.93,6.85,6.85,350900,0.0,0.0
1997-06-05,6.85,6.98,6.85,6.98,338300,0.0,0.0
1997-06-06,6.96,7.08,6.96,7.04,482600,0.0,0.0
1997-06-09,7.02,7.14,7.02,7.14,149300,0.0,0.0
1997-06-10,7.14,7.22,7.1,7.14,475300,0.0,0.0
1997-06-11,7.14,7.14,6.93,6.93,287900,0.0,0.0
1997-06-12,6.89,6.93,6.81,6.85,380500,0.0,0.0
1997-06-13,6.93,6.98,6.85,6.89,508700,0.0,0.0
1997-06-16,6.93,6.93,6.81,6.81,285100,0.0,0.0
1997-06-17,6.75,6.81,6.73,6.81,708000,0.0,0.0
1997-06-18,6.83,6.91,6.79,6.83,418700,0.0,0.0
1997-06-19,6.85,7.18,6.85,7.14,223100,0.0,0.0
1997-06-20,7.26,7.26,7.1,7.14,632400,0.0,0.0
1997-06-23,7.18,7.34,7.14,7.22,315400,0.0,0.0
1997-06-24,7.22,7.3,7.08,7.08,487400,0.0,0.0
1997-06-25,7.08,7.1,6.92,7.02,232900,0.0,0.0
1997-06-26,7.06,7.08,6.93,7.0,141500,0.0,0.0
1997-06-27,6.98,7.0,6.89,6.89,97700,0.0,0.0
1997-06-30,6.87,7.1,6.87,6.89,275600,0.0,0.0
1997-07-01,6.93,7.2,6.93,7.14,174900,0.0,0.0
1997-07-02,6.89,7.02,6.89,7.02,275300,0.0,0.0
1997-07-03,7.02,7.02,6.93,6.96,212900,0.0,0.0
1997-07-07,6.98,7.02,6.93,6.98,419100,0.0,0.0
1997-07-08,6.98,6.98,6.85,6.85,222000,0.0,0.0
1997-07-09,7.02,7.02,6.77,6.77,340600,0.0,0.0
1997-07-10,6.83,6.96,6.75,6.96,513300,0.0,0.0
1997-07-11,6.96,6.98,6.89,6.93,306300,0.0,0.0
1997-07-14,6.93,6.96,6.88,6.9,206300,0.0,0.0
1997-07-15,6.88,6.98,6.88,6.93,188400,0.0,0.0
1997-07-16,6.85,7.02,6.85,6.88,189800,0.0,0.0
1997-07-17,6.88,6.89,6.71,6.82,322700,0.0,0.0
1997-07-18,6.85,6.87,6.57,6.7,228200,0.0,0.0
1997-07-21,6.69,6.69,6.45,6.49,623400,0.0,0.0
1997-07-22,6.49,6.57,6.47,6.57,777900,0.0,0.0
1997-07-23,6.61,7.06,6.61,7.02,958500,0.0,0.0
1997-07-24,7.02,7.02,6.71,6.87,373500,0.0,0.0
1997-07-25,6.85,6.91,6.79,6.87,178800,0.0,0.0
1997-07-28,6.83,6.85,6.75,6.75,103600,0.0,0.0
1997-07-29,6.75,6.75,6.55,6.57,246400,0.0,0.0
1997-07-30,6.57,6.73,6.57,6.73,658100,0.0,0.0
1997-07-31,6.73,6.75,6.53,6.57,194000,0.0,0.0
1997-08-01,6.59,6.59,6.4,6.45,209400,0.0,0.0
1997-08-04,6.45,6.47,6.28,6.38,424700,0.0,0.0
1997-08-05,6.38,6.42,6.2,6.38,737600,0.0,0.0
1997-08-06,6.38,6.53,6.38,6.47,406300,0.0,0.0
1997-08-07,6.49,6.49,6.26,6.32,704200,0.0,0.0
1997-08-08,6.32,6.47,6.3,6.42,319900,0.0,0.0
1997-08-11,6.4,6.47,6.38,6.45,852700,0.0,0.0
1997-08-12,6.45,6.47,6.34,6.34,801000,0.0,0.0
1997-08-13,6.36,6.38,6.28,6.3,379100,0.0,0.0
1997-08-14,6.28,6.32,6.28,6.32,190500,0.0,0.0
1997-08-15,6.32,6.38,6.28,6.28,123200,0.0,0.0
1997-08-18,6.3,6.3,6.1,6.22,387400,0.0,0.0
1997-08-19,6.26,6.45,6.22,6.28,629800,0.0,0.0
1997-08-20,6.4,6.53,6.34,6.53,231500,0.0,0.0
1997-08-21,6.53,6.55,6.4,6.45,212000,0.0,0.0
1997-08-22,6.47,6.47,6.42,6.47,174600,0.0,0.0
1997-08-25,6.51,6.57,6.49,6.55,363500,0.0,0.0
1997-08-26,6.53,6.57,6.51,6.53,120100,0.0,0.0
1997-08-27,6.53,6.56,6.52,6.55,246200,0.0,0.0
1997-08-28,6.53,6.57,6.51,6.55,269300,0.0,0.0
1997-08-29,6.55,6.57,6.55,6.55,311900,0.0,0.0
1997-09-02,6.59,6.75,6.59,6.75,418200,0.0,0.0
1997-09-03,6.77,6.87,6.77,6.81,508900,0.0,0.0
1997-09-04,6.79,6.83,6.73,6.75,177700,0.0,0.0
1997-09-05,6.79,6.87,6.79,6.85,218200,0.0,0.0
1997-09-08,6.83,6.85,6.81,6.85,177500,0.0,0.0
1997-09-09,6.85,6.93,6.85,6.89,118700,0.0,0.0
1997-09-10,6.83,7.01,6.83,6.92,439200,0.0,0.0
1997-09-11,6.91,6.93,6.84,6.87,204500,0.0,0.0
1997-09-12,6.89,7.02,6.87,7.02,289800,0.0,0.0
1997-09-15,7.0,7.1,6.99,7.04,276500,0.0,0.0
1997-09-16,7.06,7.08,7.04,7.07,295400,0.0,0.0
1997-09-17,7.07,7.24,7.07,7.23,465100,0.0,0.0
1997-09-18,7.23,7.24,6.93,6.99,427300,0.0,0.0
1997-09-19,7.01,7.18,6.99,7.17,264200,0.0,0.0
1997-09-22,7.17,7.22,7.1,7.2,300100,0.0,0.0
1997-09-23,7.2,7.2,6.93,6.96,178100,0.0,0.0
1997-09-24,6.81,6.83,6.55,6.64,936800,0.0,0.0
1997-09-25,6.65,6.65,6.35,6.36,2000400,0.0,0.0
1997-09-26,6.4,6.47,6.4,6.4,653400,0.0,0.0
1997-09-29,6.42,6.63,6.34,6.63,710300,0.0,0.0
1997-09-30,6.59,6.73,6.53,6.73,278600,0.0,0.0
1997-10-01,6.81,6.81,6.71,6.74,155300,0.0,0.0
1997-10-02,6.75,6.76,6.65,6.72,282800,0.0,0.0
1997-10-03,6.74,6.89,6.72,6.74,420500,0.0,0.0
1997-10-06,6.76,6.83,6.71,6.75,115200,0.0,0.0
1997-10-07,6.73,6.89,6.7,6.87,508000,0.0,0.0
1997-10-08,6.89,6.93,6.75,6.78,261400,0.0,0.0
1997-10-09,6.78,6.85,6.72,6.75,779100,0.0,0.0
1997-10-10,6.83,6.91,6.79,6.89,772000,0.0,0.0
1997-10-13,6.87,6.99,6.87,6.99,336200,0.0,0.0
1997-10-14,7.04,7.07,7.02,7.03,338100,0.0,0.0
1997-10-15,7.0,7.02,6.94,7.02,91700,0.0,0.0
1997-10-16,7.02,7.02,6.87,6.9,134600,0.0,0.0
1997-10-17,6.9,6.9,6.73,6.81,339000,0.0,0.0
1997-10-20,6.85,6.92,6.83,6.87,174000,0.0,0.0
1997-10-21,6.87,6.97,6.87,6.96,165800,0.0,0.0
1997-10-22,5.3,5.33,4.9,4.98,12258300,0.0,0.0
1997-10-23,4.88,5.04,4.73,4.73,4467100,0.0,0.0
1997-10-24,4.81,4.96,4.77,4.92,3297700,0.0,0.0
1997-10-27,4.9,5.04,4.57,4.57,2550200,0.0,0.0
1997-10-28,4.41,4.81,4.34,4.81,2379100,0.0,0.0
1997-10-29,4.83,4.87,4.59,4.61,4457100,0.0,0.0
1997-10-30,4.49,4.57,4.41,4.41,1885700,0.0,0.0
1997-10-31,4.47,4.49,4.41,4.41,1077200,0.0,0.0
1997-11-03,4.49,4.54,4.44,4.51,982500,0.0,0.0
1997-11-04,4.53,4.53,4.43,4.5,463700,0.0,0.0
1997-11-05,4.45,4.49,4.41,4.43,746400,0.0,0.0
1997-11-06,4.41,4.44,4.36,4.36,1067100,0.0,0.0
1997-11-07,4.32,4.36,4.26,4.36,1573800,0.0,0.0
1997-11-10,4.36,4.41,4.31,4.31,430600,0.0,0.0
1997-11-11,4.34,4.34,4.28,4.3,266700,0.0,0.0
1997-11-12,4.26,4.28,4.12,4.12,433800,0.0,0.0
1997-11-13,4.13,4.18,4.1,4.11,963200,0.0,0.0
1997-11-14,4.15,4.19,4.09,4.13,497700,0.0,0.0
1997-11-17,4.26,4.28,4.2,4.21,597500,0.0,0.0
1997-11-18,4.21,4.22,4.09,4.11,443600,0.0,0.0
1997-11-19,4.13,4.13,4.07,4.12,669500,0.0,0.0
1997-11-20,4.11,4.16,4.1,4.15,617700,0.0,0.0
1997-11-21,4.12,4.13,4.04,4.06,870600,0.0,0.0
1997-11-24,4.02,4.06,3.96,3.96,278900,0.0,0.0
1997-11-25,3.96,4.05,3.96,4.0,686000,0.0,0.0
1997-11-26,4.04,4.08,3.85,3.91,456400,0.0,0.0
1997-11-28,3.9,3.98,3.9,3.96,170200,0.0,0.0
1997-12-01,3.96,4.02,3.88,3.94,982300,0.0,0.0
1997-12-02,3.92,3.92,3.79,3.79,812400,0.0,0.0
1997-12-03,3.81,3.81,3.75,3.75,1154100,0.0,0.0
1997-12-04,3.82,3.96,3.79,3.87,848000,0.0,0.0
1997-12-05,3.85,3.92,3.81,3.91,847300,0.0,0.0
1997-12-08,3.95,3.95,3.87,3.89,650900,0.0,0.0
1997-12-09,3.88,3.96,3.83,3.92,721500,0.0,0.0
1997-12-10,3.94,3.94,3.89,3.92,670900,0.0,0.0
1997-12-11,3.92,4.04,3.83,4.04,1886200,0.0,0.0
1997-12-12,4.03,4.04,3.98,4.02,585800,0.0,0.0
1997-12-15,4.07,4.1,4.02,4.1,762200,0.0,0.0
1997-12-16,4.08,4.1,4.0,4.04,751500,0.0,0.0
1997-12-17,4.04,4.1,4.02,4.1,428200,0.0,0.0
1997-12-18,4.1,4.24,4.08,4.16,808700,0.0,0.0
1997-12-19,4.08,4.09,4.0,4.05,359200,0.0,0.0
1997-12-22,4.03,4.22,3.97,3.98,1031000,0.0,0.0
1997-12-23,3.97,4.01,3.92,3.95,1184400,0.0,0.0
1997-12-24,3.96,4.01,3.92,3.93,110800,0.0,0.0
1997-12-26,3.93,3.98,3.9,3.93,94400,0.0,0.0
1997-12-29,3.95,4.0,3.83,3.92,708700,0.0,0.0
1997-12-30,4.0,4.06,3.91,3.94,512100,0.0,0.0
1997-12-31,3.98,4.0,3.88,3.99,856900,0.0,0.0
1998-01-02,4.02,4.07,3.92,3.96,799100,0.0,0.0
1998-01-05,3.97,4.0,3.94,3.98,264900,0.0,0.0
1998-01-06,3.94,3.97,3.93,3.93,427600,0.0,0.0
1998-01-07,3.92,3.94,3.87,3.92,539700,0.0,0.0
1998-01-08,3.92,3.94,3.87,3.88,410700,0.0,0.0
1998-01-09,3.91,3.91,3.66,3.72,433600,0.0,0.0
1998-01-12,3.67,3.73,3.61,3.64,395900,0.0,0.0
1998-01-13,3.67,3.7,3.66,3.67,382800,0.0,0.0
1998-01-14,3.67,3.74,3.67,3.73,311900,0.0,0.0
1998-01-15,3.71,3.9,3.69,3.84,627500,0.0,0.0
1998-01-16,3.85,4.15,3.85,4.14,1723500,0.0,0.0
1998-01-20,4.12,4.12,4.01,4.1,1097700,0.0,0.0
1998-01-21,4.06,4.13,4.06,4.1,536800,0.0,0.0
1998-01-22,4.06,4.08,3.96,4.01,211200,0.0,0.0
1998-01-23,4.01,4.01,3.92,3.99,406100,0.0,0.0
1998-01-26,4.0,4.0,3.85,3.94,411400,0.0,0.0
1998-01-27,3.92,4.08,3.9,3.9,742700,0.0,0.0
1998-01-28,3.9,3.93,3.89,3.92,176300,0.0,0.0
1998-01-29,3.96,4.06,3.92,3.99,619900,0.0,0.0
1998-01-30,3.98,4.04,3.87,4.0,1025900,0.0,0.0
1998-02-02,4.65,4.65,4.2,4.36,5440800,0.0,0.0
1998-02-03,4.36,4.4,4.06,4.26,1679500,0.0,0.0
1998-02-04,4.24,4.26,4.21,4.25,2465400,0.0,0.0
1998-02-05,4.26,4.36,4.26,4.36,1759200,0.0,0.0
1998-02-06,4.36,4.52,4.36,4.49,1562200,0.0,0.0
1998-02-09,4.48,4.48,4.45,4.47,951300,0.0,0.0
1998-02-10,4.51,4.53,4.47,4.51,632700,0.0,0.0
1998-02-11,4.49,4.53,4.49,4.5,952200,0.0,0.0
1998-02-12,4.48,4.49,4.4,4.47,979900,0.0,0.0
1998-02-13,4.43,4.46,4.42,4.46,542500,0.0,0.0
1998-02-17,4.49,4.54,4.49,4.49,1002800,0.0,0.0
1998-02-18,4.47,4.51,4.45,4.46,411000,0.0,0.0
1998-02-19,4.46,4.79,4.46,4.75,2619500,0.0,0.0
1998-02-20,4.75,4.85,4.67,4.74,704200,0.0,0.0
1998-02-23,4.75,4.85,4.73,4.73,288100,0.0,0.0
1998-02-24,4.69,4.72,4.65,4.66,125000,0.0,0.0
1998-02-25,4.67,4.7,4.62,4.69,183000,0.0,0.0
