Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-06-12,28.43,29.38,27.57,28.6,3894400,0.0,0.0
2001-06-13,28.52,28.77,28.43,28.52,758000,0.0,0.0
2001-06-14,28.43,28.43,27.57,27.91,501000,0.0,0.0
2001-06-15,27.83,28.34,27.57,28.34,382800,0.0,0.0
2001-06-18,29.29,29.98,28.52,29.36,358300,0.0,0.0
2001-06-19,29.29,29.89,28.86,29.89,232800,0.0,0.0
2001-06-20,29.98,31.88,29.98,30.67,176100,0.0,0.0
2001-06-21,30.67,31.01,30.58,30.67,79100,0.0,0.0
2001-06-22,30.64,30.64,29.89,30.12,109800,0.0,0.0
2001-06-25,29.72,31.01,28.43,30.41,142500,0.0,0.0
2001-06-26,30.29,30.29,29.26,29.29,109300,0.0,0.0
2001-06-27,29.29,30.07,28.86,29.81,96100,0.0,0.0
2001-06-28,30.15,30.76,29.98,30.15,102500,0.0,0.0
2001-06-29,30.15,30.93,29.72,30.58,222800,0.0,0.0
2001-07-02,30.58,30.67,29.72,30.15,46300,0.0,0.0
2001-07-03,30.41,30.41,29.72,29.98,54300,0.0,0.0
2001-07-05,30.15,30.74,29.98,30.62,74800,0.0,0.0
2001-07-06,30.6,30.76,30.41,30.55,60500,0.0,0.0
2001-07-09,30.33,30.33,29.29,29.46,117300,0.0,0.0
2001-07-10,29.55,29.65,28.86,29.12,148900,0.0,0.0
2001-07-11,29.38,30.58,29.05,29.72,151900,0.0,0.0
2001-07-12,29.72,30.15,29.03,29.07,198900,0.0,0.0
2001-07-13,29.05,29.72,29.05,29.72,112200,0.0,0.0
2001-07-16,29.81,29.95,29.72,29.89,48800,0.0,0.0
2001-07-17,29.89,30.15,29.12,29.89,64900,0.0,0.0
2001-07-18,29.81,29.81,29.29,29.55,80500,0.0,0.0
2001-07-19,29.29,29.46,28.95,29.29,128200,0.0,0.0
2001-07-20,29.21,29.29,29.07,29.21,38700,0.0,0.0
2001-07-23,29.21,29.21,29.03,29.21,59900,0.0,0.0
2001-07-24,29.21,29.21,28.09,28.26,221400,0.0,0.0
2001-07-25,28.09,28.09,26.71,28.0,371700,0.0,0.0
2001-07-26,28.0,28.6,28.0,28.36,96100,0.0,0.0
2001-07-27,28.43,29.64,28.43,29.64,118800,0.0,0.0
2001-07-30,29.38,30.14,29.29,29.29,91200,0.0,0.0
2001-07-31,30.15,30.58,29.12,29.72,267200,0.0,0.0
2001-08-01,29.89,30.15,29.76,29.76,139500,0.0,0.0
2001-08-02,29.76,29.81,28.69,28.86,153100,0.0,0.0
2001-08-03,28.86,30.58,28.86,30.41,177000,0.0,0.0
2001-08-06,30.58,31.01,30.43,31.01,46500,0.0,0.0
2001-08-07,30.84,31.1,30.15,30.15,130000,0.0,0.0
2001-08-08,30.33,30.33,29.64,30.24,67300,0.0,0.0
2001-08-09,30.15,30.24,29.72,30.0,58600,0.0,0.0
2001-08-10,30.0,30.5,30.0,30.5,25700,0.0,0.0
2001-08-13,30.33,31.45,30.24,30.86,34900,0.0,0.0
2001-08-14,30.76,31.88,30.76,31.27,72000,0.0,0.0
2001-08-15,31.53,31.53,31.01,31.45,61400,0.0,0.0
2001-08-16,31.45,31.81,31.29,31.72,68700,0.0,0.0
2001-08-17,31.7,32.34,31.7,32.05,9200,0.0,0.0
2001-08-20,32.31,33.6,32.31,33.6,174900,0.0,0.0
2001-08-21,33.17,33.34,32.74,32.82,108000,0.0,0.0
2001-08-22,33.08,34.81,33.08,34.37,180200,0.0,0.0
2001-08-23,34.46,34.46,33.94,33.94,44300,0.0,0.0
2001-08-24,33.51,33.51,32.91,33.08,154300,0.0,0.0
2001-08-27,33.17,33.25,32.57,32.74,59500,0.0,0.0
2001-08-28,32.74,32.82,32.34,32.74,99900,0.0,0.0
2001-08-29,32.74,32.91,32.31,32.74,127000,0.0,0.0
2001-08-30,32.82,32.91,32.31,32.34,31200,0.0,0.0
2001-08-31,32.39,32.65,32.39,32.41,15700,0.0,0.0
2001-09-04,32.31,32.38,31.7,32.13,48800,0.0,0.0
2001-09-05,32.05,32.05,31.62,31.62,55500,0.0,0.0
2001-09-06,31.46,31.5,30.95,30.95,6900,0.0,0.0
2001-09-07,30.67,31.22,30.5,30.6,38700,0.0,0.0
2001-09-10,30.67,30.67,30.17,30.33,74400,0.0,0.0
2001-09-17,29.89,35.32,29.89,33.17,726000,0.0,0.0
2001-09-18,33.6,33.94,33.6,33.77,319400,0.0,0.0
2001-09-19,33.94,34.89,33.6,34.89,222400,0.0,0.0
2001-09-20,35.06,38.77,35.06,36.87,409000,0.0,0.0
2001-09-21,37.05,37.91,35.41,35.84,307700,0.0,0.0
2001-09-24,36.18,36.53,35.84,36.18,167500,0.0,0.0
2001-09-25,36.53,37.05,36.01,36.27,120900,0.0,0.0
2001-09-26,36.87,38.58,36.79,38.32,345000,0.0,0.0
2001-09-27,40.06,42.37,39.46,41.27,369500,0.0,0.0
2001-09-28,41.52,42.02,40.08,40.3,141100,0.0,0.0
2001-10-01,39.63,40.23,39.16,39.77,102700,0.0,0.0
2001-10-02,38.77,39.8,38.27,39.11,139400,0.0,0.0
2001-10-03,39.46,41.27,39.46,39.99,320800,0.0,0.0
2001-10-04,40.15,40.49,39.11,39.78,148800,0.0,0.0
2001-10-05,39.8,40.49,39.39,40.4,131200,0.0,0.0
2001-10-08,40.42,40.42,39.46,39.84,45500,0.0,0.0
2001-10-09,39.85,40.15,39.63,39.63,80400,0.0,0.0
2001-10-10,39.8,41.16,39.8,40.59,212000,0.0,0.0
2001-10-11,41.01,41.34,40.4,40.47,55200,0.0,0.0
