Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31,0.77,0.79,0.75,0.77,521800.0,0.0,0.0
1982-01-04,0.77,0.77,0.76,0.77,224400.0,0.0,0.0
1982-01-05,0.74,0.76,0.72,0.73,686200.0,0.0,0.0
1982-01-06,0.72,0.73,0.71,0.71,1118300.0,0.0,0.0
1982-01-07,0.71,0.72,0.69,0.71,831300.0,0.0,0.0
1982-01-08,0.72,0.73,0.71,0.72,682200.0,0.0,0.0
1982-01-11,0.7,0.73,0.67,0.68,558000.0,0.0,0.0
1982-01-12,0.68,0.69,0.67,0.68,521000.0,0.0,0.0
1982-01-13,0.67,0.69,0.65,0.65,753500.0,0.0,0.0
1982-01-14,0.65,0.65,0.64,0.65,700600.0,0.0,0.0
1982-01-15,0.7,0.75,0.65,0.73,2531800.0,0.0,0.0
1982-01-18,0.73,0.74,0.71,0.73,1624200.0,0.0,0.0
1982-01-19,0.7,0.72,0.68,0.68,986800.0,0.0,0.0
1982-01-20,0.71,0.74,0.68,0.73,1433500.0,0.0,0.0
1982-01-21,0.77,0.79,0.74,0.76,2398000.0,0.0,0.0
1982-01-22,0.75,0.77,0.74,0.75,877000.0,0.0,0.0
1982-01-25,0.72,0.74,0.7,0.73,917100.0,0.0,0.0
1982-01-26,0.74,0.74,0.73,0.74,1245800.0,0.0,0.0
1982-01-27,0.74,0.76,0.73,0.76,915600.0,0.0,0.0
1982-01-28,0.78,0.81,0.75,0.81,2878300.0,0.0,0.0
1982-01-29,0.81,0.82,0.78,0.79,1789400.0,0.0,0.0
1982-02-01,0.78,0.8,0.77,0.79,1104000.0,0.0,0.0
1982-02-02,0.8,0.82,0.79,0.81,1726900.0,0.0,0.0
1982-02-03,0.82,0.83,0.81,0.82,2005100.0,0.0,0.0
1982-02-04,0.82,0.85,0.79,0.8,1691600.0,0.0,0.0
1982-02-05,0.79,0.81,0.77,0.78,987700.0,0.0,0.0
1982-02-08,0.73,0.77,0.69,0.7,1714900.0,0.0,0.0
1982-02-09,0.7,0.72,0.69,0.71,1166400.0,0.0,0.0
1982-02-10,0.72,0.75,0.7,0.74,4347000.0,0.0,0.0
1982-02-11,0.74,0.75,0.72,0.74,2741900.0,0.0,0.0
1982-02-12,0.76,0.77,0.74,0.77,1955400.0,0.0,0.0
1982-02-16,0.75,0.77,0.73,0.75,1200100.0,0.0,0.0
1982-02-17,0.75,0.77,0.73,0.73,1079800.0,0.0,0.0
1982-02-18,0.72,0.74,0.7,0.71,1259400.0,0.0,0.0
1982-02-19,0.7,0.71,0.69,0.7,2927900.0,0.0,0.0
1982-02-22,0.66,0.71,0.62,0.63,1726000.0,0.0,0.0
1982-02-23,0.64,0.66,0.63,0.65,1511200.0,0.0,0.0
1982-02-24,0.66,0.68,0.63,0.68,1133500.0,0.0,0.0
1982-02-25,0.66,0.68,0.65,0.65,561200.0,0.0,0.0
1982-02-26,0.65,0.66,0.64,0.65,1085500.0,0.0,0.0
1982-03-01,0.65,0.66,0.64,0.65,534700.0,0.03742,0.0
1982-03-02,0.63,0.66,0.61,0.62,1033300.0,0.0,0.0
1982-03-03,0.6,0.61,0.58,0.58,1576100.0,0.0,0.0
1982-03-04,0.57,0.59,0.55,0.55,1557700.0,0.0,0.0
