Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-10-23,0.0,0.03,0.02,0.02,270600,0.0,0.0
1973-10-24,0.0,0.02,0.02,0.02,303700,0.0,0.0
1973-10-25,0.0,0.02,0.02,0.02,235000,0.0,0.0
1973-10-26,0.0,0.02,0.02,0.02,168300,0.0,0.0
1973-10-29,0.0,0.02,0.02,0.02,314100,0.0,0.0
1973-10-30,0.0,0.02,0.02,0.02,204700,0.0,0.0
1973-10-31,0.0,0.02,0.02,0.02,287500,0.0,0.0
1973-11-01,0.0,0.02,0.02,0.02,82300,0.0,0.0
1973-11-02,0.0,0.02,0.02,0.02,211500,0.0,0.0
1973-11-05,0.0,0.02,0.02,0.02,51900,0.0,0.0
1973-11-06,0.0,0.02,0.02,0.02,113500,0.0,0.0
1973-11-07,0.0,0.02,0.02,0.02,81900,0.0,0.0
1973-11-08,0.0,0.02,0.02,0.02,60900,0.0,0.0
1973-11-09,0.0,0.02,0.02,0.02,133800,0.0,0.0
1973-11-12,0.0,0.02,0.02,0.02,24400,0.0,0.0
1973-11-13,0.0,0.02,0.02,0.02,178200,0.0,0.0
1973-11-14,0.0,0.02,0.02,0.02,68100,0.0,0.0
1973-11-15,0.0,0.02,0.02,0.02,60900,0.0,0.0
1973-11-16,0.0,0.02,0.02,0.02,144000,0.0,0.0
1973-11-19,0.0,0.02,0.02,0.02,68100,0.0,0.0
1973-11-20,0.0,0.02,0.01,0.01,170200,0.0,0.0
1973-11-21,0.0,0.02,0.01,0.01,36600,0.0,0.0
1973-11-23,0.0,0.02,0.01,0.01,113500,0.0,0.0
1973-11-26,0.0,0.01,0.01,0.01,68100,0.0,0.0
1973-11-27,0.0,0.01,0.01,0.01,77800,0.0,0.0
1973-11-28,0.0,0.01,0.01,0.01,6300,0.0,0.0
1973-11-29,0.0,0.01,0.01,0.01,27100,0.0,0.0
1973-11-30,0.0,0.01,0.01,0.01,47400,0.0,0.0
1973-12-03,0.0,0.01,0.01,0.01,163900,0.0,0.0
1973-12-04,0.0,0.01,0.01,0.01,221500,0.0,0.0
1973-12-05,0.0,0.01,0.01,0.01,184200,0.0,0.0
1973-12-06,0.0,0.01,0.01,0.01,100,0.0,0.0
1973-12-07,0.0,0.01,0.01,0.01,6300,0.0,0.0
1973-12-10,0.0,0.01,0.01,0.01,211500,0.0,0.0
1973-12-11,0.0,0.02,0.01,0.01,241800,0.0,0.0
1973-12-12,0.0,0.02,0.01,0.01,311800,0.0,0.0
1973-12-13,0.0,0.01,0.01,0.01,173400,0.0,0.0
1973-12-14,0.0,0.01,0.01,0.01,91300,0.0,0.0
1973-12-17,0.0,0.01,0.01,0.01,4200,0.0,0.0
1973-12-18,0.0,0.01,0.01,0.01,75700,0.0,0.0
1973-12-19,0.0,0.01,0.01,0.01,51900,0.0,0.0
1973-12-20,0.0,0.01,0.01,0.01,198600,0.0,0.0
1973-12-21,0.0,0.02,0.01,0.01,221500,0.0,0.0
1973-12-24,0.0,0.02,0.01,0.01,86400,0.0,0.0
1973-12-26,0.0,0.02,0.01,0.01,113500,0.0,0.0
1973-12-27,0.0,0.02,0.01,0.01,81900,0.0,0.0
1973-12-28,0.0,0.01,0.01,0.01,81900,0.0,0.0
1973-12-31,0.0,0.02,0.01,0.01,163900,0.0,0.0
1974-01-02,0.0,0.02,0.01,0.01,27100,0.0,0.0
1974-01-03,0.0,0.02,0.01,0.01,40600,0.0,0.0
1974-01-04,0.0,0.02,0.02,0.02,645300,0.0,0.0
1974-01-07,0.0,0.02,0.02,0.02,109300,0.0,0.0
1974-01-08,0.0,0.02,0.02,0.02,109300,0.0,0.0
1974-01-09,0.0,0.02,0.02,0.02,139600,0.0,0.0
1974-01-10,0.0,0.02,0.02,0.02,184200,0.0,0.0
1974-01-11,0.0,0.02,0.02,0.02,45400,0.0,0.0
1974-01-14,0.0,0.02,0.02,0.02,27100,0.0,0.0
1974-01-15,0.02,0.02,0.02,0.02,0,0.0,0.0
1974-01-16,0.0,0.02,0.02,0.02,91300,0.0,0.0
1974-01-17,0.0,0.02,0.02,0.02,47400,0.0,0.0
1974-01-18,0.0,0.02,0.02,0.02,27100,0.0,0.0
1974-01-21,0.0,0.02,0.02,0.02,47400,0.0,0.0
1974-01-22,0.0,0.02,0.02,0.02,24400,0.0,0.0
1974-01-23,0.0,0.02,0.01,0.01,118800,0.0,0.0
1974-01-24,0.0,0.02,0.01,0.01,65700,0.0,0.0
1974-01-25,0.0,0.02,0.01,0.01,24400,0.0,0.0
1974-01-28,0.0,0.02,0.01,0.01,47400,0.0,0.0
1974-01-29,0.0,0.02,0.01,0.01,6300,0.0,0.0
1974-01-30,0.0,0.02,0.02,0.02,68100,0.0,0.0
1974-01-31,0.0,0.02,0.01,0.01,36600,0.0,0.0
1974-02-01,0.0,0.02,0.02,0.02,100,0.0,0.0
1974-02-04,0.0,0.02,0.01,0.01,16300,0.0,0.0
1974-02-05,0.0,0.02,0.01,0.01,31600,0.0,0.0
1974-02-06,0.0,0.02,0.01,0.01,100,0.0,0.0
1974-02-07,0.0,0.02,0.01,0.01,6300,0.0,0.0
1974-02-08,0.0,0.02,0.02,0.02,6300,0.0,0.0
1974-02-11,0.0,0.02,0.01,0.01,16300,0.0,0.0
1974-02-12,0.0,0.02,0.02,0.02,102100,0.0,0.0
1974-02-13,0.0,0.02,0.02,0.02,51900,0.0,0.0
1974-02-14,0.0,0.02,0.02,0.02,24400,0.0,0.0
1974-02-15,0.0,0.02,0.02,0.02,102100,0.0,0.0
1974-02-19,0.0,0.02,0.02,0.02,77800,0.0,0.0
1974-02-20,0.0,0.02,0.02,0.02,65700,0.0,0.0
1974-02-21,0.0,0.02,0.02,0.02,68100,0.0,0.0
1974-02-22,0.0,0.02,0.02,0.02,65700,0.0,0.0
1974-02-25,0.0,0.02,0.02,0.02,106600,0.0,0.0
1974-02-26,0.0,0.02,0.02,0.02,47400,0.0,0.0
1974-02-27,0.0,0.02,0.02,0.02,57600,0.0,0.0
1974-02-28,0.0,0.02,0.02,0.02,100,0.0,0.0
1974-03-01,0.0,0.02,0.02,0.02,36600,0.0,0.0
1974-03-04,0.0,0.02,0.02,0.02,178200,0.0,0.0
1974-03-05,0.0,0.02,0.02,0.02,185100,0.0,0.0
1974-03-06,0.0,0.02,0.02,0.02,157900,0.0,0.0
1974-03-07,0.0,0.03,0.02,0.02,168300,0.0,0.0
1974-03-08,0.0,0.03,0.03,0.03,450900,0.0,0.0
1974-03-11,0.0,0.03,0.02,0.02,168300,0.0,0.0
1974-03-12,0.0,0.02,0.02,0.02,112200,0.0,0.0
1974-03-13,0.0,0.02,0.02,0.02,88300,0.0,0.0
1974-03-14,0.0,0.02,0.02,0.02,112200,0.0,0.0
1974-03-15,0.0,0.02,0.02,0.02,65700,0.0,0.0
1974-03-18,0.0,0.02,0.02,0.02,88300,0.0,0.0
1974-03-19,0.0,0.02,0.02,0.02,96000,0.0,0.0
1974-03-20,0.0,0.02,0.02,0.02,109300,0.0,0.0
1974-03-21,0.0,0.02,0.02,0.02,47400,0.0,0.0
1974-03-22,0.0,0.02,0.02,0.02,6300,0.0,0.0
1974-03-25,0.0,0.02,0.02,0.02,57600,0.0,0.0
1974-03-26,0.0,0.03,0.02,0.02,65700,0.0,0.0
1974-03-27,0.0,0.02,0.02,0.02,77800,0.0,0.0
1974-03-28,0.0,0.02,0.02,0.02,100,0.0,0.0
1974-03-29,0.0,0.02,0.02,0.02,34600,0.0,0.0
1974-04-01,0.0,0.03,0.03,0.03,173400,0.0,0.0
1974-04-02,0.0,0.03,0.02,0.02,106600,0.0,0.0
1974-04-03,0.0,0.03,0.02,0.02,205300,0.0,0.0
1974-04-04,0.0,0.02,0.02,0.02,168300,0.0,0.0
1974-04-05,0.0,0.02,0.02,0.02,75700,0.0,0.0
1974-04-08,0.0,0.02,0.02,0.02,136900,0.0,0.0
1974-04-09,0.0,0.02,0.02,0.02,16300,0.0,0.0
1974-04-10,0.0,0.02,0.02,0.02,96000,0.0,0.0
1974-04-11,0.0,0.02,0.02,0.02,91300,0.0,0.0
1974-04-15,0.0,0.02,0.02,0.02,16300,0.0,0.0
1974-04-16,0.0,0.02,0.02,0.02,24400,0.0,0.0
1974-04-17,0.0,0.02,0.02,0.02,96000,0.0,0.0
1974-04-18,0.0,0.02,0.02,0.02,68100,0.0,0.0
1974-04-19,0.0,0.02,0.02,0.02,4200,0.0,0.0
1974-04-22,0.0,0.02,0.02,0.02,100,0.0,0.0
1974-04-23,0.0,0.02,0.02,0.02,40600,0.0,0.0
1974-04-24,0.0,0.02,0.02,0.02,34600,0.0,0.0
1974-04-25,0.0,0.02,0.02,0.02,16300,0.0,0.0
1974-04-26,0.0,0.02,0.02,0.02,91300,0.0,0.0
1974-04-29,0.0,0.02,0.02,0.02,36600,0.0,0.0
1974-04-30,0.0,0.02,0.02,0.02,6300,0.0,0.0
1974-05-01,0.02,0.02,0.02,0.02,0,0.0,0.0
1974-05-02,0.0,0.02,0.02,0.02,27100,0.0,0.0
1974-05-03,0.0,0.02,0.02,0.02,4200,0.0,0.0
1974-05-06,0.0,0.02,0.02,0.02,41400,0.0,0.0
1974-05-07,0.0,0.02,0.02,0.02,47400,0.0,0.0
1974-05-08,0.0,0.02,0.02,0.02,6300,0.0,0.0
1974-05-09,0.02,0.02,0.02,0.02,0,0.0,0.0
1974-05-10,0.0,0.02,0.02,0.02,60900,0.0,0.0
