Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-10-02,13.91,14.55,13.89,14.32,7111800,0.0,0
2006-10-03,14.41,14.52,14.23,14.49,11416000,0.0,0
2006-10-04,14.49,14.53,14.13,14.33,10722800,0.0,0
2006-10-05,14.46,14.46,14.2,14.23,8782400,0.0,0
2006-10-06,14.28,14.33,14.0,14.18,6282100,0.0,0
2006-10-09,14.42,14.47,14.14,14.3,3518000,0.0,0
2006-10-10,14.19,14.36,14.13,14.28,6132200,0.0,0
2006-10-11,14.26,14.26,13.97,13.99,9504800,0.0,0
2006-10-12,14.07,14.07,13.73,13.79,8323700,0.0,0
2006-10-13,13.77,13.78,13.46,13.68,10659500,0.0,0
2006-10-16,13.81,13.93,13.57,13.58,9966300,0.0,0
2006-10-17,13.41,13.54,13.31,13.47,4902400,0.0,0
2006-10-18,13.44,13.86,13.44,13.77,6600200,0.0,0
2006-10-19,14.06,14.31,13.91,14.13,8959200,0.0,0
2006-10-20,14.2,14.49,14.09,14.23,5712600,0.0,0
2006-10-23,14.25,14.41,13.87,14.19,6780900,0.0,0
2006-10-24,14.49,15.22,14.42,14.46,14763500,0.0,0
2006-10-25,14.54,16.09,14.53,15.83,11829500,0.0,0
2006-10-26,15.74,16.7,15.69,16.19,13490500,0.0,0
2006-10-27,16.02,16.19,15.6,15.91,4564700,0.0,0
2006-10-30,15.93,16.09,15.54,16.02,5795000,0.0,0
2006-10-31,16.3,16.51,15.81,15.98,4165200,0.0,0
2006-11-01,16.05,16.36,15.9,15.92,8517800,0.0,0
2006-11-02,15.71,16.0,15.54,15.82,7359000,0.0,0
2006-11-03,16.0,16.15,15.47,15.61,4821000,0.0,0
2006-11-06,15.98,16.24,15.79,16.11,5462100,0.0,0
2006-11-07,16.04,16.62,16.04,16.31,5057500,0.0,0
2006-11-08,16.23,16.58,16.1,16.39,4660200,0.0,0
2006-11-09,16.38,17.07,16.31,16.87,8630700,0.0,0
2006-11-10,16.87,17.03,16.49,16.55,4421300,0.0,0
2006-11-13,16.81,16.99,16.58,16.84,5379500,0.0,0
2006-11-14,17.02,17.07,16.6,16.97,4358300,0.0,0
2006-11-15,17.12,17.25,16.89,16.92,4149900,0.0,0
2006-11-16,17.03,17.25,16.74,16.76,4629000,0.0,0
2006-11-17,16.65,16.81,16.41,16.44,4082900,0.0,0
2006-11-20,16.44,16.54,16.1,16.31,3844400,0.0,0
2006-11-21,16.4,16.55,16.33,16.34,4081200,0.0,0
2006-11-22,16.27,16.42,16.2,16.33,2753500,0.0,0
2006-11-24,16.32,16.34,16.2,16.2,886000,0.0,0
2006-11-27,16.07,16.21,15.74,15.83,4876600,0.0,0
2006-11-28,15.7,16.31,15.57,15.67,4878100,0.0,0
2006-11-29,16.31,17.28,15.6,16.06,5716900,0.0,0
2006-11-30,16.08,16.62,16.01,16.52,6002400,0.0,0
2006-12-01,16.24,16.56,16.24,16.56,4519400,0.0,0
2006-12-04,16.7,17.21,16.6,17.03,5347100,0.0,0
2006-12-05,17.03,17.49,16.94,17.48,7449100,0.0,0
2006-12-06,17.47,17.47,16.92,16.99,5195700,0.0,0
2006-12-07,16.99,17.44,16.91,17.33,5155300,0.0,0
2006-12-08,17.28,17.47,17.2,17.28,3518300,0.0,0
2006-12-11,17.14,17.21,16.84,17.08,3447100,0.0,0
2006-12-12,16.99,17.14,16.63,16.89,3342400,0.0,0
2006-12-13,16.89,16.9,16.31,16.56,4484900,0.01,0
2006-12-14,16.69,16.85,16.35,16.51,5321800,0.0,0
2006-12-15,16.39,16.73,16.39,16.67,5120800,0.0,0
2006-12-18,16.67,16.74,16.49,16.59,4316100,0.0,0
2006-12-19,16.6,16.7,16.35,16.35,2284100,0.0,0
2006-12-20,16.46,16.46,16.19,16.23,2778400,0.0,0
