Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.0,0.01,0.01,0.01,902400,0.0,0.0
1962-01-03,0.0,0.01,0.01,0.01,1200000,0.0,0.0
1962-01-04,0.0,0.01,0.01,0.01,1088000,0.0,0.0
1962-01-05,0.0,0.01,0.01,0.01,1222400,0.0,0.0
1962-01-08,0.0,0.01,0.01,0.01,1388800,0.0,0.0
1962-01-09,0.0,0.01,0.01,0.01,1065600,0.0,0.0
1962-01-10,0.0,0.01,0.01,0.01,828800,0.0,0.0
1962-01-11,0.0,0.01,0.01,0.01,617600,0.0,0.0
1962-01-12,0.0,0.01,0.01,0.01,1398400,0.0,0.0
1962-01-15,0.0,0.01,0.01,0.01,966400,0.0,0.0
1962-01-16,0.0,0.01,0.01,0.01,569600,0.0,0.0
1962-01-17,0.0,0.01,0.01,0.01,832000,0.0,0.0
1962-01-18,0.0,0.01,0.01,0.01,844800,0.0,0.0
1962-01-19,0.0,0.01,0.01,0.01,720000,0.0,0.0
1962-01-22,0.0,0.01,0.01,0.01,745600,0.0,0.0
1962-01-23,0.0,0.01,0.01,0.01,908800,0.0,0.0
1962-01-24,0.0,0.01,0.01,0.01,841600,0.0,0.0
1962-01-25,0.0,0.01,0.01,0.01,1078400,0.0,0.0
1962-01-26,0.0,0.01,0.01,0.01,832000,0.0,0.0
1962-01-29,0.0,0.01,0.01,0.01,1462400,0.0,0.0
1962-01-30,0.0,0.01,0.01,0.01,1843200,0.0,0.0
1962-01-31,0.0,0.01,0.01,0.01,1718400,0.0,0.0
1962-02-01,0.0,0.01,0.01,0.01,2371200,0.0,0.0
1962-02-02,0.0,0.01,0.01,0.01,2310400,0.0,0.0
1962-02-05,0.0,0.02,0.01,0.02,1977600,0.0,0.0
1962-02-06,0.0,0.02,0.01,0.01,1446400,0.0,0.0
1962-02-07,0.0,0.01,0.01,0.01,1126400,0.01875,0.0
1962-02-08,0.0,0.02,0.01,0.01,684800,0.0,0.0
1962-02-09,0.0,0.01,0.01,0.01,563200,0.0,0.0
1962-02-12,0.0,0.01,0.01,0.01,428800,0.0,0.0
1962-02-13,0.0,0.01,0.01,0.01,873600,0.0,0.0
1962-02-14,0.0,0.01,0.01,0.01,636800,0.0,0.0
1962-02-15,0.0,0.01,0.01,0.01,742400,0.0,0.0
1962-02-16,0.0,0.02,0.01,0.01,816000,0.0,0.0
1962-02-19,0.0,0.02,0.01,0.02,1657600,0.0,0.0
1962-02-20,0.0,0.02,0.02,0.02,800000,0.0,0.0
1962-02-21,0.0,0.02,0.02,0.02,681600,0.0,0.0
1962-02-23,0.0,0.02,0.01,0.02,793600,0.0,0.0
1962-02-26,0.0,0.02,0.01,0.01,640000,0.0,0.0
1962-02-27,0.0,0.02,0.01,0.02,908800,0.0,0.0
1962-02-28,0.0,0.02,0.02,0.02,2131200,0.0,0.0
1962-03-01,0.0,0.02,0.02,0.02,899200,0.0,0.0
1962-03-02,0.0,0.02,0.02,0.02,838400,0.0,0.0
1962-03-05,0.0,0.02,0.02,0.02,1011200,0.0,0.0
1962-03-06,0.0,0.02,0.01,0.01,550400,0.0,0.0
1962-03-07,0.0,0.02,0.01,0.01,985600,0.0,0.0
1962-03-08,0.0,0.01,0.01,0.01,1190400,0.0,0.0
1962-03-09,0.0,0.01,0.01,0.01,825600,0.0,0.0
1962-03-12,0.0,0.01,0.01,0.01,611200,0.0,0.0
1962-03-13,0.0,0.01,0.01,0.01,656000,0.0,0.0
1962-03-14,0.0,0.01,0.01,0.01,681600,0.0,0.0
1962-03-15,0.0,0.02,0.01,0.02,1107200,0.0,0.0
1962-03-16,0.0,0.02,0.01,0.01,624000,0.0,0.0
1962-03-19,0.0,0.02,0.01,0.02,809600,0.0,0.0
1962-03-20,0.0,0.02,0.01,0.01,822400,0.0,0.0
1962-03-21,0.0,0.01,0.01,0.01,764800,0.0,0.0
1962-03-22,0.0,0.01,0.01,0.01,633600,0.0,0.0
1962-03-23,0.0,0.01,0.01,0.01,768000,0.0,0.0
1962-03-26,0.0,0.01,0.01,0.01,678400,0.0,0.0
1962-03-27,0.0,0.01,0.01,0.01,694400,0.0,0.0
1962-03-28,0.0,0.01,0.01,0.01,688000,0.0,0.0
1962-03-29,0.0,0.02,0.01,0.01,604800,0.0,0.0
1962-03-30,0.0,0.01,0.01,0.01,809600,0.0,0.0
1962-04-02,0.0,0.01,0.01,0.01,716800,0.0,0.0
1962-04-03,0.0,0.01,0.01,0.01,931200,0.0,0.0
1962-04-04,0.0,0.01,0.01,0.01,1033600,0.0,0.0
1962-04-05,0.0,0.01,0.01,0.01,700800,0.0,0.0
1962-04-06,0.0,0.01,0.01,0.01,569600,0.0,0.0
1962-04-09,0.0,0.01,0.01,0.01,716800,0.0,0.0
1962-04-10,0.0,0.01,0.01,0.01,937600,0.0,0.0
1962-04-11,0.0,0.01,0.01,0.01,720000,0.0,0.0
1962-04-12,0.0,0.01,0.01,0.01,947200,0.0,0.0
1962-04-13,0.0,0.01,0.01,0.01,710400,0.0,0.0
1962-04-16,0.0,0.01,0.01,0.01,812800,0.0,0.0
1962-04-17,0.0,0.01,0.01,0.01,1110400,0.0,0.0
1962-04-18,0.0,0.01,0.01,0.01,1084800,0.0,0.0
1962-04-19,0.0,0.02,0.01,0.02,1385600,0.0,0.0
1962-04-23,0.0,0.02,0.02,0.02,1081600,0.0,0.0
1962-04-24,0.0,0.02,0.02,0.02,1104000,0.0,0.0
1962-04-25,0.0,0.02,0.02,0.02,1180800,0.0,0.0
1962-04-26,0.0,0.02,0.02,0.02,2009600,0.0,0.0
1962-04-27,0.0,0.02,0.01,0.01,1139200,0.0,0.0
1962-04-30,0.0,0.01,0.01,0.01,1222400,0.0,0.0
1962-05-01,0.0,0.01,0.01,0.01,1430400,0.0,0.0
1962-05-02,0.0,0.01,0.01,0.01,931200,0.0,0.0
1962-05-03,0.0,0.02,0.01,0.02,1155200,0.0,0.0
1962-05-04,0.0,0.02,0.01,0.02,940800,0.0,0.0
1962-05-07,0.0,0.01,0.01,0.01,534400,0.0,0.0
1962-05-08,0.0,0.02,0.01,0.01,1004800,0.0,0.0
1962-05-09,0.0,0.01,0.01,0.01,988800,0.01875,0.0
