Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1977-01-03,6.02,6.09,6.02,6.04,169800.0,0.0,0.0
1977-01-04,6.04,6.06,5.95,5.96,143200.0,0.0,0.0
1977-01-05,5.96,6.05,5.88,5.92,191000.0,0.0,0.0
1977-01-06,5.92,5.99,5.87,5.91,168700.0,0.0,0.0
1977-01-07,5.91,5.93,5.78,5.88,143200.0,0.0,0.0
1977-01-10,5.88,5.95,5.82,5.9,198000.0,0.0,0.0
1977-01-11,5.9,6.0,5.8,5.8,145700.0,0.0,0.0
1977-01-12,5.8,5.84,5.74,5.79,158900.0,0.0,0.0
1977-01-13,5.79,5.87,5.79,5.87,153200.0,0.0,0.0
1977-01-14,5.87,5.88,5.8,5.82,173900.0,0.0,0.0
1977-01-17,5.82,5.88,5.75,5.79,152500.0,0.0,0.0
1977-01-18,5.79,5.87,5.74,5.77,367500.0,0.0,0.0
1977-01-19,5.77,5.82,5.7,5.82,179400.0,0.0,0.0
1977-01-20,5.82,5.82,5.6,5.73,255900.0,0.0,0.0
1977-01-21,5.73,5.79,5.68,5.79,225400.0,0.0,0.0
1977-01-24,5.75,5.75,5.68,5.7,259100.0,0.0,0.0
1977-01-25,5.7,5.75,5.62,5.68,176900.0,0.0,0.0
1977-01-26,5.68,5.69,5.61,5.64,156600.0,0.0,0.0
1977-01-27,5.58,5.58,5.39,5.45,322400.0,0.0,0.0
1977-01-28,5.45,5.52,5.42,5.51,294400.0,0.0,0.0
1977-01-31,5.51,5.61,5.47,5.6,239000.0,0.0,0.0
1977-02-01,5.6,5.62,5.51,5.51,245200.0,0.0,0.0
1977-02-02,5.51,5.64,5.38,5.39,304800.0,0.0,0.0
1977-02-03,5.39,5.47,5.35,5.47,200800.0,0.0,0.0
1977-02-04,5.47,5.52,5.43,5.47,235200.0,0.0,0.0
1977-02-07,5.47,5.55,5.44,5.47,144300.0,0.0,0.0
1977-02-08,5.47,5.49,5.35,5.38,593100.0,0.0,0.0
1977-02-09,5.38,5.4,5.3,5.4,352200.0,0.0,0.0
1977-02-10,5.4,5.43,5.33,5.39,219700.0,0.0,0.0
1977-02-11,5.39,5.4,5.35,5.38,182100.0,0.0,0.0
1977-02-14,5.38,5.44,5.31,5.44,218100.0,0.0,0.0
1977-02-15,5.44,5.45,5.4,5.43,219700.0,0.0,0.0
1977-02-16,5.43,5.49,5.4,5.44,157300.0,0.0,0.0
1977-02-17,5.44,5.44,5.36,5.39,139500.0,0.0,0.0
1977-02-18,5.39,5.39,5.31,5.36,112900.0,0.0,0.0
1977-02-22,5.36,5.4,5.35,5.38,137700.0,0.0,0.0
1977-02-23,5.38,5.38,5.25,5.27,218300.0,0.0,0.0
1977-02-24,5.27,5.27,5.16,5.17,373600.0,0.0,0.0
1977-02-25,5.17,5.27,5.16,5.23,266400.0,0.0,0.0
1977-02-28,5.27,5.28,5.17,5.25,280700.0,0.13175,0.0
1977-03-01,5.25,5.36,5.24,5.31,309200.0,0.0,0.0
1977-03-02,5.31,5.33,5.21,5.24,180100.0,0.0,0.0
1977-03-03,5.24,5.29,5.24,5.29,176000.0,0.0,0.0
1977-03-04,5.29,5.4,5.28,5.36,113300.0,0.0,0.0
1977-03-07,5.36,5.41,5.34,5.4,116300.0,0.0,0.0
1977-03-08,5.4,5.42,5.31,5.32,122200.0,0.0,0.0
1977-03-09,5.31,5.31,5.19,5.19,296600.0,0.0,0.0
1977-03-10,5.19,5.28,5.16,5.27,234000.0,0.0,0.0
1977-03-11,5.25,5.25,5.19,5.21,245000.0,0.0,0.0
1977-03-14,5.21,5.25,5.08,5.25,156800.0,0.0,0.0
1977-03-15,5.25,5.25,5.19,5.21,281400.0,0.0,0.0
1977-03-16,5.21,5.25,5.2,5.21,599900.0,0.0,0.0
1977-03-17,5.2,5.2,5.17,5.2,194000.0,0.0,0.0
1977-03-18,5.2,5.2,5.08,5.11,536900.0,0.0,0.0
1977-03-21,5.11,5.12,4.99,5.04,288900.0,0.0,0.0
1977-03-22,5.04,5.07,5.01,5.07,199200.0,0.0,0.0
1977-03-23,5.07,5.08,4.99,4.99,187800.0,0.0,0.0
1977-03-24,4.99,5.02,4.89,4.91,254500.0,0.0,0.0
1977-03-25,4.91,4.95,4.87,4.93,218800.0,0.0,0.0
1977-03-28,4.93,4.98,4.89,4.97,169600.0,0.0,0.0
1977-03-29,4.97,5.07,4.97,5.07,359300.0,0.0,0.0
1977-03-30,5.07,5.08,4.95,4.98,200800.0,0.0,0.0
1977-03-31,4.98,5.03,4.95,4.99,275700.0,0.0,0.0
1977-04-01,4.99,5.03,4.97,5.03,208100.0,0.0,0.0
1977-04-04,5.03,5.04,4.95,4.97,177600.0,0.0,0.0
1977-04-05,4.97,4.98,4.89,4.93,242500.0,0.0,0.0
1977-04-06,4.93,4.97,4.82,4.85,167500.0,0.0,0.0
1977-04-07,4.84,4.84,4.81,4.82,132900.0,0.0,0.0
1977-04-11,4.82,4.95,4.82,4.93,233300.0,0.0,0.0
1977-04-12,4.98,5.14,4.98,5.11,358800.0,0.0,0.0
1977-04-13,5.1,5.1,5.01,5.08,421000.0,0.0,0.0
1977-04-14,5.08,5.16,5.08,5.1,188900.0,0.0,0.0
1977-04-15,5.08,5.08,5.02,5.03,144300.0,0.0,0.0
1977-04-18,5.03,5.03,4.78,4.78,180300.0,0.0,0.0
1977-04-19,4.78,4.84,4.71,4.72,375200.0,0.0,0.0
1977-04-20,4.72,4.86,4.72,4.86,412300.0,0.0,0.0
1977-04-21,4.86,4.95,4.82,4.82,401400.0,0.0,0.0
1977-04-22,4.82,4.82,4.77,4.82,162800.0,0.0,0.0
1977-04-25,4.82,4.82,4.73,4.76,182300.0,0.0,0.0
1977-04-26,4.76,4.81,4.72,4.76,196700.0,0.0,0.0
1977-04-27,4.76,4.84,4.76,4.8,151400.0,0.0,0.0
1977-04-28,4.8,4.86,4.78,4.82,201500.0,0.0,0.0
1977-04-29,4.82,4.84,4.71,4.74,408000.0,0.0,0.0
1977-05-02,4.69,4.69,4.54,4.64,444900.0,0.0,0.0
1977-05-03,4.64,4.69,4.59,4.59,257300.0,0.0,0.0
1977-05-04,4.59,4.64,4.5,4.61,383600.0,0.0,0.0
1977-05-05,4.61,4.64,4.59,4.63,199400.0,0.0,0.0
1977-05-06,4.63,4.64,4.59,4.61,171900.0,0.0,0.0
1977-05-09,4.61,4.72,4.61,4.71,150900.0,0.0,0.0
1977-05-10,4.71,4.78,4.69,4.71,229700.0,0.0,0.0
1977-05-11,4.71,4.8,4.71,4.8,235400.0,0.0,0.0
1977-05-12,4.8,4.9,4.77,4.87,197400.0,0.0,0.0
1977-05-13,4.87,4.97,4.86,4.94,193700.0,0.0,0.0
1977-05-16,4.94,5.03,4.94,4.98,145900.0,0.0,0.0
1977-05-17,4.98,5.03,4.94,5.03,159600.0,0.0,0.0
1977-05-18,5.03,5.06,4.95,4.95,163000.0,0.0,0.0
1977-05-19,4.95,5.03,4.94,4.95,361500.0,0.0,0.0
1977-05-20,4.95,5.01,4.9,4.91,439000.0,0.0,0.0
1977-05-23,4.91,4.91,4.74,4.77,282800.0,0.0,0.0
1977-05-24,4.77,4.78,4.67,4.72,371100.0,0.0,0.0
1977-05-25,4.72,4.78,4.69,4.73,296200.0,0.0,0.0
1977-05-26,4.74,4.82,4.74,4.78,226300.0,0.0,0.0
1977-05-27,4.8,4.8,4.75,4.76,166400.0,0.17567,0.0
1977-05-31,4.76,4.79,4.73,4.75,133200.0,0.0,0.0
1977-06-01,4.76,4.81,4.76,4.77,388000.0,0.0,0.0
1977-06-02,4.77,4.84,4.76,4.8,183200.0,0.0,0.0
1977-06-03,4.8,4.85,4.8,4.83,157500.0,0.0,0.0
1977-06-06,4.83,4.84,4.71,4.72,201700.0,0.0,0.0
1977-06-07,4.72,4.81,4.65,4.81,158200.0,0.0,0.0
1977-06-08,4.81,4.88,4.79,4.84,253400.0,0.0,0.0
1977-06-09,4.84,4.89,4.83,4.88,112700.0,0.0,0.0
1977-06-10,4.88,4.92,4.85,4.87,115400.0,0.0,0.0
1977-06-13,4.87,4.92,4.83,4.92,160300.0,0.0,0.0
1977-06-14,4.94,5.08,4.94,5.06,246100.0,0.0,0.0
1977-06-15,5.06,5.11,5.04,5.05,257500.0,0.0,0.0
1977-06-16,5.05,5.08,5.0,5.06,133600.0,0.0,0.0
1977-06-17,5.06,5.1,5.04,5.06,111800.0,0.0,0.0
1977-06-20,5.06,5.23,5.06,5.23,209900.0,0.0,0.0
