Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-12-03,4.75,4.78,4.75,4.78,103000,0,0
2004-12-06,4.78,4.8,4.78,4.8,29000,0,0
2004-12-07,4.8,4.85,4.8,4.8,43000,0,0
2004-12-08,4.8,4.8,4.8,4.8,0,0,0
2004-12-09,4.8,4.8,4.8,4.8,0,0,0
2004-12-10,4.8,4.8,4.8,4.8,8000,0,0
2004-12-13,4.8,4.8,4.8,4.8,0,0,0
2004-12-14,4.8,4.8,4.8,4.8,0,0,0
2004-12-15,4.8,4.8,4.8,4.8,5000,0,0
2004-12-16,4.9,4.9,4.9,4.9,2040,0,0
2004-12-17,4.9,4.9,4.9,4.9,658,0,0
2004-12-20,4.9,4.9,4.9,4.9,0,0,0
2004-12-21,4.9,4.9,4.9,4.9,0,0,0
2004-12-22,4.89,4.89,4.8,4.8,39500,0,0
2004-12-23,4.85,4.9,4.85,4.9,17000,0,0
2004-12-27,4.9,4.9,4.9,4.9,0,0,0
2004-12-28,4.9,5.1,4.9,5.1,15750,0,0
2004-12-29,5.1,5.1,5.1,5.1,4000,0,0
2004-12-30,5.1,5.1,5.1,5.1,0,0,0
2004-12-31,5.2,5.2,5.2,5.2,500,0,0
2005-01-03,5.15,5.15,5.13,5.13,3000,0,0
2005-01-04,5.1,5.2,5.1,5.2,25450,0,0
2005-01-05,5.2,5.2,5.2,5.2,0,0,0
2005-01-06,5.2,5.2,5.2,5.2,0,0,0
2005-01-07,5.15,5.15,5.15,5.15,1000,0,0
2005-01-10,5.15,5.15,5.15,5.15,0,0,0
2005-01-11,5.1,5.1,5.1,5.1,5000,0,0
2005-01-12,5.2,5.2,5.2,5.2,1000,0,0
2005-01-13,5.2,5.2,5.15,5.15,1000,0,0
2005-01-14,5.15,5.15,5.15,5.15,3000,0,0
2005-01-18,5.1,5.15,5.1,5.15,3500,0,0
2005-01-19,5.25,5.25,5.25,5.25,1500,0,0
2005-01-20,5.25,5.25,5.25,5.25,0,0,0
2005-01-21,5.18,5.25,5.18,5.25,25000,0,0
2005-01-24,5.25,5.25,5.25,5.25,45000,0,0
2005-01-25,5.25,5.25,5.25,5.25,2000,0,0
2005-01-26,5.22,5.22,5.22,5.22,1500,0,0
2005-01-27,5.28,5.33,5.28,5.33,1250,0,0
2005-01-28,5.33,5.33,5.33,5.33,0,0,0
2005-01-31,5.33,5.33,5.33,5.33,3400,0,0
2005-02-01,5.28,5.28,5.25,5.25,53000,0,0
2005-02-02,5.25,5.25,5.25,5.25,0,0,0
2005-02-03,5.25,5.25,5.25,5.25,0,0,0
2005-02-04,5.3,5.45,5.3,5.45,1500,0,0
2005-02-07,5.55,5.55,5.55,5.55,1500,0,0
2005-02-08,5.5,5.55,5.45,5.45,3700,0,0
2005-02-09,5.45,5.46,5.45,5.46,2000,0,0
2005-02-10,5.55,5.58,5.55,5.58,1357,0,0
2005-02-11,5.58,5.58,5.58,5.58,0,0,0
2005-02-14,5.45,5.5,5.45,5.5,3500,0,0
2005-02-15,5.5,5.52,5.5,5.52,2000,0,0
2005-02-16,5.54,5.55,5.5,5.55,3900,0,0
2005-02-17,5.5,5.6,5.5,5.5,102500,0,0
2005-02-18,5.6,5.63,5.5,5.5,105000,0,0
2005-02-22,5.55,5.55,5.55,5.55,16100,0,0
2005-02-23,5.5,5.6,5.5,5.6,14550,0,0
2005-02-24,5.5,5.5,5.5,5.5,3500,0,0
2005-02-25,5.5,5.5,5.5,5.5,2000,0,0
2005-02-28,5.5,5.6,5.5,5.6,1200,0,0
2005-03-01,5.6,5.6,5.6,5.6,0,0,0
2005-03-02,5.6,5.6,5.55,5.55,2500,0,0
2005-03-03,5.55,5.56,5.55,5.56,6000,0,0
2005-03-04,5.56,5.56,5.56,5.56,0,0,0
2005-03-07,5.56,5.56,5.56,5.56,0,0,0
2005-03-08,5.55,5.55,5.55,5.55,3500,0,0
2005-03-09,5.55,5.55,5.55,5.55,1000,0,0
2005-03-10,5.55,5.55,5.55,5.55,0,0,0
2005-03-11,5.55,5.55,5.55,5.55,0,0,0
2005-03-14,5.55,5.55,5.55,5.55,29000,0,0
2005-03-15,5.45,5.45,5.45,5.45,1707,0,0
2005-03-16,5.5,5.5,5.5,5.5,5500,0,0
2005-03-17,5.5,5.5,5.5,5.5,0,0,0
2005-03-18,5.5,5.5,5.5,5.5,0,0,0
2005-03-21,5.4,5.5,5.4,5.5,3100,0,0
2005-03-22,5.5,5.5,5.5,5.5,0,0,0
2005-03-23,5.5,5.5,5.5,5.5,0,0,0
2005-03-24,5.5,5.5,5.5,5.5,0,0,0
2005-03-28,5.35,5.35,5.35,5.35,5000,0,0
2005-03-29,5.24,5.25,5.24,5.25,3800,0,0
2005-03-30,5.25,5.25,5.25,5.25,0,0,0
2005-03-31,5.25,5.25,5.25,5.25,0,0,0
2005-04-01,5.25,5.25,5.25,5.25,0,0,0
2005-04-04,5.33,5.48,5.33,5.48,5500,0,0
2005-04-05,5.48,5.48,5.48,5.48,0,0,0
2005-04-06,5.48,5.48,5.48,5.48,0,0,0
2005-04-07,5.48,5.48,5.48,5.48,0,0,0
2005-04-08,5.52,5.52,5.52,5.52,2000,0,0
2005-04-11,5.45,5.45,5.25,5.45,2500,0,0
2005-04-12,5.45,5.45,5.45,5.45,0,0,0
2005-04-13,5.45,5.45,5.45,5.45,0,0,0
2005-04-14,5.45,5.45,5.45,5.45,0,0,0
2005-04-15,5.45,5.45,5.45,5.45,0,0,0
2005-04-18,5.35,5.4,5.35,5.4,3100,0,0
2005-04-19,5.35,5.35,5.17,5.25,6000,0,0
2005-04-20,5.25,5.25,5.25,5.25,0,0,0
2005-04-21,5.25,5.25,5.25,5.25,0,0,0
2005-04-22,5.25,5.25,5.25,5.25,0,0,0
2005-04-25,5.2,5.2,5.2,5.2,2000,0,0
2005-04-26,5.2,5.2,5.2,5.2,0,0,0
2005-04-27,5.2,5.2,5.2,5.2,0,0,0
2005-04-28,5.2,5.2,5.2,5.2,1000,0,0
2005-04-29,5.2,5.2,5.2,5.2,0,0,0
2005-05-02,5.2,5.2,5.2,5.2,800,0,0
2005-05-03,5.2,5.2,5.2,5.2,5000,0,0
2005-05-04,5.2,5.2,5.2,5.2,3000,0,0
2005-05-05,5.2,5.2,5.2,5.2,0,0,0
2005-05-06,5.2,5.2,5.2,5.2,0,0,0
2005-05-09,5.2,5.2,5.2,5.2,0,0,0
2005-05-10,5.2,5.2,5.2,5.2,0,0,0
2005-05-11,5.2,5.2,5.2,5.2,0,0,0
2005-05-12,5.2,5.2,5.2,5.2,0,0,0
2005-05-13,5.2,5.2,5.2,5.2,10000,0,0
2005-05-16,5.15,5.2,5.15,5.2,12000,0,0
2005-05-17,5.2,5.2,5.15,5.2,13000,0,0
2005-05-18,5.2,5.2,5.2,5.2,5000,0,0
2005-05-19,5.2,5.2,5.2,5.2,0,0,0
2005-05-20,5.25,5.25,5.2,5.2,1000,0,0
2005-05-23,5.2,5.2,5.2,5.2,5000,0,0
2005-05-24,5.2,5.2,5.2,5.2,0,0,0
2005-05-25,5.25,5.25,5.25,5.25,1000,0,0
2005-05-26,5.25,5.25,5.25,5.25,0,0,0
2005-05-27,5.25,5.25,5.25,5.25,0,0,0
2005-05-31,5.25,5.25,5.25,5.25,0,0,0
2005-06-01,5.25,5.25,5.25,5.25,0,0,0
2005-06-02,5.25,5.25,5.25,5.25,0,0,0
2005-06-03,5.25,5.25,5.25,5.25,0,0,0
2005-06-06,5.25,5.25,5.25,5.25,0,0,0
2005-06-07,5.25,5.25,5.2,5.2,7500,0,0
2005-06-08,5.2,5.2,5.2,5.2,11000,0,0
2005-06-09,5.2,5.2,5.2,5.2,10500,0,0
2005-06-10,5.2,5.2,5.2,5.2,6500,0,0
2005-06-13,5.2,5.2,5.15,5.15,106700,0,0
2005-06-14,5.15,5.15,5.15,5.15,0,0,0
2005-06-15,5.2,5.2,5.15,5.17,122000,0,0
2005-06-16,5.17,5.17,5.17,5.17,0,0,0
2005-06-17,5.17,5.17,5.17,5.17,0,0,0
2005-06-20,5.1,5.1,5.1,5.1,1000,0,0
2005-06-21,5.1,5.1,5.1,5.1,0,0,0
2005-06-22,5.2,5.2,5.07,5.07,3500,0,0
2005-06-23,5.07,5.07,5.07,5.07,0,0,0
2005-06-24,5.07,5.07,5.05,5.05,5000,0,0
2005-06-27,5.05,5.05,5.05,5.05,0,0,0
2005-06-28,5.2,5.2,5.15,5.15,63500,0,0
2005-06-29,5.15,5.15,5.15,5.15,0,0,0
2005-06-30,5.15,5.15,5.15,5.15,0,0,0
2005-07-01,5.1,5.1,5.1,5.1,1000,0,0
2005-07-05,5.1,5.1,5.1,5.1,200,0,0
2005-07-06,5.1,5.1,5.1,5.1,0,0,0
2005-07-07,5.14,5.15,5.07,5.15,136800,0,0
2005-07-08,5.2,5.2,5.2,5.2,1500,0,0
2005-07-11,5.2,5.2,5.2,5.2,0,0,0
2005-07-12,5.12,5.12,5.06,5.1,4500,0,0
2005-07-13,5.1,5.15,5.1,5.1,4700,0,0
2005-07-14,5.2,5.2,5.2,5.2,9600,0,0
2005-07-15,5.18,5.2,5.17,5.17,30500,0,0
2005-07-18,5.17,5.17,5.17,5.17,0,0,0
2005-07-19,5.17,5.17,5.17,5.17,0,0,0
2005-07-20,5.17,5.17,5.17,5.17,0,0,0
2005-07-21,5.15,5.15,5.15,5.15,500,0,0
2005-07-22,5.2,5.2,5.2,5.2,2000,0,0
2005-07-25,5.2,5.2,5.2,5.2,2000,0,0
2005-07-26,5.2,5.2,5.2,5.2,0,0,0
2005-07-27,5.17,5.17,5.17,5.17,2000,0,0
2005-07-28,5.2,5.2,5.17,5.17,60800,0,0
