Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-07-25,27.37,28.72,27.37,27.61,2439400,0.0,0
2001-07-26,26.81,26.81,25.98,26.07,2675400,0.0,0
2001-07-27,26.17,26.92,26.17,26.35,1398200,0.0,0
2001-07-30,26.35,26.49,26.35,26.41,766900,0.0,0
2001-07-31,26.41,26.58,26.38,26.54,974600,0.0,0
2001-08-01,26.91,27.7,26.91,27.37,1863700,0.0,0
2001-08-02,27.35,27.56,26.44,26.58,785000,0.0,0
2001-08-03,26.35,26.4,25.89,25.98,1204500,0.0,0
2001-08-06,25.98,26.17,25.33,25.76,1565500,0.0,0
2001-08-07,26.44,28.3,26.17,27.78,7815800,0.0,0
2001-08-08,27.56,27.6,26.03,26.62,5274500,0.0,0
2001-08-09,26.07,26.4,25.56,26.31,2996900,0.0,0
2001-08-10,25.98,26.3,25.45,25.98,3193700,0.0,0
2001-08-13,25.75,25.84,24.91,25.33,4809800,0.0,0
2001-08-14,25.33,26.07,25.24,25.7,3667700,0.0,0
2001-08-15,25.75,26.35,25.7,26.05,2622100,0.0,0
2001-08-16,26.01,26.07,25.33,26.07,2132100,0.0,0
2001-08-17,25.7,25.98,24.62,25.98,1747200,0.0,0
2001-08-20,25.65,25.72,24.87,25.24,2066600,0.0,0
2001-08-21,25.24,25.46,25.14,25.37,1870500,0.0,0
2001-08-22,25.14,25.29,24.5,25.29,2549800,0.0,0
2001-08-23,25.19,25.23,24.8,24.82,2343000,0.0,0
2001-08-24,24.36,24.79,24.17,24.76,1909700,0.0,0
2001-08-27,24.68,24.87,24.4,24.74,1461800,0.0,0
2001-08-28,24.22,24.4,23.99,24.14,2378300,0.0,0
2001-08-29,24.14,24.82,24.08,24.5,2020500,0.0,0
2001-08-30,24.5,25.33,24.5,25.01,2443000,0.0,0
2001-08-31,24.87,25.24,24.59,25.24,1447500,0.0,0
2001-09-04,25.14,25.98,25.14,25.78,1697200,0.0,0
2001-09-05,25.65,25.82,25.19,25.65,1655000,0.0,0
2001-09-06,25.56,25.61,25.05,25.27,2030900,0.0,0
2001-09-07,24.59,25.86,24.5,24.74,1748200,0.0,0
2001-09-10,24.59,24.89,24.4,24.53,1020100,0.0,0
2001-09-17,23.29,24.16,22.99,23.43,1665200,0.0,0
2001-09-18,23.43,23.53,22.92,23.29,1687700,0.0,0
2001-09-19,23.01,24.24,23.01,23.21,1494700,0.0,0
2001-09-20,23.2,24.58,23.07,23.89,1993600,0.0,0
2001-09-21,23.2,24.91,23.15,23.98,1945900,0.0,0
2001-09-24,23.94,25.1,23.94,24.77,1803600,0.0,0
2001-09-25,24.77,25.04,24.12,24.4,1586600,0.0,0
2001-09-26,24.36,25.04,24.36,24.87,1020600,0.0,0
2001-09-27,24.68,25.61,24.68,25.05,1637300,0.0,0
2001-09-28,25.05,25.98,25.01,25.75,1019000,0.0,0
2001-10-01,25.75,26.59,25.52,26.08,1090300,0.0,0
2001-10-02,26.12,26.68,26.09,26.49,1174400,0.0,0
