Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-10-27,17.72,17.77,15.89,15.96,55321100,0.0,0
2016-10-28,16.17,16.61,16.07,16.36,12646800,0.0,0
2016-10-31,16.56,16.56,16.23,16.31,3226600,0.0,0
2016-11-01,16.37,16.42,14.97,15.41,9863300,0.0,0
2016-11-02,15.73,15.79,15.24,15.41,4429500,0.0,0
2016-11-03,15.46,15.46,15.2,15.4,2318100,0.0,0
2016-11-04,15.31,15.31,14.58,14.64,2847700,0.0,0
2016-11-07,14.77,14.98,14.64,14.86,2958800,0.0,0
2016-11-08,14.92,14.94,14.76,14.87,1799800,0.0,0
2016-11-09,14.47,14.72,13.63,13.79,4001400,0.0,0
2016-11-10,14.15,14.27,13.9,13.97,3791600,0.0,0
2016-11-11,14.06,14.06,13.66,14.04,2051100,0.0,0
2016-11-14,14.18,14.34,13.74,13.76,3205500,0.0,0
2016-11-15,13.89,14.09,13.79,13.95,3027200,0.0,0
2016-11-16,13.92,14.18,13.9,14.07,1354500,0.0,0
2016-11-17,14.21,14.78,14.07,14.7,3598000,0.0,0
2016-11-18,14.97,15.88,14.95,15.7,3806100,0.0,0
2016-11-21,16.04,16.28,15.23,15.3,4361000,0.0,0
2016-11-22,15.41,15.44,14.48,14.51,3633300,0.0,0
2016-11-23,14.69,14.9,14.46,14.76,2328800,0.0,0
2016-11-25,14.88,15.4,14.83,15.31,1313200,0.0,0
2016-11-28,15.37,15.41,15.0,15.23,2098100,0.0,0
2016-11-29,15.48,15.56,14.47,15.05,4114500,0.0,0
2016-11-30,15.39,15.41,14.5,14.57,4133000,0.0,0
2016-12-01,14.49,14.63,14.06,14.07,2497400,0.0,0
2016-12-02,13.97,14.07,13.29,13.32,3014900,0.0,0
2016-12-05,13.48,13.56,12.89,12.98,3167200,0.0,0
2016-12-06,13.06,13.12,13.0,13.08,1832300,0.0,0
2016-12-07,13.15,13.23,12.88,13.06,2198600,0.0,0
2016-12-08,13.11,14.02,13.06,13.93,3036600,0.0,0
2016-12-09,13.79,13.88,13.54,13.61,1160100,0.0,0
2016-12-12,13.73,13.73,12.83,12.87,1998000,0.0,0
2016-12-13,13.0,13.0,12.28,12.36,4004300,0.0,0
2016-12-14,12.33,12.75,12.28,12.68,2945900,0.0,0
2016-12-15,12.57,12.68,12.41,12.43,1041800,0.0,0
2016-12-16,12.38,12.43,12.02,12.17,2294100,0.0,0
2016-12-19,12.18,12.38,11.94,12.2,1112800,0.0,0
2016-12-20,12.23,12.76,12.2,12.61,1308700,0.0,0
2016-12-21,12.58,12.78,12.58,12.68,1013700,0.0,0
2016-12-22,12.59,12.71,12.35,12.43,1301900,0.0,0
2016-12-23,12.46,12.47,12.04,12.11,854700,0.0,0
2016-12-27,12.06,12.32,11.9,12.13,1817500,0.0,0
2016-12-28,12.23,12.29,11.64,11.86,2851500,0.0,0
2016-12-29,11.95,12.12,11.83,11.98,2446400,0.0,0
2016-12-30,12.04,12.09,11.57,11.63,3146500,0.0,0
2017-01-03,11.76,11.84,11.67,11.74,2293100,0.0,0
2017-01-04,11.71,12.04,11.67,11.82,1975300,0.0,0
2017-01-05,11.87,12.62,11.87,12.49,4093000,0.0,0
2017-01-06,12.56,13.04,12.54,12.85,2212600,0.0,0
2017-01-09,12.84,12.85,12.42,12.52,1226200,0.0,0
2017-01-10,12.55,13.33,12.47,13.03,2196800,0.0,0
2017-01-11,13.04,13.29,12.74,13.15,1863300,0.0,0
2017-01-12,13.25,13.35,12.52,12.77,1287800,0.0,0
2017-01-13,12.63,12.63,12.36,12.37,1436500,0.0,0
2017-01-17,12.42,12.92,12.35,12.44,2140700,0.0,0
2017-01-18,12.57,12.76,12.43,12.72,1589400,0.0,0
2017-01-19,12.77,13.1,12.42,13.07,3112000,0.0,0
2017-01-20,13.05,13.29,12.94,13.1,1878700,0.0,0
2017-01-23,13.23,13.39,12.92,12.96,1110900,0.0,0
2017-01-24,13.16,13.24,12.67,12.8,1478700,0.0,0
2017-01-25,12.85,13.05,12.34,12.42,2424300,0.0,0
2017-01-26,12.52,12.58,11.73,11.86,2888300,0.0,0
2017-01-27,11.98,12.07,11.69,11.96,1199000,0.0,0
2017-01-30,11.89,11.98,11.66,11.89,772000,0.0,0
2017-01-31,11.83,12.01,11.79,12.01,840000,0.0,0
2017-02-01,12.06,12.31,12.04,12.3,1099200,0.0,0
2017-02-02,12.19,12.34,12.04,12.07,1511300,0.0,0
2017-02-03,12.13,12.13,11.75,11.79,1238000,0.0,0
2017-02-06,11.85,12.11,11.83,11.93,1242500,0.0,0
2017-02-07,12.07,12.31,11.88,12.17,2289400,0.0,0
2017-02-08,12.19,12.19,12.03,12.12,1560400,0.0,0
2017-02-09,12.17,12.18,11.77,11.81,1450700,0.0,0
2017-02-10,11.85,12.22,11.75,11.95,1727200,0.0,0
2017-02-13,11.92,12.67,11.9,12.56,2122600,0.0,0
2017-02-14,12.57,12.75,12.34,12.6,2195600,0.0,0
2017-02-15,12.81,13.95,12.74,13.74,4378500,0.0,0
2017-02-16,13.74,13.95,13.24,13.47,3269500,0.0,0
2017-02-17,13.39,13.51,13.3,13.49,834500,0.0,0
2017-02-21,14.01,14.16,13.53,13.71,2225800,0.0,0
2017-02-22,13.7,13.9,13.53,13.89,1574900,0.0,0
2017-02-23,13.95,13.97,13.5,13.59,1787900,0.0,0
2017-02-24,13.48,13.82,13.48,13.63,1075900,0.0,0
2017-02-27,13.73,14.22,13.73,14.03,4398700,0.0,0
2017-02-28,13.0,13.04,11.8,12.42,14651000,0.0,0
2017-03-01,12.81,12.92,12.52,12.62,3770000,0.0,0
2017-03-02,12.69,12.84,12.52,12.52,2084000,0.0,0
2017-03-03,12.47,12.79,12.42,12.54,3905800,0.0,0
2017-03-06,12.57,12.62,12.4,12.48,1836800,0.0,0
2017-03-07,12.57,12.64,11.69,11.84,3020000,0.0,0
2017-03-08,11.97,11.98,11.71,11.74,2605500,0.0,0
2017-03-09,11.78,11.78,11.09,11.14,3993200,0.0,0
2017-03-10,11.09,11.24,10.73,10.82,5656700,0.0,0
2017-03-13,10.93,11.62,10.89,11.52,4163600,0.0,0
2017-03-14,11.59,12.18,11.37,11.99,2112100,0.0,0
2017-03-15,12.06,12.66,12.0,12.62,5697100,0.0,0
2017-03-16,12.68,12.7,12.38,12.41,3536400,0.0,0
2017-03-17,12.35,12.42,12.02,12.22,2186500,0.0,0
2017-03-20,12.43,12.51,12.23,12.32,766900,0.0,0
2017-03-21,12.33,12.42,11.99,12.04,2966900,0.0,0
2017-03-22,12.04,12.05,11.79,12.04,741300,0.0,0
2017-03-23,12.05,12.27,11.95,11.99,895200,0.0,0
2017-03-24,12.04,12.38,12.04,12.2,1452200,0.0,0
2017-03-27,12.0,12.25,11.99,12.16,2887100,0.0,0
2017-03-28,12.2,12.52,12.18,12.41,1564100,0.0,0
2017-03-29,12.42,12.85,12.31,12.78,1564700,0.0,0
2017-03-30,12.69,12.98,12.48,12.53,4342700,0.0,0
2017-03-31,12.52,12.64,12.38,12.61,3114400,0.0,0
2017-04-03,12.56,12.7,11.59,11.85,4524600,0.0,0
2017-04-04,11.86,11.99,11.68,11.95,3995000,0.0,0
2017-04-05,12.06,12.23,11.92,11.94,2254700,0.0,0
2017-04-06,11.94,12.1,11.47,11.62,3309100,0.0,0
2017-04-07,11.55,11.59,11.48,11.53,2104900,0.0,0
2017-04-10,11.52,12.04,11.52,11.93,3930100,0.0,0
2017-04-11,11.85,12.3,11.83,12.16,2635200,0.0,0
2017-04-12,12.01,12.21,12.0,12.1,1039700,0.0,0
2017-04-13,12.15,12.62,12.05,12.16,1996300,0.0,0
2017-04-17,12.23,12.62,12.21,12.54,1465500,0.0,0
2017-04-18,12.44,12.46,12.06,12.18,1832600,0.0,0
2017-04-19,12.31,12.47,12.21,12.29,2171600,0.0,0
2017-04-20,12.31,12.44,12.28,12.35,1967800,0.0,0
2017-04-21,12.47,12.79,12.36,12.53,1946000,0.0,0
2017-04-24,12.68,12.8,12.39,12.6,1548200,0.0,0
2017-04-25,12.6,12.75,12.49,12.74,1474600,0.0,0
2017-04-26,12.78,12.93,12.7,12.92,1535900,0.0,0
2017-04-27,12.92,13.18,12.74,13.09,1585000,0.0,0
2017-04-28,13.33,13.73,13.24,13.42,3342800,0.0,0
2017-05-01,13.45,13.55,12.96,13.0,2728400,0.0,0
2017-05-02,13.27,13.57,13.1,13.49,2746000,0.0,0
2017-05-03,13.48,13.53,13.02,13.2,3058000,0.0,0
2017-05-04,13.16,13.41,13.02,13.33,1295500,0.0,0
2017-05-05,13.26,13.39,13.16,13.31,1178300,0.0,0
2017-05-08,13.22,13.74,13.1,13.59,2380000,0.0,0
2017-05-09,13.64,14.09,13.63,14.01,2707000,0.0,0
2017-05-10,14.06,14.08,13.11,13.51,3028100,0.0,0
