Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-02-01,29.75,29.98,28.78,29.29,66789100,0.0,0
2013-02-04,29.37,30.22,29.06,29.3,7695400,0.0,0
2013-02-05,29.52,30.21,29.14,29.32,5013200,0.0,0
2013-02-06,29.26,29.69,29.05,29.31,2126100,0.0,0
2013-02-07,29.28,30.92,29.28,30.23,3800800,0.0,0
2013-02-08,30.52,31.63,30.51,31.22,2599300,0.0,0
2013-02-11,31.23,31.64,31.06,31.42,1487200,0.0,0
2013-02-12,31.55,32.12,31.31,31.87,1637300,0.0,0
2013-02-13,31.93,31.93,31.17,31.69,1269700,0.0,0
2013-02-14,31.54,31.6,30.95,31.43,2954500,0.0,0
2013-02-15,31.46,32.2,31.17,32.1,5415400,0.0,0
2013-02-19,32.14,32.18,31.71,31.97,1206900,0.0,0
2013-02-20,31.97,32.0,30.79,30.91,1842900,0.0,0
2013-02-21,30.7,30.98,30.09,30.76,3242300,0.0,0
2013-02-22,30.96,31.11,30.7,30.78,954500,0.0,0
2013-02-25,30.87,30.88,30.23,30.29,818900,0.0,0
2013-02-26,30.27,30.61,30.22,30.27,1048700,0.0,0
2013-02-27,30.23,31.22,30.23,30.53,1343600,0.0,0
2013-02-28,30.76,31.69,30.76,31.6,2991400,0.0,0
2013-03-01,31.51,32.78,31.31,32.68,2334000,0.0,0
2013-03-04,32.87,32.96,32.34,32.45,865400,0.0,0
2013-03-05,32.5,32.57,31.88,32.39,1413400,0.0,0
2013-03-06,32.44,32.48,31.97,31.97,802000,0.0,0
2013-03-07,32.07,32.76,31.7,32.65,1320000,0.0,0
2013-03-08,32.14,32.77,31.93,32.2,1541100,0.0,0
2013-03-11,32.09,32.36,31.41,32.29,1729400,0.0,0
2013-03-12,32.23,32.34,31.74,31.95,1557600,0.0,0
2013-03-13,32.02,32.17,31.25,32.12,2240800,0.0,0
2013-03-14,32.43,33.46,32.4,32.72,1865200,0.0,0
2013-03-15,32.78,32.91,31.46,31.59,2692100,0.0,0
2013-03-18,30.94,31.12,30.83,31.02,2372000,0.0,0
2013-03-19,30.98,31.57,30.54,30.98,1336200,0.0,0
2013-03-20,31.08,31.68,30.7,31.65,1944000,0.0,0
2013-03-21,32.02,32.12,31.45,31.62,514500,0.0,0
2013-03-22,31.69,31.88,30.93,31.29,763300,0.0,0
2013-03-25,31.63,31.63,30.46,30.66,1324600,0.0,0
2013-03-26,30.92,30.97,30.23,30.71,1396500,0.0,0
2013-03-27,30.59,31.07,30.28,30.93,1896800,0.0,0
2013-03-28,31.03,31.64,30.82,31.55,7434900,0.0,0
2013-04-01,31.57,31.73,30.63,30.78,1466300,0.0,0
2013-04-02,30.85,31.29,30.66,30.75,712200,0.0,0
2013-04-03,30.86,31.15,30.57,30.73,1409700,0.0,0
